,Number of USB 3.0 Ports,Max Screen Resolution,Graphics Coprocessor,Item Dimensions  L x W x H,Item model number,Manufacturer,Processor Brand,Package Dimensions,Product Dimensions,Item Weight,Processor Count,Standing screen display size,Brand,ASIN,Card Description,Color,Chipset Brand,Memory Speed,Average Battery Life (in hours),Computer Memory Type,Is Discontinued By Manufacturer,Date First Available,Series,Wireless Type,Number of USB 2.0 Ports,Best Sellers Rank,Item Weight,Is Discontinued By Manufacturer,Item model number,Date First Available,Manufacturer,ASIN,Package Dimensions,Product Dimensions
0,,,,,,,,,,,,,,,,,,,,,,,,,,#850 in Computer Graphics Cards,0.352 ounces,,,"October 1, 2019",EVanlak,B07YLQZXKY,,13.33 x 0.7 x 0.2 inches
1,,,,,,,,,,,,,,,,,,,,,,,,,,"#3,135 in Water Cooling Systems",1.6 pounds,,3831109819272,"March 9, 2020",EKWB,B085NBFXFT,7 x 5.25 x 3.75 inches,
2,,,,1.57 x 1.57 x 0.24 inches,Ryzen 9 3900X,AMD,AMD,,1.57 x 1.57 x 0.24 inches,1.6 ounces,12,,AMD,B07SXMZLP9,,,,,,,No,"July 1, 2019",Ryzen 9,,,#4 in Computer CPU Processors,,,,"July 1, 2019",,B07SXMZLP9,,
3,,,,,,,,,,,,,,,,,,3700 MHz,,,,,,,1,#10 in Computer CPU Processors,,,,"September 19, 2018",,B07HHLX1R8,,
4,,,,1.6 x 1.6 x 0.3 inches,YD270XBGAFBOX,AMD,AMD,,1.6 x 1.6 x 0.3 inches,1.6 ounces,8,,AMD,B07B428M7F,,RGB,,,,DDR4 SDRAM,No,"April 13, 2018",,,,#16 in Computer CPU Processors,,,,"April 13, 2018",,B07B428M7F,,
5,,,,1.57 x 1.57 x 0.24 inches,Ryzen 7 3800X,AMD,AMD,,1.57 x 1.57 x 0.24 inches,1.41 pounds,8,,AMD,B07SXMZLPJ,,,,,,,No,"July 1, 2019",Ryzen 7,,,#12 in Computer CPU Processors,,,,"July 1, 2019",,B07SXMZLPJ,,
6,,,,1.57 x 1.57 x 0.24 inches,Ryzen 5 3600X,AMD,AMD,,1.57 x 1.57 x 0.24 inches,1.12 pounds,6,,AMD,B07SQBFN2D,,,,,,,No,"July 1, 2019",Ryzen 5,,,#6 in Computer CPU Processors,,,,"July 1, 2019",,B07SQBFN2D,,
7,,,,4.57 x 2.76 x 3.98 inches,BX80684I79700F,Intel,Intel,,4.57 x 2.76 x 3.98 inches,9.2 ounces,8,,Intel,B07S8DWXT3,,,,,,,No,"May 15, 2019",Intel i7,,,#18 in Computer CPU Processors,,,,"May 15, 2019",,B07S8DWXT3,,
8,,,,1.57 x 1.57 x 0.24 inches,Ryzen 5 3400G,AMD,AMD,,1.57 x 1.57 x 0.24 inches,1.12 pounds,4,,AMD,B07SXNDKNM,,,,,,,No,"July 1, 2019",Ryzen 5,,,#8 in Computer CPU Processors,,,,"July 1, 2019",,B07SXNDKNM,,
9,,,Integrated_graphics,,,,,,,,,,,,Integrated,,,,,,,,,,,#31 in Computer CPU Processors,,,,"August 5, 2015",,B012M8LXQW,,
10,,,,,,,,,,,,,,,,,,2800 MHz,,,,,,,1,#29 in Computer CPU Processors,,,,"October 5, 2017",,B0759FGJ3Q,,
11,,,,,,,,,,,,,,,,,,,,,,,,Bluetooth,,#23 in Computer CPU Processors,,,,"April 13, 2018",,B07B428V2L,,
12,,,,,BX8070110700,Intel,Intel,4.65 x 4.09 x 2.83 inches,,11.3 ounces,8,,Intel,B086MG1C7C,,,,,,,,"May 27, 2020",,,,#19 in Computer CPU Processors,,,,"May 27, 2020",,B086MG1C7C,,
13,,,,1.57 x 0.24 x 5.28 inches,AMD Ryzen 5 3600XT,AMD,AMD,,1.57 x 0.24 x 5.28 inches,1.12 pounds,6,,AMD,B089WC4VWF,,,,,,,,"July 7, 2020","AMD Ryzen 5 3600XT, with Wraith Spire cooler",,,#25 in Computer CPU Processors,,,,"July 7, 2020",,B089WC4VWF,,
14,,,,,,,,,,,,,,,,,,,,,,,,,,#850 in Computer Graphics Cards,0.352 ounces,,,"October 1, 2019",EVanlak,B07YLQZXKY,,13.33 x 0.7 x 0.2 inches
15,,,,,,,,,,,,,,,,,,,,,,,,,,"#3,435 in Kitchen & Dining ( See Top 100 in Kitchen & Dining ) #12 in Food Processors",9.8 pounds,No,FP3020WH,"March 30, 2015",Braun,B00VF0RYK8,,14.9 x 11.3 x 15.4 inches
16,,,,4.57 x 2.76 x 3.98 inches,BX80684I39100F,Intel,Intel,,4.57 x 2.76 x 3.98 inches,8.8 ounces,4,,Intel,B07R7Q3JZH,,,,,,GDDR4,No,"May 17, 2019",Intel i3,,,#14 in Computer CPU Processors,,,,"May 17, 2019",,B07R7Q3JZH,,
17,2,1920 x 1080 Pixels,AMD Integrated Graphics,,,,,,,,,14 Inches,,,Integrated,,AMD,,10 Hours,,,,,802.11ac,,#21 in Computers & Accessories ( See Top 100 in Computers & Accessories ) #2 in 2 in 1 Laptop Computers,,,,"March 17, 2020",,B086226DDB,,
18,,,Integrated_graphics,,,,,,,,,,,,Integrated,,,,,,,,,,,#39 in Computer CPU Processors,,,,"August 5, 2015",,B012M8M7TY,,
19,,,Intel HD Graphics,,,,,,,,,,,,Integrated,,,3700 MHz,,,,,,,,#28 in Computer CPU Processors,,,,"October 5, 2017",,B07598VZR8,,
20,,,,,,,,,,,,,,,,,,,,,,,,,,#106 in Computer CPU Processors,1.16 ounces,No,BX80673I99980X,"November 13, 2018",D&H,B07JGCMQY8,,4 x 2 x 4.6 inches
