,ASIN,name,freq_bought,freq_bought_link
0,B087T9B6X5,"Canon EOS Rebel T100 DSLR Camera with 18-55mm f/3.5-5.6 Zoom Lens + 32GB Card, Tripod, Case, and More (18pc Bundle)","SanDisk 128GB Ultra SDXC UHS-I Memory Card - 100MB/s, C10, U1, Full HD, SD Card - SDSDUNR-128G-GN6IN",https://www.amazon.com/SanDisk-128GB-Ultra-UHS-I-Memory/dp/B07YFGG1SD/ref=pd_bxgy_2/140-4723308-6872266?_encoding=UTF8&pd_rd_i=B07YFGG1SD&pd_rd_r=69a8f1bc-e67e-49d7-8ab4-3409df467906&pd_rd_w=PovWs&pd_rd_wg=BCDzi&pf_rd_p=f325d01c-4658-4593-be83-3e12ca663f0e&pf_rd_r=32RKFJQFP5G38J54EGFK&psc=1&refRID=32RKFJQFP5G38J54EGFK
1,B0868VLMWK,"Canon EOS 4000D DSLR Camera with EF-S 18-55mm f/3.5-5.6 III Lens Advanced Bundle - Includes: Extended Life LPE10 Replacement Battery, 50"" Gripster Tripod & More","SanDisk 128GB Ultra SDXC UHS-I Memory Card - 100MB/s, C10, U1, Full HD, SD Card - SDSDUNR-128G-GN6IN",https://www.amazon.com/SanDisk-128GB-Ultra-UHS-I-Memory/dp/B07YFGG1SD/ref=pd_bxgy_2/144-6093014-9900966?_encoding=UTF8&pd_rd_i=B07YFGG1SD&pd_rd_r=f1c14b36-a8cc-4a9b-8be8-b356680d1fa3&pd_rd_w=qu7gm&pd_rd_wg=fQyk4&pf_rd_p=f325d01c-4658-4593-be83-3e12ca663f0e&pf_rd_r=XQQWQK2MK79VQFHGT6Z1&psc=1&refRID=XQQWQK2MK79VQFHGT6Z1
2,B08DQ4QQ6R,Canon EOS 4000D / Rebel T100 Digital SLR Camera Body w/Canon EF-S 18-55mm f/3.5-5.6 Lens 3 Lens DSLR Kit Bundled with Complete Accessory Bundle + 64GB + Flash + Case & More - International Model,,
3,B011PKJI2Y,"Panasonic LUMIX FZ300 Long Zoom Digital Camera Features 12.1 Megapixel, 1/2.3-Inch Sensor, 4K Video, WiFi, Splash & Dustproof Camera Body, LEICA DC 24X F2.8 Zoom Lens - DMC-FZ300K - (Black) USA",MegaGear Ultra Light Neoprene Camera Case Compatible with Panasonic Lumix DMC-FZ300,/MegaGear-Neoprene-Carabiner-Panasonic-DMC-FZ300/dp/B016MXJAC2/ref=pd_bxgy_2/130-8794770-6406629?_encoding=UTF8&pd_rd_i=B016MXJAC2&pd_rd_r=e5758a7d-0806-40ad-8cc0-68ac84532c0f&pd_rd_w=BltCI&pd_rd_wg=d4Tpl&pf_rd_p=f325d01c-4658-4593-be83-3e12ca663f0e&pf_rd_r=33NW1V3FF0NZYDNJD2M3&psc=1&refRID=33NW1V3FF0NZYDNJD2M3
4,B06XNTPN8C,"Canon EOS Rebel T6 Digital SLR Camera Kit with EF-S 18-55mm f/3.5-5.6 is II Lens, Built-in WiFi and NFC - Black (Renewed)","SanDisk 128GB Ultra SDXC UHS-I Memory Card - 100MB/s, C10, U1, Full HD, SD Card - SDSDUNR-128G-GN6IN",https://www.amazon.com/SanDisk-128GB-Ultra-UHS-I-Memory/dp/B07YFGG1SD/ref=pd_bxgy_2/136-0545009-0380566?_encoding=UTF8&pd_rd_i=B07YFGG1SD&pd_rd_r=fde9cdf4-d197-4c3d-85c2-dcd57181e30e&pd_rd_w=bfeXF&pd_rd_wg=rD78n&pf_rd_p=f325d01c-4658-4593-be83-3e12ca663f0e&pf_rd_r=PPGG6ER18FNXR2TX5A9M&psc=1&refRID=PPGG6ER18FNXR2TX5A9M
5,B019UDI5PO,Canon PowerShot SX420 Digital Camera w/ 42x Optical Zoom - Wi-Fi & NFC Enabled (Black),SanDisk Ultra 32GB Class 10 SDHC UHS-I Memory Card up to 80MB/s (SDSDUNC-032G-GN6IN),/SanDisk-Ultra-Class-Memory-SDSDUNC-032G-GN6IN/dp/B0143RT8OY/ref=pd_bxgy_2/139-1279268-1860409?_encoding=UTF8&pd_rd_i=B0143RT8OY&pd_rd_r=f65287ef-d69e-4eaa-abee-0d247ff48413&pd_rd_w=V9U7E&pd_rd_wg=etIjp&pf_rd_p=f325d01c-4658-4593-be83-3e12ca663f0e&pf_rd_r=GV41XHC6TSZSP7349PA0&psc=1&refRID=GV41XHC6TSZSP7349PA0
6,B088M5MRMS,"FeiyuTech AK2000C Gimbal 3-Axis Handheld Stabilizer for Mirrorless/DSLR Cameras Like Sony a9/a7/A6300/A6400,CANON EOS R,M50,80D,Panasonic GH4,GH5,Nikon Z7,FUJIFILM XT4/XT3,4.85 lb Payload,Quick Charge",,
7,B07Y5K1215,EOS 4000D Digital Camera with EF-S 18-55MM F/3.5-5.6 III Lens + Basic Accessories Bundle (International Version),"SanDisk 128GB Ultra SDXC UHS-I Memory Card - 100MB/s, C10, U1, Full HD, SD Card - SDSDUNR-128G-GN6IN",https://www.amazon.com/SanDisk-128GB-Ultra-UHS-I-Memory/dp/B07YFGG1SD/ref=pd_bxgy_2/136-0851986-6171243?_encoding=UTF8&pd_rd_i=B07YFGG1SD&pd_rd_r=0b3ac08f-55fb-469c-a0de-01ed232bb7a1&pd_rd_w=rvkdT&pd_rd_wg=kWS7N&pf_rd_p=f325d01c-4658-4593-be83-3e12ca663f0e&pf_rd_r=XF1AWRGSKKNEQY9KNRSX&psc=1&refRID=XF1AWRGSKKNEQY9KNRSX
8,B08S5FD42N,Canon EOS 2000D / Rebel T7 Digital SLR Camera Body w/Canon EF-S 18-55mm f/3.5-5.6 Lens 3 Lens DSLR Kit Bundled with Complete Accessory Bundle + 64GB + Flash + Case & More - International Model,,
9,B08N7ZRW9C,"Nikon D5600 DSLR Camera with 18-55mm VR Lens + 128GB Card, Tripod, Flash, ALS Variety Lens Cloth, and More",,
10,B07J5C98NW,FEELWORLD FW568 5.5 inch DSLR Camera Field Monitor Video Peaking Focus Assist Small Full HD 1920x1080 IPS with 4K HDMI 8.4V DC Input Output Include Tilt Arm,Feelworld DC 12V 1.5A Switching Power Supply Home Power Adapter for 100V - 240V AC 50/60Hz for…,https://www.amazon.com/Feelworld-Switching-Power-Supply-Adapter/dp/B07BKQTGDH/ref=pd_bxgy_2/141-9632170-4169553?_encoding=UTF8&pd_rd_i=B07BKQTGDH&pd_rd_r=c9360eb7-56b7-49a9-9ef7-f7bff9740ac3&pd_rd_w=WezRt&pd_rd_wg=3gmkf&pf_rd_p=f325d01c-4658-4593-be83-3e12ca663f0e&pf_rd_r=9Z39P79WZJJZED2FTP7Z&psc=1&refRID=9Z39P79WZJJZED2FTP7Z
11,B00NO1T55I,Sony Alpha a6000 Mirrorless Digital Camera w/ 16-50mm and 55-210mm Power Zoom Lenses,,
12,B01CQJHJ2E,"Canon Digital SLR Camera Kit [EOS Rebel T6] with EF-S 18-55mm and EF 75-300mm Zoom Lenses - Black, full-size",,
13,B08KYJR4BX,"Canon EOS 3000D (Rebel T100) DSLR Camera with 18-55mm f/3.5-5.6 Zoom Lens + 32GB Card, Tripod, Case, and More (18pc Bundle)",,
14,B00M8C7T70,"Kodak PIXPRO Astro Zoom AZ421-RD 16MP Digital Camera with 42X Optical Zoom and 3"" LCD Screen (Red)",SanDisk Ultra 32GB Class 10 SDHC UHS-I Memory Card up to 80MB/s (SDSDUNC-032G-GN6IN),/SanDisk-Ultra-Class-Memory-SDSDUNC-032G-GN6IN/dp/B0143RT8OY/ref=pd_bxgy_2/144-5254120-4853629?_encoding=UTF8&pd_rd_i=B0143RT8OY&pd_rd_r=cb6451ec-2cd6-436d-88be-f96ff7c036e3&pd_rd_w=lVGCV&pd_rd_wg=o1E7f&pf_rd_p=f325d01c-4658-4593-be83-3e12ca663f0e&pf_rd_r=YHCB2H0HP8CHWYX081D6&psc=1&refRID=YHCB2H0HP8CHWYX081D6
15,B08T2486DW,Canon EOS 80D Digital SLR Camera Body with Canon EF-S 18-55mm f/3.5-5.6 is STM Lens 3 Lens DSLR Kit Bundled with Complete Accessory Bundle + 64GB + Flash + Case/Bag & More - International Model,,
17,B07RCN2BFM,Lexar Professional 1667X 128GB (2-Pack) SDXC UHS-II Card (LSD128CBNA16672),"NP-FZ100 RAVPower Camera Battery Charger Set, 2-Pack 2040mAh Replacement Battery Kit, USB Dual Slot…",/NP-FZ100-RAVPower-Upgraded-Replacement-Compatible/dp/B07K84FMXK/ref=pd_bxgy_2/141-8460640-8755718?_encoding=UTF8&pd_rd_i=B07K84FMXK&pd_rd_r=f2b5b602-f266-4a06-b6e9-60a31064d865&pd_rd_w=O5znd&pd_rd_wg=1sgX2&pf_rd_p=f325d01c-4658-4593-be83-3e12ca663f0e&pf_rd_r=BMXM7TBZ0GBMP99SX2NW&psc=1&refRID=BMXM7TBZ0GBMP99SX2NW
18,B088P1824H,"Comica BoomX-D2 2.4GHZ Dual Wireless Lavalier Microphone, Wireless Lapel Mic with 2 Transmitter, 1 Receiver for Canon Nikon Sony DSLR Cameras, Camcorders, Lav Mic for iPhone Android Smartphone etc.",,
19,B07WHV3HXL,"Canon DSLR Camera [EOS 90D] with 18-135 is USM Lens | Built-in Wi-Fi, Bluetooth, DIGIC 8 Image Processor, 4K Video, Dual Pixel CMOS AF, and 3.0 Inch Vari-Angle Touch LCD Screen, Black","SanDisk 64GB Extreme PRO SDXC UHS-I Card - C10, U3, V30, 4K UHD, SD Card - SDSDXXY-064G-GN4IN",https://www.amazon.com/SanDisk-64GB-Extreme-UHS-I-SDSDXXY-064G-GN4IN/dp/B07H9J1YXN/ref=pd_bxgy_2/145-5182886-8658201?_encoding=UTF8&pd_rd_i=B07H9J1YXN&pd_rd_r=2d00a60f-b99b-4543-80f2-62d8e43dc4b8&pd_rd_w=oebP2&pd_rd_wg=dyXRm&pf_rd_p=f325d01c-4658-4593-be83-3e12ca663f0e&pf_rd_r=0ZPSY53RS6MM33QPJ1KN&psc=1&refRID=0ZPSY53RS6MM33QPJ1KN
20,B087TKG91L,"Canon EOS 4000D DSLR Camera with 18-55mm f/3.5-5.6 Zoom Lens + 32GB Card, Tripod, Case, and More (18pc Bundle)",,
21,B08JRVL5TH,"Nikon D3500 DSLR Camera with 18-55mm VR and 70-300mm Lenses + 128GB Card, Tripod, Flash, ALS VARIETY 21pc Bundle",,
