,ASIN,name,freq_bought,freq_bought_link
0,B016Y2BVKA,Havit Wired Gaming Keyboard Mouse Combo LED Rainbow Backlit Gaming Keyboard RGB Gaming Mouse Ergonomic Wrist Rest 104 Keys Keyboard Mouse 4800 DPI for Windows & Mac PC Gamers (Black),Acer SB220Q bi 21.5 Inches Full HD (1920 x 1080) IPS Ultra-Thin Zero Frame Monitor (HDMI & VGA Port…,https://www.amazon.com/Acer-SB220Q-Ultra-Thin-Frame-Monitor/dp/B07CVL2D2S/ref=pd_bxgy_2/137-8118399-8624716?_encoding=UTF8&pd_rd_i=B07CVL2D2S&pd_rd_r=5de94feb-64da-4e42-bcb4-39cbeb2ac2a3&pd_rd_w=Uwqfw&pd_rd_wg=78Vo1&pf_rd_p=f325d01c-4658-4593-be83-3e12ca663f0e&pf_rd_r=Z93G27ADN3SW7QRBANYT&psc=1&refRID=Z93G27ADN3SW7QRBANYT
1,B07RQVB3HQ,"Manhattan Black Wired Keyboard (5 ft. USB-A Cable) with 104-keys, Foldable Stands, and LED Indicator Lights - Compatible for Windows",,
2,B003NREDC8,"Logitech Desktop MK120 Durable, Comfortable, USB Mouse and keyboard Combo",,
3,B01ALLT2W4,"NPET K10 Gaming Keyboard USB Wired Floating Keyboard, Quiet Ergonomic Water-Resistant Mechanical Feeling Keyboard, Ultra-Slim Rainbow LED Backlit Keyboard for Desktop, Computer, PC","VicTsing Mouse Pad with Stitched Edge, Premium-Textured Mouse Mat, Non-Slip Rubber Base Mousepad for…",https://www.amazon.com/VicTsing-Stitched-Premium-Textured-Non-Slip-10-2%C3%978-3%C3%970-08/dp/B075WW7V6W/ref=pd_bxgy_2/143-0333629-7578119?_encoding=UTF8&pd_rd_i=B075WW7V6W&pd_rd_r=f2b1b3ff-3822-45b1-af88-d1bf2dd8d9aa&pd_rd_w=WcrCo&pd_rd_wg=n3Yf6&pf_rd_p=f325d01c-4658-4593-be83-3e12ca663f0e&pf_rd_r=Q5SA14608M88BS6S3V0S&psc=1&refRID=Q5SA14608M88BS6S3V0S
4,B08C73FX64,"VicTsing Wireless Keyboard [Enlarged Indicator Light], 2.4G Ergonomic Wireless Computer Keyboard, Full Size PC Keyboard with Numeric Keypad for Laptop/Desktop/Surface/Chromebook/Notebook, Black",,
5,B088D126GD,"Wireless Keyboard Mouse Combo, Cimetech Compact Full Size Wireless Keyboard and Mouse Set 2.4G Ultra-Thin Sleek Design for Windows, Computer, Desktop, PC, Notebook - (Wine red)","Jelly Comb Type-c Wireless Mouse, USB C Computer Silent Mouse with 3 DPI:1000-1600-2400 for Mac…",https://www.amazon.com/Wireless-Jelly-Comb-Adjustable-Receiver/dp/B07Y65DF83/ref=pd_bxgy_2/144-2900874-4284453?_encoding=UTF8&pd_rd_i=B07Y65DF83&pd_rd_r=25fa2574-b49b-4b54-84dc-20ffd9b6177b&pd_rd_w=5H8Ki&pd_rd_wg=UQPd1&pf_rd_p=f325d01c-4658-4593-be83-3e12ca663f0e&pf_rd_r=2587ME62VRT6PC4V8AXZ&psc=1&refRID=2587ME62VRT6PC4V8AXZ
6,B07YF98LDJ,"Wireless Keyboard Mouse Combo, Cimetech Compact Full Size Wireless Keyboard and Mouse Set 2.4G Ultra-Thin Sleek Design for Windows, Computer, Desktop, PC, Notebook, Laptop - Silver",HP 24mh FHD Monitor - Computer Monitor with 23.8-Inch IPS Display (1080p) - Built-In Speakers and…,https://www.amazon.com/HP-24mh-FHD-Monitor-Built/dp/B08BF4CZSV/ref=pd_bxgy_2/135-4384981-7491756?_encoding=UTF8&pd_rd_i=B08BF4CZSV&pd_rd_r=d5260965-cc88-4be4-afdd-cd68d1acf92c&pd_rd_w=chfV4&pd_rd_wg=bmm8b&pf_rd_p=f325d01c-4658-4593-be83-3e12ca663f0e&pf_rd_r=6MW5HPDJXKZGXVGD0VRC&psc=1&refRID=6MW5HPDJXKZGXVGD0VRC
7,,Logitech K400 Plus Wireless Touch TV Keyboard with Easy Media Control and Built-In Touchpad,,
8,,Corsair K55 RGB Gaming Keyboard – IP42 Dust and Water Resistance – 6 Programmable Macro Keys – Dedicated Media Keys - Detachable Palm Rest Included (CH-9206015-NA),,
9,B07XDWCLYF,"Wireless Keyboard and Mouse, WisFox Full-Size Wireless Mouse and Keyboard Combo, 2.4GHz Silent USB Wireless Keyboard Mouse Combo for PC Desktops Computer, Laptops, Windows",HP 24mh FHD Monitor - Computer Monitor with 23.8-Inch IPS Display (1080p) - Built-In Speakers and…,https://www.amazon.com/HP-24mh-FHD-Monitor-Built/dp/B08BF4CZSV/ref=pd_bxgy_2/144-6534936-3428738?_encoding=UTF8&pd_rd_i=B08BF4CZSV&pd_rd_r=0e09ab85-b957-46fd-b835-98f2485a77a4&pd_rd_w=JXFIH&pd_rd_wg=g7RRE&pf_rd_p=f325d01c-4658-4593-be83-3e12ca663f0e&pf_rd_r=HQXJXECCP2XXCBDHG7MV&psc=1&refRID=HQXJXECCP2XXCBDHG7MV
