,ASIN,name,freq_bought,freq_bought_link
0,B07SCY7H3W,"Wireless Mouse, RATEL 2.4G Wireless Ergonomic Mouse Computer Mouse Laptop Mouse USB Mouse 6 Buttons with Nano Receiver 3 Adjustable DPI Levels Cordless Wireless Mice for Windows, Mac","VicTsing Mouse Pad with Stitched Edge, Premium-Textured Mouse Mat, Non-Slip Rubber Base Mousepad for…",https://www.amazon.com/VicTsing-Stitched-Premium-Textured-Non-Slip-10-2%C3%978-3%C3%970-08/dp/B075WW7V6W/ref=pd_bxgy_2/139-7002348-8046224?_encoding=UTF8&pd_rd_i=B075WW7V6W&pd_rd_r=c34eb0ed-a542-4ad2-9750-9bec38abfd9c&pd_rd_w=LUdot&pd_rd_wg=sqz53&pf_rd_p=f325d01c-4658-4593-be83-3e12ca663f0e&pf_rd_r=B28ZA8XP3B83Q31A0ZAF&psc=1&refRID=B28ZA8XP3B83Q31A0ZAF
1,B074M96FKW,"Wireless Mouse, inphic Large Ergonomic Rechargeable 2.4G Optical PC Laptop Cordless Mice with USB Nano Receiver, for Windows Computer Office, Black","VicTsing Mouse Pad with Stitched Edge, Premium-Textured Mouse Mat, Non-Slip Rubber Base Mousepad for…",https://www.amazon.com/VicTsing-Stitched-Premium-Textured-Non-Slip-10-2%C3%978-3%C3%970-08/dp/B075WW7V6W/ref=pd_bxgy_2/134-2385731-0193122?_encoding=UTF8&pd_rd_i=B075WW7V6W&pd_rd_r=dee4eea7-962b-411d-aee5-ed029b828c73&pd_rd_w=LNMJd&pd_rd_wg=PR0TG&pf_rd_p=f325d01c-4658-4593-be83-3e12ca663f0e&pf_rd_r=SP8SPBW2M4QA3TBHWNRW&psc=1&refRID=SP8SPBW2M4QA3TBHWNRW
2,B013WC0P2A,"VicTsing MM057 2.4G Wireless Portable Mobile Mouse Optical Mice with USB Receiver, 5 Adjustable DPI Levels, 6 Buttons for Notebook, PC, Laptop, Computer, Macbook - Black","VicTsing Mouse Pad with Stitched Edge, Premium-Textured Mouse Mat, Non-Slip Rubber Base Mousepad for…",https://www.amazon.com/VicTsing-Stitched-Premium-Textured-Non-Slip-10-2%C3%978-3%C3%970-08/dp/B075WW7V6W/ref=pd_bxgy_2/146-2067725-0600131?_encoding=UTF8&pd_rd_i=B075WW7V6W&pd_rd_r=2f005435-8aaa-4157-929c-f1e584d6e657&pd_rd_w=Q2YTm&pd_rd_wg=TQaOz&pf_rd_p=f325d01c-4658-4593-be83-3e12ca663f0e&pf_rd_r=5TQVJAXPWE5GD0519T67&psc=1&refRID=5TQVJAXPWE5GD0519T67
3,B07H8TJMX7,"seenda Wireless Mouse, 2.4G Noiseless Mouse with USB Receiver - Portable Computer Mice for PC, Tablet, Laptop with Windows System - Mint Green","ITNRSIIET Marble Round Mouse Pad, Pink Marble Customized Premium-Textured Mouse Mat,Washable…",https://www.amazon.com/ITNRSIIET-Customized-Premium-Textured-Mousepads-7-87%C3%977-87%C3%970-12/dp/B07ZSYNSSG/ref=pd_bxgy_2/146-7048151-4539012?_encoding=UTF8&pd_rd_i=B07ZSYNSSG&pd_rd_r=4b78bf8a-0fad-4bf6-84a8-76ba9be67ca2&pd_rd_w=GiC5I&pd_rd_wg=HbFPW&pf_rd_p=f325d01c-4658-4593-be83-3e12ca663f0e&pf_rd_r=0CE9VY8201E7SK30S5T9&psc=1&refRID=0CE9VY8201E7SK30S5T9
4,B005EJH6RW,"Amazon Basics 3-Button USB Wired Computer Mouse (Black), 1-Pack",,
5,B01N7RGV3H,"Wireless Mouse for Laptop, Inphic 2.4G Rechargeable Silent Computer Mouse,1600 DPI Ultra Thin Optical Portable USB Mini Mouse, Cordless Mice for Laptop,PC,MacBook,Mac, Black","VicTsing Mouse Pad with Stitched Edge, Premium-Textured Mouse Mat, Non-Slip Rubber Base Mousepad for…",https://www.amazon.com/VicTsing-Stitched-Premium-Textured-Non-Slip-10-2%C3%978-3%C3%970-08/dp/B075WW7V6W/ref=pd_bxgy_2/136-8526287-9523255?_encoding=UTF8&pd_rd_i=B075WW7V6W&pd_rd_r=a5813723-080c-4cd1-8780-7ccaf22de5e4&pd_rd_w=9xrtV&pd_rd_wg=uiNc2&pf_rd_p=f325d01c-4658-4593-be83-3e12ca663f0e&pf_rd_r=0QW8K2H3141Q3KS32GMD&psc=1&refRID=0QW8K2H3141Q3KS32GMD
6,B005KSAHZU,"Logitech M525 Wireless Mouse – Long 3 Year Battery Life, Ergonomic Shape for Right or Left Hand Use, Micro-Precision Scroll Wheel, and USB Unifying Receiver for Computers and Laptops, Black/Gray",,
7,B003L62T7W,"Logitech B100 Corded Mouse – Wired USB Mouse for Computers and laptops, for Right or Left Hand Use, Black",,
8,B07Y1KKFBH,"WisFox 2.4G Wireless Mouse for Laptop, Ergonomic Computer Mouse with USB Receiver and 3 Adjustable Levels, 6 Button Cordless Mouse Wireless Mice for Windows Mac PC Notebook (Grey)","VicTsing Mouse Pad with Stitched Edge, Premium-Textured Mouse Mat, Non-Slip Rubber Base Mousepad for…",https://www.amazon.com/VicTsing-Stitched-Premium-Textured-Non-Slip-10-2%C3%978-3%C3%970-08/dp/B075WW7V6W/ref=pd_bxgy_2/145-3052969-6726648?_encoding=UTF8&pd_rd_i=B075WW7V6W&pd_rd_r=2f4ce893-4a1a-4cba-8c03-61d81fdc8b6d&pd_rd_w=Uu0lb&pd_rd_wg=GM6Nj&pf_rd_p=f325d01c-4658-4593-be83-3e12ca663f0e&pf_rd_r=QCEYS3GJV091QKB0NSQ5&psc=1&refRID=QCEYS3GJV091QKB0NSQ5
9,B087LQVH4Y,"WisFox Wireless Computer Mouse, 2.4G Wireless Ergonomic Mouse Portable Cordless Optical Mice for Laptop PC with USB Receiver, 3 Adjustable DPI Levels, 6 Buttons for Work, Study, Home, Travel (Grey)","VicTsing MM057 2.4G Wireless Portable Mobile Mouse Optical Mice with USB Receiver, 5 Adjustable DPI…",https://www.amazon.com/VicTsing-Wireless-Portable-Receiver-Adjustable/dp/B013WC0P2A/ref=pd_bxgy_2/137-8220996-9201642?_encoding=UTF8&pd_rd_i=B013WC0P2A&pd_rd_r=3a44da2a-e127-4570-908f-a56074496fe0&pd_rd_w=f12NR&pd_rd_wg=JOel9&pf_rd_p=f325d01c-4658-4593-be83-3e12ca663f0e&pf_rd_r=X7ZQSY0586SN56HYY0Q1&psc=1&refRID=X7ZQSY0586SN56HYY0Q1
10,B07T8HFPDM,"Wireless Computer Mouse, Cimetech 2.4G Slim Cordless Mouse Less Noise for Laptop Ergonomic Optical with Nano Receiver USB Mouse for Laptop, Deskbtop, MacBook (BAT Black)",,
11,B01FZ3BR5S,"PICTEK Gaming Mouse Wired [7200 DPI] [Programmable] [Breathing Light] Ergonomic Game USB Computer Mice RGB Gamer Desktop Laptop PC Gaming Mouse, 7 Buttons for Windows 7/8/10/XP Vista Linux, Black","VicTsing Mouse Pad with Stitched Edge, Premium-Textured Mouse Mat, Non-Slip Rubber Base Mousepad for…",https://www.amazon.com/VicTsing-Stitched-Premium-Textured-Non-Slip-10-2%C3%978-3%C3%970-08/dp/B075WW7V6W/ref=pd_bxgy_2/130-3374065-2385042?_encoding=UTF8&pd_rd_i=B075WW7V6W&pd_rd_r=7d156912-7bc9-415c-8434-ef626b70609e&pd_rd_w=ySZsq&pd_rd_wg=onYoX&pf_rd_p=f325d01c-4658-4593-be83-3e12ca663f0e&pf_rd_r=9T28W6WDAP6ZT25W7Z0K&psc=1&refRID=9T28W6WDAP6ZT25W7Z0K
12,B07F7T8J9P,Razer DeathAdder Essential Gaming Mouse: 6400 DPI Optical Sensor - 5 Programmable Buttons - Mechanical Switches - Rubber Side Grips - Classic Black,,
