,ASIN,name,freq_bought,freq_bought_link
0,B07STGGQ18,"AMD Ryzen 5 3600 6-Core, 12-Thread Unlocked Desktop Processor with Wraith Stealth Cooler",,
1,B089J731BX,Intel Core i9-9900K Desktop Processor 8 Cores up to 5.0GHz Unlocked LGA1151 300 Series 95W (BX806849900K),,
2,B07SXMZLPK,"AMD Ryzen 7 3700X 8-Core, 16-Thread Unlocked Desktop Processor with Wraith Prism LED Cooler",,
3,B07B41WS48,AMD Ryzen 5 2600 Processor with Wraith Stealth Cooler - YD2600BBAFBOX,,
4,B07HHN6KBZ,Intel Core i7-9700K Desktop Processor 8 Cores up to 4.9 GHz Turbo unlocked LGA1151 300 Series 95W,,
5,B07XTQZJ28,AMD Ryzen 5 1600 65W AM4 Processor with Wraith Stealth Cooler (YD1600BBAFBOX),,
6,B08DHRG2X9,Intel Core i9-10850K Desktop Processor 10 Cores up to 5.2 GHz Unlocked LGA1200 (Intel 400 Series chipset) 125W,,
7,B086MMRW87,"Intel Core i3-10100 Desktop Processor 4 Cores up to 4.3 GHz  LGA1200 (Intel 400 Series Chipset) 65W, Model Number: BX8070110100",,
8,B07S6CRLVD,Intel Core i7-9700 Desktop Processor 8 Cores up to 4.7 GHz LGA1151 300 Series 65W,,
9,B07B428M7F,AMD Ryzen 7 2700X Processor with Wraith Prism LED Cooler - YD270XBGAFBOX,,
10,B086MMS6FV,Intel Core i7-10700KF Desktop Processor 8 Cores up to 5.1 GHz Unlocked Without Processor Graphics LGA1200 (Intel 400 Series chipset) 125W,,
11,B086MG1C7C,"Intel Core i7-10700 Desktop Processor 8 Cores up to 4.8 GHz LGA 1200 (Intel 400 Series Chipset) 65W, BX8070110700",,
12,B089WCXZJC,"AMD Ryzen 7 3800XT 8-core, 16-Threads Unlocked Desktop Processor Without Cooler",,
13,B07S8DWXT3,Intel Core i7-9700F Desktop Processor 8 Core 3 GHz speed (Up to 4.7 GHz) Without Processor Graphics LGA1151 300 Series 65W (BX80684I79700F),,
14,B086MHSH2C,Intel Core i5-10600K Desktop Processor 6 Cores up to 4.8 GHz Unlocked  LGA1200 (Intel 400 Series Chipset) 125W,,
15,B07MGBZWDZ,Intel BX80684I99900KF Intel Core i9-9900KF Desktop Processor 8 Cores up to 5.0 GHz Turbo Unlocked Without Processor Graphics LGA1151 300 Series 95W,,
16,B07SXNDKNM,"AMD Ryzen 5 3400G 4-core, 8-Thread Unlocked Desktop Processor with Radeon RX Graphics",,
17,B07SQBFN2D,"AMD Ryzen 5 3600X 6-Core, 12-Thread Unlocked Desktop Processor with Wraith Spire Cooler",,
18,B07HHLX1R8,Intel Core i5-9600K Desktop Processor 6 Cores up to 4.6 GHz Turbo unlocked LGA1151 300 Series 95W,,
19,B0759FGJ3Q,Intel Core i5-8400 Desktop Processor 6 Cores up to 4.0 GHz LGA 1151 300 Series 65W,,
20,B07XQQTVS3,Samsung Chromebook 4 Chrome OS 11.6inch HD Intel Celeron Processor N4000 4GB RAM 32GB eMMC Gigabit Wi-Fi - XE310XBA-K01US,,
21,B012M8LXQW,"Intel BX80662I76700K 4512 Core i7 6700K 4.00 GHz Unlocked Quad Core Sky Lake Desktop Processor, Socket LGA 1151",,
22,B07MRCGQQ4,Intel Core i5-9400F Desktop Processor 6 Cores 4.1 GHz Turbo Without Graphics,,
23,B08H4YTTLP,"ASUS VivoBook 15 F515 Thin and Light Laptop, 15.6” FHD Display, Intel Core i3-1005G1 Processor, 4GB DDR4 RAM, 128GB PCIe SSD, Fingerprint Reader, Windows 10 Home in S Mode, Slate Grey, F515JA-AH31",Nintendo Switch - Mario Red & Blue Edition - Switch,/Nintendo-Switch-Mario-Red-Blue/dp/B08M8YQMH4/ref=pd_bxgy_2/137-8236276-8781231?_encoding=UTF8&pd_rd_i=B08M8YQMH4&pd_rd_r=71600cf7-a428-4a58-832a-3ba398a6fd58&pd_rd_w=kh1F8&pd_rd_wg=qCPdn&pf_rd_p=f325d01c-4658-4593-be83-3e12ca663f0e&pf_rd_r=J140D653H6NQS7BWBAHF&psc=1&refRID=J140D653H6NQS7BWBAHF
24,B07RXW4Y2K,Intel Core i3-9100 Desktop Processor 4 Cores up to 4.2 GHz LGA1151 300 Series 65W,,
25,B01MYTY55V,Intel BX80677G3930 7th Gen Celeron Desktop Processors,,
26,B0876Y2TMZ,"AMD Ryzen 3 3100 4-Core, 8-Thread Unlocked Desktop Processor with Wraith Stealth Cooler",,
27,B089WC4VWF,"AMD Ryzen 5 3600XT 6-core, 12-threads unlocked desktop processor with Wraith Spire cooler",,
28,B086ML4XSB,Intel Core i7-10700K Desktop Processor 8 Cores up to 5.1 GHz Unlocked  LGA1200 (Intel 400 Series Chipset) 125W (BX8070110700K),,
29,B08HJ8P5XY,"GUZILA Mini PC,Intel Celeron J4125 Processor(up to 2.7GHz) Windows 10 Pro Mini Desktop Computer with 8GB DDR4/256GB SSD,Support Triple Display,Gigabit Ethernet,Dual Band Wi-Fi,Bluetooth 4.2,4K HD",,
30,B0815XFSGK,"AMD Ryzen 7 5800X 8-core, 16-Thread Unlocked Desktop Processor Without Cooler Black, XX-Large",,
31,B086MHSTWN,"Intel Core i5-10400F Desktop Processor 6 Cores up to 4.3 GHz Without Processor Graphics LGA1200 (Intel 400 Series chipset) 65W, Model Number: BX8070110400F",,
32,B079D3DBNM,AMD Ryzen 3 2200G Processor with Radeon Vega 8 Graphics - YD2200C5FBBOX,,
33,B086MG1C7D,Intel Core i9-10900KF Desktop Processor 10 Cores up to 5.3 GHz Unlocked Without Processor Graphics LGA1200 (Intel 400 Series chipset) 125W,,
34,B08B13KLQL,"ANPBAORE 240W PS-4241-1HA 702307-001 702455-001 Power Supply for HP ProDesk 400 600 800 G1 G2 SFF，P/N: 751884-001, 702309-001, 751886-001",,
35,B084TBGQMP,"Acer Chromebase AIO Desktop, 23.8inch Full HD Touch Screen, Intel Core i5-8250U Processor, 8GB DDR4 Memory, 128GB M.2 SSD, 802.11ac WiFi 5, Bluetooth 4.2 LE, Chrome OS, USB Keyboard & Mouse, CA24I2-5T2",,
36,B08NHWVWYR,Lenovo Ideapad 3 81WA00B1US Intel Pentium Gold 6405U Dual Core Processor 4GB RAM 128GB Solid State Drive HD LED Backlit Anti-Glare Display,"VicTsing MM057 2.4G Wireless Portable Mobile Mouse Optical Mice with USB Receiver, 5 Adjustable DPI…",https://www.amazon.com/VicTsing-Wireless-Portable-Receiver-Adjustable/dp/B013WC0P2A/ref=pd_bxgy_2/147-4304929-6627662?_encoding=UTF8&pd_rd_i=B013WC0P2A&pd_rd_r=2f89a370-29a4-4367-a995-acbfce2d0c7e&pd_rd_w=pZlOH&pd_rd_wg=vPZDA&pf_rd_p=f325d01c-4658-4593-be83-3e12ca663f0e&pf_rd_r=546XG8MYB3DF09T6N2NF&psc=1&refRID=546XG8MYB3DF09T6N2NF
37,B08166SLDF,"AMD Ryzen 5 5600X 6-core, 12-Thread Unlocked Desktop Processor with Wraith Stealth Cooler",,
38,B083JXPDL5,"Lenovo Tab M10 Plus, 10.3inch FHD Android Tablet, Octa-Core Processor, 64GB Storage, 4GB RAM, Iron Grey, ZA5T0300US",,
39,B07598VZR8,Intel Core i7-8700K Desktop Processor 6 Cores up to 4.7GHz Turbo Unlocked LGA1151 300 Series 95W,,
40,B0815JJQQ8,"AMD Ryzen Threadripper 3970X 32-Core, 64-Thread Unlocked Desktop Processor, without Cooler",,
41,B081V6W99V,"ASUS Laptop L210 Ultra Thin Laptop, 11.6” HD Display, Intel Celeron N4020 Processor, 4GB RAM, 64GB Storage, NumberPad, Windows 10 Home in S Mode with One Year of Microsoft 365 Personal, L210MA-DB01",,
42,B0883NPRL9,Intel Core i7-10700 Comet Lake 2.9GHz 16MB Cache CPU Desktop Processor Boxed,,
43,B07XW266D9,"SAMSUNG XE350XBA-K01US Chromebook 4 + Chrome OS 15.6inch Full HD Intel Celeron Processor N4000 4GB RAM 32Gb Emmc Gigabit Wi-Fi, Silver","VicTsing 2.4G Slim Wireless Mouse with Nano Receiver, Less Noise, Portable Mobile Optical Mice for…",/VicTsing-Wireless-Receiver-Noiseless-Computer/dp/B073CDQ1Z4/ref=pd_bxgy_2/135-0841375-8864254?_encoding=UTF8&pd_rd_i=B073CDQ1Z4&pd_rd_r=1045bbbd-9ba0-46b3-8e73-79a2e1cfbf7b&pd_rd_w=uP9UL&pd_rd_wg=yeS2t&pf_rd_p=f325d01c-4658-4593-be83-3e12ca663f0e&pf_rd_r=3MQQ60WYG92KHQCXEDH9&psc=1&refRID=3MQQ60WYG92KHQCXEDH9
44,B08LZMPFYX,"Daysky R9 PRO Laptop, 15.6inch Full HD Display, Intel Celeron J4115 Processor, 8GB DDR4 RAM 128GB SSD, Number Keyboard Easy Typing, RJ45 Network Port, Windows 10, Silver",,
45,B07S8DWXTC,Intel Celeron G4930 Desktop Processor 2 Core 3.2 GHz LGA1151 300 Series 54W,,
46,B0875VM7MN,Samsung Chrome OS 15.6inch Full HD Intel Celeron Processor N4000 4GB RAM 64GB eMMC Gigabit Wi-Fi -XE350XBA-K02US (Renewed),,
