,ASIN,name,freq_bought,freq_bought_link
0,B07STGGQ18,"AMD Ryzen 5 3600 6-Core, 12-Thread Unlocked Desktop Processor with Wraith Stealth Cooler",,
1,B089J731BX,Intel Core i9-9900K Desktop Processor 8 Cores up to 5.0GHz Unlocked LGA1151 300 Series 95W (BX806849900K),,
2,B07SXMZLP9,"AMD Ryzen 9 3900X 12-core, 24-thread unlocked desktop processor with Wraith Prism LED Cooler",,
3,B07SXMZLPK,"AMD Ryzen 7 3700X 8-Core, 16-Thread Unlocked Desktop Processor with Wraith Prism LED Cooler",,
4,B086MN38Q2,"Intel Core i5-10400 Desktop Processor 6 Cores up to 4.3 GHz  LGA1200 (Intel 400 Series Chipset) 65W, Model Number: BX8070110400",,
5,B07B41WS48,AMD Ryzen 5 2600 Processor with Wraith Stealth Cooler - YD2600BBAFBOX,,
6,B089WD454D,"AMD Ryzen 9 3900XT 12-core, 24-Threads Unlocked Desktop Processor Without Cooler",,
7,B07HHN6KBZ,Intel Core i7-9700K Desktop Processor 8 Cores up to 4.9 GHz Turbo unlocked LGA1151 300 Series 95W,,
8,B08T913C9D,"GeIL Orion RGB DDR4 RAM, 16GB (8GBx2) 3600MHz 1.35V XMP2.0, Intel/AMD Compatible, Long DIMM High Speed Desktop Memory, Hardcore Immersive Gaming/Multimedia Content Creation/Quality Live Streaming",,
9,B07XTQZJ28,AMD Ryzen 5 1600 65W AM4 Processor with Wraith Stealth Cooler (YD1600BBAFBOX),,
10,B07MGZ9FJZ,Intel Core i5-9400 Desktop Processor 6 Cores 2. 90 GHz up to 4. 10 GHz Turbo LGA1151 300 Series 65W Processors BX80684I59400,,
11,B08DHRG2X9,Intel Core i9-10850K Desktop Processor 10 Cores up to 5.2 GHz Unlocked LGA1200 (Intel 400 Series chipset) 125W,,
12,B086MMRW87,"Intel Core i3-10100 Desktop Processor 4 Cores up to 4.3 GHz  LGA1200 (Intel 400 Series Chipset) 65W, Model Number: BX8070110100",,
13,B07CKVW18G,Innovation Cooling Graphite Thermal Pad – Alternative to Thermal Paste/Grease (30 X 30mm),,
14,B07S6CRLVD,Intel Core i7-9700 Desktop Processor 8 Cores up to 4.7 GHz LGA1151 300 Series 65W,,
15,B07B428M7F,AMD Ryzen 7 2700X Processor with Wraith Prism LED Cooler - YD270XBGAFBOX,,
16,B07STGHZK8,AMD Ryzen 3 3200G 4-Core Unlocked Desktop Processor with Radeon Graphics,,
17,B086MMS6FV,Intel Core i7-10700KF Desktop Processor 8 Cores up to 5.1 GHz Unlocked Without Processor Graphics LGA1200 (Intel 400 Series chipset) 125W,,
18,B086M4KSMW,"Intel Core i3-10320 Desktop Processor 4 Cores up to 4.6 GHz LGA1200 (Intel 400 Series chipset) 65W, Model Number: BX8070110320",,
19,B08F2FS7SR,Vetroo V5 White CPU Air Cooler w/ 5 Heat Pipes 120mm PWM Processor Fan Intel LGA 1200 115X / AMD Ryzen AM4 Universal Socket w/Addressable RGB Lights,,
20,B00F8A3IW4,HP Intel Xeon E5-2640 v2 Octa-core (8 Core) 2 GHz Processor Upgrade - Socket R LGA-2011 712731-B21,,
21,B08T913C9D,"GeIL Orion RGB DDR4 RAM, 16GB (8GBx2) 3600MHz 1.35V XMP2.0, Intel/AMD Compatible, Long DIMM High Speed Desktop Memory, Hardcore Immersive Gaming/Multimedia Content Creation/Quality Live Streaming",,
22,B07CKVW18G,Innovation Cooling Graphite Thermal Pad – Alternative to Thermal Paste/Grease (30 X 30mm),,
23,B086MG1C7C,"Intel Core i7-10700 Desktop Processor 8 Cores up to 4.8 GHz LGA 1200 (Intel 400 Series Chipset) 65W, BX8070110700",,
24,B089WCXZJC,"AMD Ryzen 7 3800XT 8-core, 16-Threads Unlocked Desktop Processor Without Cooler",,
25,B07STGHZK8,AMD Ryzen 3 3200G 4-Core Unlocked Desktop Processor with Radeon Graphics,,
26,B07S8DWXT3,Intel Core i7-9700F Desktop Processor 8 Core 3 GHz speed (Up to 4.7 GHz) Without Processor Graphics LGA1151 300 Series 65W (BX80684I79700F),,
27,B086MHSH2C,Intel Core i5-10600K Desktop Processor 6 Cores up to 4.8 GHz Unlocked  LGA1200 (Intel 400 Series Chipset) 125W,,
28,B07MGBZWDZ,Intel BX80684I99900KF Intel Core i9-9900KF Desktop Processor 8 Cores up to 5.0 GHz Turbo Unlocked Without Processor Graphics LGA1151 300 Series 95W,,
29,B086M4KSMW,"Intel Core i3-10320 Desktop Processor 4 Cores up to 4.6 GHz LGA1200 (Intel 400 Series chipset) 65W, Model Number: BX8070110320",,
30,,"GIM KB-11 RGB Case Fans, 3 Pack 120mm Quiet Computer Cooling PC Fans, Music Rhythm 5V ARGB Addressable Motherboard SYNC/RC Controller, Colorful Cooler Speed Adjustable with Fan Control Hub",GIM KB-11 RGB Case Fan 120mm Fan Single Pack,https://www.amazon.com/GIM-KB-11-Case-120mm-Single/dp/B08CZNCFCB/ref=pd_bxgy_2/143-0123835-4546146?_encoding=UTF8&pd_rd_i=B08CZNCFCB&pd_rd_r=2378fd36-43dc-4698-a2f8-1be35a804f35&pd_rd_w=HD4A6&pd_rd_wg=Vbauq&pf_rd_p=f325d01c-4658-4593-be83-3e12ca663f0e&pf_rd_r=KWPFBKZ73DX1VKG88PAA&psc=1&refRID=KWPFBKZ73DX1VKG88PAA
31,B07SXNDKNM,"AMD Ryzen 5 3400G 4-core, 8-Thread Unlocked Desktop Processor with Radeon RX Graphics",,
32,B07SQBFN2D,"AMD Ryzen 5 3600X 6-Core, 12-Thread Unlocked Desktop Processor with Wraith Spire Cooler",,
33,B07HHLX1R8,Intel Core i5-9600K Desktop Processor 6 Cores up to 4.6 GHz Turbo unlocked LGA1151 300 Series 95W,,
34,B0759FGJ3Q,Intel Core i5-8400 Desktop Processor 6 Cores up to 4.0 GHz LGA 1151 300 Series 65W,,
35,B07XQQTVS3,"Samsung Chromebook 4 Chrome OS 11.6"" HD Intel Celeron Processor N4000 4GB RAM 32GB eMMC Gigabit Wi-Fi - XE310XBA-K01US",,
36,B012M8LXQW,"Intel BX80662I76700K 4512 Core i7 6700K 4.00 GHz Unlocked Quad Core Sky Lake Desktop Processor, Socket LGA 1151",,
37,B01E742BM4,LINK-MI TV04 2x2 Video Wall Controller USB+HDMI+VGA+AV TV HDMI with Fully-Digital Processing Channel Inside 180 Degree Rotate,,
38,B08K4H1DT3,"GIM MB8 ATX Case, Mid-Tower PC Gaming Chassis, Compact Computer Case with Tempered Glass Panel, 4 RGB Fans Pre-Installed, Water-Cooling Ready, Cable Management System - Black",,
39,B08T913C9D,"GeIL Orion RGB DDR4 RAM, 16GB (8GBx2) 3600MHz 1.35V XMP2.0, Intel/AMD Compatible, Long DIMM High Speed Desktop Memory, Hardcore Immersive Gaming/Multimedia Content Creation/Quality Live Streaming",,
40,B086MN38Q2,"Intel Core i5-10400 Desktop Processor 6 Cores up to 4.3 GHz  LGA1200 (Intel 400 Series Chipset) 65W, Model Number: BX8070110400",,
41,B07SXMZLP9,"AMD Ryzen 9 3900X 12-core, 24-thread unlocked desktop processor with Wraith Prism LED Cooler",,
42,B07MGZ9FJZ,Intel Core i5-9400 Desktop Processor 6 Cores 2. 90 GHz up to 4. 10 GHz Turbo LGA1151 300 Series 65W Processors BX80684I59400,,
43,B07MRCGQQ4,Intel Core i5-9400F Desktop Processor 6 Cores 4.1 GHz Turbo Without Graphics,,
44,B089WD454D,"AMD Ryzen 9 3900XT 12-core, 24-Threads Unlocked Desktop Processor Without Cooler",,
45,B08H4YTTLP,"ASUS VivoBook 15 F515 Thin and Light Laptop, 15.6” FHD Display, Intel Core i3-1005G1 Processor, 4GB DDR4 RAM, 128GB PCIe SSD, Fingerprint Reader, Windows 10 Home in S Mode, Slate Grey, F515JA-AH31",Nintendo Switch - Mario Red & Blue Edition - Switch,/Nintendo-Switch-Mario-Red-Blue/dp/B08M8YQMH4/ref=pd_bxgy_2/137-8236276-8781231?_encoding=UTF8&pd_rd_i=B08M8YQMH4&pd_rd_r=71600cf7-a428-4a58-832a-3ba398a6fd58&pd_rd_w=kh1F8&pd_rd_wg=qCPdn&pf_rd_p=f325d01c-4658-4593-be83-3e12ca663f0e&pf_rd_r=J140D653H6NQS7BWBAHF&psc=1&refRID=J140D653H6NQS7BWBAHF
46,B01E742BM4,LINK-MI TV04 2x2 Video Wall Controller USB+HDMI+VGA+AV TV HDMI with Fully-Digital Processing Channel Inside 180 Degree Rotate,,
47,B086M4KSMW,"Intel Core i3-10320 Desktop Processor 4 Cores up to 4.6 GHz LGA1200 (Intel 400 Series chipset) 65W, Model Number: BX8070110320",,
48,B07RXW4Y2K,Intel Core i3-9100 Desktop Processor 4 Cores up to 4.2 GHz LGA1151 300 Series 65W,,
49,B01MYTY55V,Intel BX80677G3930 7th Gen Celeron Desktop Processors,,
50,B0876Y2TMZ,"AMD Ryzen 3 3100 4-Core, 8-Thread Unlocked Desktop Processor with Wraith Stealth Cooler",,
51,B089WC4VWF,"AMD Ryzen 5 3600XT 6-core, 12-threads unlocked desktop processor with Wraith Spire cooler",,
52,B086ML4XSB,Intel Core i7-10700K Desktop Processor 8 Cores up to 5.1 GHz Unlocked  LGA1200 (Intel 400 Series Chipset) 125W (BX8070110700K),,
53,B08HJ8P5XY,"GUZILA Mini PC,Intel Celeron J4125 Processor(up to 2.7GHz) Windows 10 Pro Mini Desktop Computer with 8GB DDR4/256GB SSD,Support Triple Display,Gigabit Ethernet,Dual Band Wi-Fi,Bluetooth 4.2,4K HD",,
