,name,seller,seller_link,freq_bought,freq_bought_link,link_to_all_reviews,included components,ASIN,binding,colour,ram,color screen,wattage,international shipping,department,connectivity technologies,series,rated,number of pieces,national stock number,item weight,folding,os,model,language,brand name,installation method,wireless microphone frequency,standing screen display size,material,other camera features,spout height,flash memory size,best sellers rank,speaker count,max screen resolution,batteries,memory speed,batteries included?,material type,batteries required,hardware interface,is discontinued by manufacturer,part number,product dimensions,form factor,processor count,output wattage,model number,wireless communication technologies,item package quantity,voltage,mixer channel quantity,battery cell type,sound level,style,color name,brand,special features,is assembly required?,display resolution,date first available,device interface - primary,pricing,body material,item dimensions  lxwxh,power source,handle material,media format,color,compatible devices,compatible phone models,number of usb 2.0 ports,battery type,supported software,number of items,size,computer memory type,warranty description,accessory connection type,scanner resolution,rating,package dimensions,batteries required?,signal format,operating system,hardware platform,number of usb 3.0 ports,manufacturer part number,domestic shipping,speaker size,fabric type,connector type,screen resolution,other display features,manufacturer,finish,additional features,item model number
0,"Canon EOS Rebel T100 DSLR Camera with 18-55mm f/3.5-5.6 Zoom Lens + 32GB Card, Tripod, Case, and More (18pc Bundle)",Al's Variety,https://www.amazon.com/gp/help/seller/at-a-glance.html/ref=dp_merchant_link?ie=UTF8&seller=A2NT2M6E4K15CK&isAmazonFulfilled=1,"SanDisk 128GB Ultra SDXC UHS-I Memory Card - 100MB/s, C10, U1, Full HD, SD Card - SDSDUNR-128G-GN6IN",https://www.amazon.com/SanDisk-128GB-Ultra-UHS-I-Memory/dp/B07YFGG1SD/ref=pd_bxgy_2/140-4723308-6872266?_encoding=UTF8&pd_rd_i=B07YFGG1SD&pd_rd_r=69a8f1bc-e67e-49d7-8ab4-3409df467906&pd_rd_w=PovWs&pd_rd_wg=BCDzi&pf_rd_p=f325d01c-4658-4593-be83-3e12ca663f0e&pf_rd_r=32RKFJQFP5G38J54EGFK&psc=1&refRID=32RKFJQFP5G38J54EGFK,https://www.amazon.com//Canon-EOS-Rebel-T100-18-55mm/product-reviews/B087T9B6X5/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,,B087T9B6X5,,,,,,,,,,,,,1.05 pounds,,,,,,,,,,,,,"#6,039 in Electronics ( See Top 100 in Electronics ) #7 in DSLR Cameras",,,1 Lithium ion batteries required. (included),,,,,,,,3.06 x 5.08 x 3.99 inches,,,,,,,,,,,,,,,,,"April 28, 2020",,,,,,,,,,,,,,,,,,,,4.7,,,,,,,,,,,,,,Al's Variety-Canon Intl,,,Canon EOS Rebel T100
1,"Canon EOS 4000D DSLR Camera with EF-S 18-55mm f/3.5-5.6 III Lens Advanced Bundle - Includes: Extended Life LPE10 Replacement Battery, 50"" Gripster Tripod & More",SSE Photo & Video,https://www.amazon.com/gp/help/seller/at-a-glance.html/ref=dp_merchant_link?ie=UTF8&seller=A36VT43W2I07N0&isAmazonFulfilled=1,"SanDisk 128GB Ultra SDXC UHS-I Memory Card - 100MB/s, C10, U1, Full HD, SD Card - SDSDUNR-128G-GN6IN",https://www.amazon.com/SanDisk-128GB-Ultra-UHS-I-Memory/dp/B07YFGG1SD/ref=pd_bxgy_2/144-6093014-9900966?_encoding=UTF8&pd_rd_i=B07YFGG1SD&pd_rd_r=f1c14b36-a8cc-4a9b-8be8-b356680d1fa3&pd_rd_w=qu7gm&pd_rd_wg=fQyk4&pf_rd_p=f325d01c-4658-4593-be83-3e12ca663f0e&pf_rd_r=XQQWQK2MK79VQFHGT6Z1&psc=1&refRID=XQQWQK2MK79VQFHGT6Z1,https://www.amazon.com//Camera-18-55mm-3-5-5-6-Beginners-Bundle/product-reviews/B0868VLMWK/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,,B0868VLMWK,,,,,,,,,,,,,6.8 pounds,,,,,,,,,,,,,"#31,792 in Electronics ( See Top 100 in Electronics ) #92 in DSLR Cameras",,,2 Lithium ion batteries required. (included),,,,,,No,,,,,,,,,,,,,,,,,,,"March 23, 2020",,,,,,,,,,,,,,,,,,,,4.6,17.7 x 14.2 x 6.57 inches,,,,,,,,,,,,,SSE,,,2628C003
2,Canon EOS 4000D / Rebel T100 Digital SLR Camera Body w/Canon EF-S 18-55mm f/3.5-5.6 Lens 3 Lens DSLR Kit Bundled with Complete Accessory Bundle + 64GB + Flash + Case & More - International Model,Think BIG,https://www.amazon.com/gp/help/seller/at-a-glance.html/ref=dp_merchant_link?ie=UTF8&seller=A2FG5KABYDBHQD&isAmazonFulfilled=1,,,https://www.amazon.com//Canon-4000D-Digital-Complete-Accessory/product-reviews/B08DQ4QQ6R/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,,B08DQ4QQ6R,,,,,,,,,,,,,7.02 pounds,,,,,,,,,,,,,"#12,967 in Electronics ( See Top 100 in Electronics ) #26 in DSLR Cameras",,,,,,,,,,,,,,,,,,,,,,,,,,,,"July 27, 2020",,,,,,,,,,,,,,,,,,,,4.5,17.52 x 11.65 x 6.77 inches,,,,,,,,,,,,,Canon Cameras Inc.,,,4000D
3,"Panasonic LUMIX FZ300 Long Zoom Digital Camera Features 12.1 Megapixel, 1/2.3-Inch Sensor, 4K Video, WiFi, Splash & Dustproof Camera Body, LEICA DC 24X F2.8 Zoom Lens - DMC-FZ300K - (Black) USA",,,MegaGear Ultra Light Neoprene Camera Case Compatible with Panasonic Lumix DMC-FZ300,/MegaGear-Neoprene-Carabiner-Panasonic-DMC-FZ300/dp/B016MXJAC2/ref=pd_bxgy_2/130-8794770-6406629?_encoding=UTF8&pd_rd_i=B016MXJAC2&pd_rd_r=e5758a7d-0806-40ad-8cc0-68ac84532c0f&pd_rd_w=BltCI&pd_rd_wg=d4Tpl&pf_rd_p=f325d01c-4658-4593-be83-3e12ca663f0e&pf_rd_r=33NW1V3FF0NZYDNJD2M3&psc=1&refRID=33NW1V3FF0NZYDNJD2M3,https://www.amazon.com//PANASONIC-Features-Megapixel-2-3-inch-Dustproof/product-reviews/B011PKJI2Y/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,,B011PKJI2Y,,,,,,,,,,,,,1.52 pounds,,,,,,,,,,,,,"#1,688 in Electronics ( See Top 100 in Electronics ) #2 in Digital Point & Shoot Cameras",,,1 Lithium ion batteries required. (included),,,,,,No,,4.61 x 5.18 x 3.6 inches,,,,,,,,,,,,,,,,,"July 15, 2015",,,,,,,,,,,,,,,,,,,,4.7,,,,,,,,,,,,,,Panasonic,,,DMC-FZ300K
4,"Canon EOS Rebel T6 Digital SLR Camera Kit with EF-S 18-55mm f/3.5-5.6 is II Lens, Built-in WiFi and NFC - Black (Renewed)",OnyxMicro,https://www.amazon.com/gp/help/seller/at-a-glance.html/ref=dp_merchant_link?ie=UTF8&seller=A1GCGMU9L6HJ6X&isAmazonFulfilled=1,"SanDisk 128GB Ultra SDXC UHS-I Memory Card - 100MB/s, C10, U1, Full HD, SD Card - SDSDUNR-128G-GN6IN",https://www.amazon.com/SanDisk-128GB-Ultra-UHS-I-Memory/dp/B07YFGG1SD/ref=pd_bxgy_2/136-0545009-0380566?_encoding=UTF8&pd_rd_i=B07YFGG1SD&pd_rd_r=fde9cdf4-d197-4c3d-85c2-dcd57181e30e&pd_rd_w=bfeXF&pd_rd_wg=rD78n&pf_rd_p=f325d01c-4658-4593-be83-3e12ca663f0e&pf_rd_r=PPGG6ER18FNXR2TX5A9M&psc=1&refRID=PPGG6ER18FNXR2TX5A9M,https://www.amazon.com//Canon-Digital-Camera-18-55mm-3-5-5-6/product-reviews/B06XNTPN8C/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,,B06XNTPN8C,,,,,,,,,,,,,3 pounds,,,,,,,,,,,,,"#19,911 in Electronics ( See Top 100 in Electronics ) #41 in DSLR Cameras",,,1 Lithium Polymer batteries required.,,,,,,No,,8.8 x 5.4 x 6.6 inches,,,,,,,,,,,,,,,,,"December 10, 2016",,,,,,,,,,,,,,,,,,,,4.7,,,,,,,,,,,,,,Canon,,,1159C003
5,Canon PowerShot SX420 Digital Camera w/ 42x Optical Zoom - Wi-Fi & NFC Enabled (Black),,,SanDisk Ultra 32GB Class 10 SDHC UHS-I Memory Card up to 80MB/s (SDSDUNC-032G-GN6IN),/SanDisk-Ultra-Class-Memory-SDSDUNC-032G-GN6IN/dp/B0143RT8OY/ref=pd_bxgy_2/139-1279268-1860409?_encoding=UTF8&pd_rd_i=B0143RT8OY&pd_rd_r=f65287ef-d69e-4eaa-abee-0d247ff48413&pd_rd_w=V9U7E&pd_rd_wg=etIjp&pf_rd_p=f325d01c-4658-4593-be83-3e12ca663f0e&pf_rd_r=GV41XHC6TSZSP7349PA0&psc=1&refRID=GV41XHC6TSZSP7349PA0,https://www.amazon.com//Canon-PowerShot-Digital-Camera-Optical/product-reviews/B019UDI5PO/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,,B019UDI5PO,,,,,,,,,,,,,11.5 ounces,,,,,,,,,,,,,"#3,876 in Electronics ( See Top 100 in Electronics ) #14 in Digital Point & Shoot Cameras",,,1 C batteries required. (included),,,,,,No,,3.4 x 4.1 x 2.7 inches,,,,,,,,,,,,,,,,,"January 5, 2016",,,,,,,,,,,,,,,,,,,,4.3,,,,,,,,,,,,,,Canon,,,1068C001
6,"FeiyuTech AK2000C Gimbal 3-Axis Handheld Stabilizer for Mirrorless/DSLR Cameras Like Sony a9/a7/A6300/A6400,CANON EOS R,M50,80D,Panasonic GH4,GH5,Nikon Z7,FUJIFILM XT4/XT3,4.85 lb Payload,Quick Charge",SZ_Eyes4u,https://www.amazon.com/gp/help/seller/at-a-glance.html/ref=dp_merchant_link?ie=UTF8&seller=AS3N1DMZOJ39E&isAmazonFulfilled=1,,,https://www.amazon.com//FeiyuTech-AK2000C-Stabilizer-Mirrorless-Panasonic/product-reviews/B088M5MRMS/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,,B088M5MRMS,,,,,,,,,,,,,2.42 pounds,,,,,,,,,,,,,#61 in Professional Video Stabilizers,,,,,,,,,,,5.8 x 8.02 x 14.68 inches,,,,,,,,,,,,,,,,,"May 1, 2020",,,,,,,,,,,,,,,,,,,,4.9,,,,,,,,,,,,,,FeiyuTech,,,AK2000C
7,EOS 4000D Digital Camera with EF-S 18-55MM F/3.5-5.6 III Lens + Basic Accessories Bundle (International Version),Deal-Expo,https://www.amazon.com/gp/help/seller/at-a-glance.html/ref=dp_merchant_link?ie=UTF8&seller=ASE16O3V1EWB9&isAmazonFulfilled=1,"SanDisk 128GB Ultra SDXC UHS-I Memory Card - 100MB/s, C10, U1, Full HD, SD Card - SDSDUNR-128G-GN6IN",https://www.amazon.com/SanDisk-128GB-Ultra-UHS-I-Memory/dp/B07YFGG1SD/ref=pd_bxgy_2/136-0851986-6171243?_encoding=UTF8&pd_rd_i=B07YFGG1SD&pd_rd_r=0b3ac08f-55fb-469c-a0de-01ed232bb7a1&pd_rd_w=rvkdT&pd_rd_wg=kWS7N&pf_rd_p=f325d01c-4658-4593-be83-3e12ca663f0e&pf_rd_r=XF1AWRGSKKNEQY9KNRSX&psc=1&refRID=XF1AWRGSKKNEQY9KNRSX,https://www.amazon.com//Digital-18-55MM-3-5-5-6-Accessories-International/product-reviews/B07Y5K1215/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,,B07Y5K1215,,,,,,,,,,,,,3.85 pounds,,,,,,,,,,,,,"#93,281 in Electronics ( See Top 100 in Electronics ) #452 in DSLR Cameras",,,1 Lithium ion batteries required. (included),,,,,,,,,,,,,,,,,,,,,,,,,"February 22, 2019",,,,,,,,,,,,,,,,,,,,4.6,10.24 x 8.27 x 6.85 inches,,,,,,,,,,,,,Deal-Expo,,,CN4000D-1855IIIDBB64GB
8,Canon EOS 2000D / Rebel T7 Digital SLR Camera Body w/Canon EF-S 18-55mm f/3.5-5.6 Lens 3 Lens DSLR Kit Bundled with Complete Accessory Bundle + 64GB + Flash + Case & More - International Model,Think BIG,https://www.amazon.com/gp/help/seller/at-a-glance.html/ref=dp_merchant_link?ie=UTF8&seller=A2FG5KABYDBHQD&isAmazonFulfilled=1,,,,,B08S5FD42N,,,,,,,,,,,,,7.04 pounds,,,,,,,,,,,,,"#8,351 in Electronics ( See Top 100 in Electronics ) #15 in DSLR Cameras",,,1 Lithium ion batteries required. (included),,,,,,,,,,,,,,,,,,,,,,,,,"July 25, 2020",,,,,,,,,,,,,,,,,,,,5.0,17.52 x 11.57 x 6.89 inches,,,,,,,,,,,,,Canon Cameras Inc.,,,2000D
9,"Nikon D5600 DSLR Camera with 18-55mm VR Lens + 128GB Card, Tripod, Flash, ALS Variety Lens Cloth, and More",Al's Variety,https://www.amazon.com/gp/help/seller/at-a-glance.html/ref=dp_merchant_link?ie=UTF8&seller=A2NT2M6E4K15CK&isAmazonFulfilled=1,,,https://www.amazon.com//Nikon-D5600-Camera-18-55mm-Variety/product-reviews/B08N7ZRW9C/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,,B08N7ZRW9C,,,,,,,,,,,,,1.02 pounds,,,,,,,,,,,,,"#38,552 in Electronics ( See Top 100 in Electronics ) #117 in DSLR Cameras",,,1 Lithium ion batteries required. (included),,,,,,,,4.9 x 2.8 x 3.8 inches,,,,,,,,,,,,,,,,,"November 11, 2020",,,,,,,,,,,,,,,,,,,,4.7,,,,,,,,,,,,,,Al's Variety-Nikon int,,,Nikon D5600
