,name,seller,seller_link,freq_bought,freq_bought_link,link_to_all_reviews,cover included,standing screen display size,color screen,wattage,fabric type,flash memory size,processor count,connectivity technology,mirror adjustment,pricing,size,material,brand,department,scanner resolution,is assembly required?,colour,speaker amplification type,international shipping,audio sensitivity,hardware interface,audio jack,phone standy time (with data),power source type,color,form factor,domestic shipping,oem part number,gsm frequencies,mfg recommended age,ram,wireless remote,compatible phone models,item weight,usage,manufacturer,batteries,number of component outputs,model,device interface - primary,manufacturer recommended age,signal format,warranty description,display technology,special features,output wattage,thickness,guitar pick thickness,battery type,safety rating,item package quantity,language,rated,rating,phone talk time,batteries required,is discontinued by manufacturer,specification met,width (inches),package dimensions,release date,date first available,national stock number,power source,material type,specific uses for product,max screen resolution,batteries required?,compatible devices,our recommended age,import designation,manufacturer part number,display size,operating system,included components,brand name,ASIN,weight,computer memory type,part number,model number,style,connector type,binding,color name,product dimensions,impedance,shape,connectivity technologies,additional features,height (inches),horsepower,additional product features,os,wireless communication technologies,hardware platform,warranty,finish,number of items,series,batteries included?,voltage,other display features,battery cell type,folding,item dimensions  lxwxh,item model number,best sellers rank
0,TOZO T10 Bluetooth 5.0 Wireless Earbuds with Wireless Charging Case IPX8 Waterproof TWS Stereo Headphones in Ear Built in Mic Headset Premium Sound with Deep Bass for Sport Black,Ilike,https://www.amazon.com/gp/help/seller/at-a-glance.html/ref=dp_merchant_link?ie=UTF8&seller=A2PVRGCJFM6NRZ&isAmazonFulfilled=1,TOZO W1 Wireless Charger Thin Aviation Aluminum Computer Numerical Control Technology Fast Charging…,https://www.amazon.com/TOZO-Wireless-Upgraded-Sleep-Friendly-FastCharging/dp/B07FM8R7J1/ref=pd_bxgy_2/135-3160909-8777901?_encoding=UTF8&pd_rd_i=B07FM8R7J1&pd_rd_r=5a5a8b62-7bdd-49a5-ac4d-04638071caac&pd_rd_w=6TSxr&pd_rd_wg=Qv6cs&pf_rd_p=f325d01c-4658-4593-be83-3e12ca663f0e&pf_rd_r=MKEZS1TY4A4A2C4PVYAW&psc=1&refRID=MKEZS1TY4A4A2C4PVYAW,https://www.amazon.com//TOZO-Bluetooth-Wireless-Headphones-Waterproof/product-reviews/B07J2Z5DBM/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,,,,,,,,,,,,,,All,,,,,,,,,,,,,,,,,,,,0.1 ounces,,TOZO,1 Lithium ion batteries required. (included),,,,,,,,,,,,,,,,,4.3,,,No,,,,,"October 5, 2018",T10,,,,,,,,,,,,,,B07J2Z5DBM,,,,,,,,,1.04 x 0.99 x 0.66 inches,,,,,,,,,,,,,,,,,,,,,4353513035,#4 in Earbud & In-Ear Headphones
1,TOZO T6 True Wireless Earbuds Bluetooth Headphones Touch Control with Wireless Charging Case IPX8 Waterproof TWS Stereo Earphones in-Ear Built-in Mic Headset Premium Deep Bass for Sport Black,Ilike,https://www.amazon.com/gp/help/seller/at-a-glance.html/ref=dp_merchant_link?ie=UTF8&seller=A2PVRGCJFM6NRZ&isAmazonFulfilled=1,TOZO W1 Wireless Charger Thin Aviation Aluminum Computer Numerical Control Technology Fast Charging…,https://www.amazon.com/TOZO-Wireless-Upgraded-Sleep-Friendly-FastCharging/dp/B07FM8R7J1/ref=pd_bxgy_2/146-7046550-9689444?_encoding=UTF8&pd_rd_i=B07FM8R7J1&pd_rd_r=15825472-8b4a-4596-b66a-b3c415890bd2&pd_rd_w=WL9S1&pd_rd_wg=QeaK4&pf_rd_p=f325d01c-4658-4593-be83-3e12ca663f0e&pf_rd_r=4335YA7BV96HM2FM3KFT&psc=1&refRID=4335YA7BV96HM2FM3KFT,https://www.amazon.com//TOZO-T6-Bluetooth-Headphones-Waterproof/product-reviews/B07RGZ5NKS/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,,,,,,,,,,,,,,All,,,,,,,,,,,,,,,,,,,,0.16 ounces,,TOZO,1 Lithium ion batteries required. (included),,,,,,,,,,,,,,,,,4.5,,,No,,,,,"May 9, 2019",T6,,,,,,,,,,,,,,B07RGZ5NKS,,,,,,,,,0.59 x 0.79 x 0.59 inches,,,,,,,,,,,,,,,,,,,,,TOZO T6 True Wireless Stereo Headphones,#5 in Earbud & In-Ear Headphones
2,"Anker Soundcore Life Q20 Hybrid Active Noise Cancelling Headphones, Wireless Over Ear Bluetooth Headphones, 40H Playtime, Hi-Res Audio, Deep Bass, Memory Foam Ear Cups, for Travel, Home Office",AnkerDirect,https://www.amazon.com/gp/help/seller/at-a-glance.html/ref=dp_merchant_link?ie=UTF8&seller=A294P4X9EWVXLJ&isAmazonFulfilled=1,,,https://www.amazon.com//Soundcore-Cancelling-Headphones-Wireless-Bluetooth/product-reviews/B07NM3RSRQ/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.3 ounces,,Anker,1 Lithium Polymer batteries required. (included),,,,,,,,,,,,,,,,,4.5,,,,,,,,"March 21, 2019",,,,,,,,,,,,,,,B07NM3RSRQ,,,,,,,,,7.68 x 7.09 x 3.07 inches,,,,,,,,,,,,,,,,,,,,,AK-A3025011,#1 in Over-Ear Headphones
3,"Bluetooth Over-Ear Headphones, Zihnic Foldable Wireless and Wired Stereo Headset Micro SD/TF, FM for Cell Phone,PC,Soft Earmuffs &Light Weight for Prolonged Waring (Rose Gold)",Zihnic,https://www.amazon.com/gp/help/seller/at-a-glance.html/ref=dp_merchant_link?ie=UTF8&seller=A3Q7KK2GT06VYU&isAmazonFulfilled=1,TalkWorks Aux Cable 3.5mm Audio Cord for Car (2 Pack) 6ft Long Heavy Duty Male to Male Jack…,https://www.amazon.com/TalkWorks-Metallic-Auxiliary-Extension-Headphones/dp/B0852JV66X/ref=pd_bxgy_2/130-6353560-8260338?_encoding=UTF8&pd_rd_i=B0852JV66X&pd_rd_r=1409eee2-6725-40ab-b32d-99afba7872a1&pd_rd_w=9GiDx&pd_rd_wg=9Q8YG&pf_rd_p=f325d01c-4658-4593-be83-3e12ca663f0e&pf_rd_r=6V4FP4JA3K14AMRYN7RW&psc=1&refRID=6V4FP4JA3K14AMRYN7RW,https://www.amazon.com//Bluetooth-Over-Ear-Headphones-Foldable-Prolonged/product-reviews/B07K5214NZ/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.4 ounces,,Zihnic,1 Lithium ion batteries required. (included),,,,,,,,,,,,,,,,,4.4,,,No,,,,,"November 9, 2018",,,,,,,,,,,,,,,B07K5214NZ,,,,,,,,,6.7 x 6.7 x 3.35 inches,,,,,,,,,,,,,,,,,,,,,5962916614,#5 in Over-Ear Headphones
4,TOZO T6 True Wireless Earbuds Bluetooth Headphones Touch Control with Wireless Charging Case IPX8 Waterproof TWS Stereo Earphones in-Ear Built-in Mic Headset Premium Deep Bass for Sport (Champagne),Ilike,https://www.amazon.com/gp/help/seller/at-a-glance.html/ref=dp_merchant_link?ie=UTF8&seller=A2PVRGCJFM6NRZ&isAmazonFulfilled=1,TOZO W1 Wireless Charger Thin Aviation Aluminum Computer Numerical Control Technology Fast Charging…,https://www.amazon.com/TOZO-Wireless-Aviation-Aluminum-Charging/dp/B07FLVNCYN/ref=pd_bxgy_2/145-8544759-7271857?_encoding=UTF8&pd_rd_i=B07FLVNCYN&pd_rd_r=a5b5e6ec-0bd8-4498-afa8-4006240a7a65&pd_rd_w=PvHTP&pd_rd_wg=hyt2X&pf_rd_p=f325d01c-4658-4593-be83-3e12ca663f0e&pf_rd_r=C105PHM5BXP5E74AN15S&psc=1&refRID=C105PHM5BXP5E74AN15S,https://www.amazon.com//TOZO-T6-Bluetooth-Headphones-Waterproof/product-reviews/B08F1SX35C/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,,,,,,,,,,,,,,All,,,,,,,,,,,,,,,,,,,,6 ounces,,TOZO,1 Product Specific batteries required. (included),,,,,,,,,,,,,,,,,4.5,,,No,,,4.65 x 4.61 x 1.34 inches,,"July 31, 2020",,,,,,,,,,,,,,,B08F1SX35C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,T6,#129 in Earbud & In-Ear Headphones
5,"Headphones with Microphone, Vogek Lightweight Foldable on Ear Headset for Kids Teens Adults, Wired Stereo Headphones with Deep Bass, Portable Design for Home Office Travel Virtual Schooling, Black",Sopownic US,https://www.amazon.com/gp/help/seller/at-a-glance.html/ref=dp_merchant_link?ie=UTF8&seller=AJ97V0AWPRUZG&isAmazonFulfilled=1,"PeohZarr On-Ear Headphones with Microphone, Lightweight Folding Stereo Bass Headphones with 1.5M…",https://www.amazon.com/PeohZarr-Headphones-Microphone-Lightweight-Smartphone/dp/B07SHH37M6/ref=pd_bxgy_2/135-4088383-7816534?_encoding=UTF8&pd_rd_i=B07SHH37M6&pd_rd_r=0a931981-a973-439d-a633-886a540383c7&pd_rd_w=OEdr8&pd_rd_wg=hCHl8&pf_rd_p=f325d01c-4658-4593-be83-3e12ca663f0e&pf_rd_r=QDTQSXS7XGPET2XS43F5&psc=1&refRID=QDTQSXS7XGPET2XS43F5,https://www.amazon.com//Headphones-Lightweight-Portable-Fold-Flat-Microphone-Black/product-reviews/B07MCCJ6VY/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,,,,,,,,,,,,,,Unisex-adult,,,,,,,,,,,,,,,,,,,,5.1 ounces,,VOGEK,,,,,,,,,,,,,,,,,,4.5,,,No,,,,,"January 10, 2019",,,,,,,,,,,,,,,B07MCCJ6VY,,,,,,,,,2.76 x 1.97 x 0.67 inches,,,,,,,,,,,,,,,,,,,,,WGYP,#27 in On-Ear Headphones
6,"Hybrid Active Noise Cancelling Headphones, VANKYO C751 Over Ear Wireless Bluetooth Headphones with CVC 8.0 Mic, Deep Bass, Hi-Fi Sound, 30H Playtime Headset for Adults, TV, Online Class, Home Office",Catfish Force,https://www.amazon.com/gp/help/seller/at-a-glance.html/ref=dp_merchant_link?ie=UTF8&seller=A2QJQR8DPHL921&isAmazonFulfilled=1,,,https://www.amazon.com//Cancelling-Headphones-Bluetooth-Headphone-Comfortable/product-reviews/B0868MDSL5/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.56 pounds,,vankyo,1 Lithium Polymer batteries required. (included),,,,,,,,,,,,,,,,,4.5,,,,,,,,"April 14, 2020",,,,,,,,,,,,,,,B0868MDSL5,,,,,,,,,3.1 x 2.37 x 1.47 inches,,,,,,,,,,,,,,,,,,,,,V9D,#1 in Telephone Headsets #16 in Over-Ear Headphones
7,Kids Headphones - noot products K11 Foldable Stereo Tangle-Free 3.5mm Jack Wired Cord On-Ear Headset for Children/Teens/Boys/Girls/Smartphones/School/Kindle/Airplane Travel/Plane/Tablet (Navy/Teal),noot products,https://www.amazon.com/gp/help/seller/at-a-glance.html/ref=dp_merchant_link?ie=UTF8&seller=A3FSIWTA4211F2&isAmazonFulfilled=1,"Mpow CH6S Kids Headphones with Microphone Over Ear, On Ear Headphones for Kids with HD Sound Sharing…",https://www.amazon.com/Mpow-Headphones-Over-Ear-Function-Cellphone/dp/B07PD9V78L/ref=pd_bxgy_2/140-0608500-0285306?_encoding=UTF8&pd_rd_i=B07PD9V78L&pd_rd_r=a2677875-b53d-463b-9b2d-d8dfbb56f244&pd_rd_w=0icTx&pd_rd_wg=SUd1t&pf_rd_p=f325d01c-4658-4593-be83-3e12ca663f0e&pf_rd_r=39AQW0CKJA9FM3862XF7&psc=1&refRID=39AQW0CKJA9FM3862XF7,https://www.amazon.com//Kids-Headphones-products-Tangle-Free-Ear/product-reviews/B0746RBK2M/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,,,,,,,,,,,,,,Electronics,,,,,,,,,,,,,,,,,,,,8 ounces,,noot products,,,,,,,,,,,,,,,,,,4.7,,,No,,,,,"July 24, 2017",,,,,,,,,,,,,,,B0746RBK2M,,,,,,,,,5 x 4 x 2 inches,,,,,,,,,,,,,,,,,,,,,k11,#19 in On-Ear Headphones
8,"LETSCOM Bluetooth Headphones V5.0 IPX7 Waterproof, Wireless Sport Earphones, HiFi Bass Stereo Sweatproof Earbuds W/Mic, Noise Cancelling Headset for Workout, Running, Gym, 8 Hours Play time",DFWL US,https://www.amazon.com/gp/help/seller/at-a-glance.html/ref=dp_merchant_link?ie=UTF8&seller=A2L1KZ9X44LHRJ&isAmazonFulfilled=1,,,https://www.amazon.com//LETSCOM-Headphones-Waterproof-Sweatproof-Cancelling/product-reviews/B07R2J14V3/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4 ounces,,LETSCOM,1 Lithium Polymer batteries required. (included),,,,,,,,,,,,,,,,,4.4,,,,,,,,"April 19, 2019",,,,,,,,,,,,,,,B07R2J14V3,,,,,,,,,3.94 x 3.94 x 1.85 inches,,,,,,,,,,,,,,,,,,,,,U8I,#33 in Earbud & In-Ear Headphones
9,"True Wireless Earbuds,TWS Bluetooth 5.0 Headphones with Wireless Charging Case,Occiam Touch Control Hi-Fi Stereo Bluetooth Earphones with mic,Waterproof & 30H Playtime Headset for Sports Running Work",TY DIRECT,https://www.amazon.com/gp/help/seller/at-a-glance.html/ref=dp_merchant_link?ie=UTF8&seller=A2BWKSTZ1VNU11&isAmazonFulfilled=1,TOZO W1 Wireless Charger Thin Aviation Aluminum Computer Numerical Control Technology Fast Charging…,https://www.amazon.com/TOZO-Wireless-Upgraded-Sleep-Friendly-FastCharging/dp/B07FM8R7J1/ref=pd_bxgy_2/141-2568414-2438733?_encoding=UTF8&pd_rd_i=B07FM8R7J1&pd_rd_r=93826d19-1cc9-4323-9682-59ba546eda90&pd_rd_w=nRaKT&pd_rd_wg=5QP43&pf_rd_p=f325d01c-4658-4593-be83-3e12ca663f0e&pf_rd_r=VDZ0HF44KVEPEA93HJ2Q&psc=1&refRID=VDZ0HF44KVEPEA93HJ2Q,https://www.amazon.com//Wireless-Bluetooth-Headphones-Earphones-Waterproof/product-reviews/B08QJ2GD6V/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,,,,,,,,,,,,,,Boys,,,,,,,,,,,,,,,,,,,,0.1 ounces,,Occiam,1 Lithium ion batteries required. (included),,,,,,,,,,,,,,,,,4.4,,,,,,,,"December 14, 2020",,,,,,,,,,,,,,,B08QJ2GD6V,,,,,,,,,2.13 x 1.93 x 1.06 inches,,,,,,,,,,,,,,,,,,,,,,#50 in Earbud & In-Ear Headphones
