,name,seller,seller_link,freq_bought,freq_bought_link,link_to_all_reviews,is discontinued by manufacturer,ink color,manufacturer,rating,international shipping,chipset brand,graphics coprocessor,series,hard drive interface,processor brand,pricing,hard drive rotational speed,color name,number of usb 2.0 ports,product dimensions,card description,other display features,power source,manufacturer part number,colour,flash memory size,item package quantity,package dimensions,binding,optical drive type,memory speed,batteries included?,screen resolution,brand,item model number,wireless type,size,connectivity technology,graphics card ram size,max screen resolution,shape,material,standing screen display size,ASIN,national stock number,release date,department,battery cell type,processor count,model number,form factor,color,included components,connectivity technologies,number of items,best sellers rank,batteries,os,average battery life (in hours),computer memory type,voltage,device interface - primary,battery description,special features,hardware platform,item dimensions  lxwxh,domestic shipping,operating system,part number,batteries required,date first available,brand name,type of bulb,language,expansion,item weight,rated,number of usb 3.0 ports,material type,rear webcam resolution,batteries required?
0,Havit Wired Gaming Keyboard Mouse Combo LED Rainbow Backlit Gaming Keyboard RGB Gaming Mouse Ergonomic Wrist Rest 104 Keys Keyboard Mouse 4800 DPI for Windows & Mac PC Gamers (Black),HavitDirect,https://www.amazon.com/gp/help/seller/at-a-glance.html/ref=dp_merchant_link?ie=UTF8&seller=A3TJEO884AOUB3&isAmazonFulfilled=1,Acer SB220Q bi 21.5 Inches Full HD (1920 x 1080) IPS Ultra-Thin Zero Frame Monitor (HDMI & VGA Port…,https://www.amazon.com/Acer-SB220Q-Ultra-Thin-Frame-Monitor/dp/B07CVL2D2S/ref=pd_bxgy_2/137-8118399-8624716?_encoding=UTF8&pd_rd_i=B07CVL2D2S&pd_rd_r=5de94feb-64da-4e42-bcb4-39cbeb2ac2a3&pd_rd_w=Uwqfw&pd_rd_wg=78Vo1&pf_rd_p=f325d01c-4658-4593-be83-3e12ca663f0e&pf_rd_r=Z93G27ADN3SW7QRBANYT&psc=1&refRID=Z93G27ADN3SW7QRBANYT,https://www.amazon.com//HAVIT-Rainbow-Backlit-Gaming-Keyboard/product-reviews/B016Y2BVKA/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,No,,Havit,4.5,,,,HV-KB558CM-US,,,,,,,18.9 x 8.27 x 1.38 inches,,,,,,,,,,,,,,Havit,HV-KB558CM,,,,,,,,,B016Y2BVKA,,,,,1.0,,,Black,,,,#155 in Video Games ( See Top 100 in Video Games ) #5 in PC Gaming Keyboards,,,,DDR3 SDRAM,5 volts,,,,PC,18.9 x 8.27 x 1.38 inches,,Windows 2000 / 2003 / XP / Vista / Win7 / Win8 /Win10/Mac OS,,,"October 21, 2015",,,,,1.5 pounds,,,,,
1,"Manhattan Black Wired Keyboard (5 ft. USB-A Cable) with 104-keys, Foldable Stands, and LED Indicator Lights - Compatible for Windows",Manhattan Products,https://www.amazon.com/gp/help/seller/at-a-glance.html/ref=dp_merchant_link?ie=UTF8&seller=A1X6FIAIH64IC&isAmazonFulfilled=1,,,https://www.amazon.com//Manhattan-104-key-Keyboard-Built-Indicator/product-reviews/B07RQVB3HQ/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,,,Manhattan,4.3,,,,,,,,,,,,,,,,,,,17.9 x 5.7 x 1.2 inches,,,,,,,179324,,,,,,,,,B07RQVB3HQ,,,,,,,,,,,,#18 in Computer Keyboards,,,,,,,,,,,,,,,"May 14, 2019",,,,,14.4 ounces,,,,,
2,"Logitech Desktop MK120 Durable, Comfortable, USB Mouse and keyboard Combo",,,,,https://www.amazon.com//Logitech-Desktop-Durable-Comfortable-keyboard/product-reviews/B003NREDC8/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,No,,Logitech,4.6,,,,,,,,,,,21.3 x 1.75 x 7.75 inches,,,,,,,,,,,,,,,920-002565,,,,,,,,,B003NREDC8,,,,,,,,,,,,#3 in Computer Keyboard & Mouse Combos,1 Lithium Polymer batteries required.,,,,,,,,,,,,,,"May 23, 2010",,,English,,1 pounds,,,,,
3,"NPET K10 Gaming Keyboard USB Wired Floating Keyboard, Quiet Ergonomic Water-Resistant Mechanical Feeling Keyboard, Ultra-Slim Rainbow LED Backlit Keyboard for Desktop, Computer, PC",NPETGame,https://www.amazon.com/gp/help/seller/at-a-glance.html/ref=dp_merchant_link?ie=UTF8&seller=A12Z6LDCAYICPE&isAmazonFulfilled=1,"VicTsing Mouse Pad with Stitched Edge, Premium-Textured Mouse Mat, Non-Slip Rubber Base Mousepad for…",https://www.amazon.com/VicTsing-Stitched-Premium-Textured-Non-Slip-10-2%C3%978-3%C3%970-08/dp/B075WW7V6W/ref=pd_bxgy_2/143-0333629-7578119?_encoding=UTF8&pd_rd_i=B075WW7V6W&pd_rd_r=f2b1b3ff-3822-45b1-af88-d1bf2dd8d9aa&pd_rd_w=WcrCo&pd_rd_wg=n3Yf6&pf_rd_p=f325d01c-4658-4593-be83-3e12ca663f0e&pf_rd_r=Q5SA14608M88BS6S3V0S&psc=1&refRID=Q5SA14608M88BS6S3V0S,https://www.amazon.com//NPET-Floating-Keyboard-Mechanical-Illuminated/product-reviews/B01ALLT2W4/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,No,,NPET,4.5,,,,,,,,,,,17.32 x 5.51 x 0.98 inches,,,,,,,,,,,,,,,FBA_HY-ECCAK,,,,,,,,,B01ALLT2W4,,,,,,,,,,,,#94 in Video Games ( See Top 100 in Video Games ) #4 in PC Gaming Keyboards,,,,,,,,,,,,,,,"January 14, 2016",,,,,1.32 pounds,,,,,
4,"VicTsing Wireless Keyboard [Enlarged Indicator Light], 2.4G Ergonomic Wireless Computer Keyboard, Full Size PC Keyboard with Numeric Keypad for Laptop/Desktop/Surface/Chromebook/Notebook, Black",Chang Heng Trade,https://www.amazon.com/gp/help/seller/at-a-glance.html/ref=dp_merchant_link?ie=UTF8&seller=A2BAQTMW2D6CER&isAmazonFulfilled=1,,,https://www.amazon.com//VicTsing-Wireless-Indicator-Ergonomic-Chromebook/product-reviews/B08C73FX64/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,,,VicTsing,4.5,,,,,,,,,,,,,,,,,,,17.28 x 5.87 x 1.22 inches,,,,,,,UL-FGUJ-ZXHB,,,,,,,,,B08C73FX64,,,,,,,,,,,,#14 in Computer Keyboards,,,,,,,,,,,,,,,"July 1, 2020",,,,,1.23 pounds,,,,,
5,"Wireless Keyboard Mouse Combo, Cimetech Compact Full Size Wireless Keyboard and Mouse Set 2.4G Ultra-Thin Sleek Design for Windows, Computer, Desktop, PC, Notebook - (Wine red)",cntorich,https://www.amazon.com/gp/help/seller/at-a-glance.html/ref=dp_merchant_link?ie=UTF8&seller=A2XQ24V0YK7MEI&isAmazonFulfilled=1,"Jelly Comb Type-c Wireless Mouse, USB C Computer Silent Mouse with 3 DPI:1000-1600-2400 for Mac…",https://www.amazon.com/Wireless-Jelly-Comb-Adjustable-Receiver/dp/B07Y65DF83/ref=pd_bxgy_2/144-2900874-4284453?_encoding=UTF8&pd_rd_i=B07Y65DF83&pd_rd_r=25fa2574-b49b-4b54-84dc-20ffd9b6177b&pd_rd_w=5H8Ki&pd_rd_wg=UQPd1&pf_rd_p=f325d01c-4658-4593-be83-3e12ca663f0e&pf_rd_r=2587ME62VRT6PC4V8AXZ&psc=1&refRID=2587ME62VRT6PC4V8AXZ,https://www.amazon.com//Wireless-Keyboard-Cimetech-Ultra-Thin-Computer/product-reviews/B088D126GD/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,,,cntorich,4.4,,,,,,,,,,,,,,,,,,,15.13 x 5.71 x 1.85 inches,,,,,,,,,,,,,,,,B088D126GD,,,,,,,,,,,,#20 in Computer Keyboard & Mouse Combos,,,,,,,,,,,,,,,"May 9, 2020",,,,,1.35 pounds,,,,,
6,"Wireless Keyboard Mouse Combo, Cimetech Compact Full Size Wireless Keyboard and Mouse Set 2.4G Ultra-Thin Sleek Design for Windows, Computer, Desktop, PC, Notebook, Laptop - Silver",cntorich,https://www.amazon.com/gp/help/seller/at-a-glance.html/ref=dp_merchant_link?ie=UTF8&seller=A2XQ24V0YK7MEI&isAmazonFulfilled=1,HP 24mh FHD Monitor - Computer Monitor with 23.8-Inch IPS Display (1080p) - Built-In Speakers and…,https://www.amazon.com/HP-24mh-FHD-Monitor-Built/dp/B08BF4CZSV/ref=pd_bxgy_2/135-4384981-7491756?_encoding=UTF8&pd_rd_i=B08BF4CZSV&pd_rd_r=d5260965-cc88-4be4-afdd-cd68d1acf92c&pd_rd_w=chfV4&pd_rd_wg=bmm8b&pf_rd_p=f325d01c-4658-4593-be83-3e12ca663f0e&pf_rd_r=6MW5HPDJXKZGXVGD0VRC&psc=1&refRID=6MW5HPDJXKZGXVGD0VRC,https://www.amazon.com//Wireless-Keyboard-Cimetech-Ultra-Thin-Computer/product-reviews/B07YF98LDJ/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,,,cntorich,4.4,,,,,,,,,,,,,,,,,,,14.96 x 5.79 x 1.85 inches,,,,,,,,,,,,,,,,B07YF98LDJ,,,,,,,,,,,,#53 in Computer Keyboard & Mouse Combos,,,,,,,,,,,,,,,"September 26, 2019",,,,,1.34 pounds,,,,,
7,Logitech K400 Plus Wireless Touch TV Keyboard with Easy Media Control and Built-In Touchpad,,,,,https://www.amazon.com//Logitech-Wireless-Keyboard-Control-Touchpad/product-reviews/B014EUQOGK/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,No,,Logitech,4.5,,,,K400 Plus,,,,,,,13.95 x 5.5 x 0.93 inches,,,Battery powered,,,,,,,,,,,Logitech,920-007119,2.4 GHz Radio Frequency,,,,,,,,,,,,,1.0,,,Black,,,,#6 in Computer Keyboards,1 Lithium Polymer batteries required. (included),,,,,,,,"PC, Television",13.95 x 5.5 x 0.93 inches,,"Chrome os, Windows 7",,,"August 22, 2015",,,,,13.8 ounces,,,,,
8,Corsair K55 RGB Gaming Keyboard – IP42 Dust and Water Resistance – 6 Programmable Macro Keys – Dedicated Media Keys - Detachable Palm Rest Included (CH-9206015-NA),,,,,https://www.amazon.com//CORSAIR-K55-RGB-Gaming-Keyboard/product-reviews/B01M4LIKLI/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,No,,Corsair,4.7,,,,,,,,,,1.0,18.9 x 6.6 x 1.4 inches,,,,,,,,,,,,,,Corsair,CH-9206015-NA,,,,,,,,,,,,,,,,,Black,,,,#158 in Video Games ( See Top 100 in Video Games ) #6 in PC Gaming Keyboards,1 AAA batteries required.,,,,,,,,PC,18.9 x 6.6 x 1.4 inches,,"Windows 8.1, Windows 8, Windows 7, Mac OS X 10.12 Sierra, Windows 10",,,"November 22, 2016",,,,,1.8 pounds,,,,,
9,"Wireless Keyboard and Mouse, WisFox Full-Size Wireless Mouse and Keyboard Combo, 2.4GHz Silent USB Wireless Keyboard Mouse Combo for PC Desktops Computer, Laptops, Windows",Xigesi,https://www.amazon.com/gp/help/seller/at-a-glance.html/ref=dp_merchant_link?ie=UTF8&seller=A1NV7ZH6UL021N&isAmazonFulfilled=1,HP 24mh FHD Monitor - Computer Monitor with 23.8-Inch IPS Display (1080p) - Built-In Speakers and…,https://www.amazon.com/HP-24mh-FHD-Monitor-Built/dp/B08BF4CZSV/ref=pd_bxgy_2/144-6534936-3428738?_encoding=UTF8&pd_rd_i=B08BF4CZSV&pd_rd_r=0e09ab85-b957-46fd-b835-98f2485a77a4&pd_rd_w=JXFIH&pd_rd_wg=g7RRE&pf_rd_p=f325d01c-4658-4593-be83-3e12ca663f0e&pf_rd_r=HQXJXECCP2XXCBDHG7MV&psc=1&refRID=HQXJXECCP2XXCBDHG7MV,https://www.amazon.com//Wireless-Keyboard-Full-Size-Desktops-Computer/product-reviews/B07XDWCLYF/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,,,WisFox,4.5,,,,,,,,,,,16.9 x 4.9 x 1 inches,,,,,,,,,,,,,,,,,,,,,,,,B07XDWCLYF,,,,,,,,,,,,#10 in Computer Keyboard & Mouse Combos,,,,,,,,,,,,,,,"September 3, 2019",,,,,1.1 pounds,,,,,
