,name,seller,seller_link,freq_bought,freq_bought_link,link_to_all_reviews,other display features,stromversorgung und steckertyp,stil,modellnummer,item dimensions  lxwxh,im angebot von amazon.de seit,ASIN,hard drive interface,processor brand,anzahl usb 3.0 schnittstellen,artikelgewicht,date first available,antriebsart,ausdehnung,average battery life (in hours),brand,number of usb 3.0 ports,auslaufartikel (produktion durch hersteller eingestellt),bearbeitungsart,processor count,voltage,herstellernummer,included components,batterien notwendig,hersteller,optischer speicher,sprache,item model number,anzahl der leuchtmittel,spannung,durchschnittliche batterielaufzeit,batterien erforderlich,höhe,länge,steckertyp,stromverbrauch,item weight,durchschnittliche kundenbewertung,gesamter recycling-anteil,produktabmessungen,computer memory type,feinheit,marke,form,color,anzeige maximalgewicht,artikelabmessungen l x b x h,additional features,versand im inland,besondere merkmale,größe,farbe,amazon bestseller-rang,national stock number,anzahl der packungen,standing screen display size,number of usb 2.0 ports,operating system,is discontinued by manufacturer,material,anzahl usb 2.0 schnittstellen,power source,wireless type,display-größe,rating,festplatteninterface,volt,import-angabe,lampentyp,package dimensions,optical drive type,graphics card ram size,color name,speichergröße grafikkarte,bildschirmauflösung,audio sensitivity,special features,breite,internationaler versand,stilrichtung,wlan typ,kompatible geräte,battery description,speicher-art,batterien,batteries,memory speed,hardware plattform,batterien inbegriffen,manufacturer,hard drive rotational speed,hardware platform,betriebssystem,connectivity technologies,kategorie,audio-ausgangsanschlüsse (#),produktanzahl,series,farbbildschirm,perlenform,blattgröße,brand name,screen resolution,schirmmaterial,chipset brand,rear webcam resolution,modell/serie,altersempfehlung des herstellers,gewicht,best sellers rank,graphics coprocessor,artikelnummer,verpackungsabmessungen,card description,flash memory size,product dimensions,leuchtrichtung,max screen resolution
0,"CHUWI Herobook Pro 14.1 inch Windows 10 Intel N4000 Dual Core 8GB RAM 256GB ROM Notebook,Thin and Lightweight Laptop,BT4.0 (Herobook Pro (Herobook Pro(2020))",CHUWI,https://www.amazon.com/gp/help/seller/at-a-glance.html/ref=dp_merchant_link?ie=UTF8&seller=A19DTZHT4S76Z5&isAmazonFulfilled=1,"VicTsing MM057 2.4G Wireless Portable Mobile Mouse Optical Mice with USB Receiver, 5 Adjustable DPI…",https://www.amazon.com/VicTsing-Wireless-Portable-Receiver-Adjustable/dp/B013WC0P2A/ref=pd_bxgy_2/140-9137302-4167109?_encoding=UTF8&pd_rd_i=B013WC0P2A&pd_rd_r=0009bc69-f608-429b-bee3-fc4942754e2f&pd_rd_w=osV5C&pd_rd_wg=LSe16&pf_rd_p=f325d01c-4658-4593-be83-3e12ca663f0e&pf_rd_r=9XH9TYXZ0TDPVRKX1GZ6&psc=1&refRID=9XH9TYXZ0TDPVRKX1GZ6,https://www.amazon.com//CHUWI-Herobook-Pro-Notebook-Lightweight/product-reviews/B085XRL3P1/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,,,,,13.07 x 8.43 x 0.84 inches,,B085XRL3P1,ATA-4,Intel,,,"March 11, 2020",,,5 	years,CHUWI,,,,4,,,,,,,,Herobook Pro,,,,,,,,,3.06 pounds,,,,DDR4 SDRAM,,,,Herobook Pro(2020),,,,,,,,,,,14.1 Inches,,Windows 10,,,,Battery Powered,Bluetooth,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,PC,,,,,,HeroBook Pro,,,,,1920x1080,,Intel,500 Lines Per Inch,,,,"#1,069 in Computers & Accessories ( See Top 100 in Computers & Accessories ) #109 in Traditional Laptop Computers",Intel Celeron Processor N4000,,,Integrated,256 GB,13.07 x 8.43 x 0.84 inches,,1920 x 1080 Lines Per Inch
1,"CHUWI HeroBook Pro 14.1 inch Windows 10 Laptop Computer, 8G RAM / 256GB SSD with Intel Gmini Lake N4000 Notebook, Thin and Light",ChuwiDirect,https://www.amazon.com/gp/help/seller/at-a-glance.html/ref=dp_merchant_link?ie=UTF8&seller=A33LF4MGG0Q0UV&isAmazonFulfilled=1,"VicTsing MM057 2.4G Wireless Portable Mobile Mouse Optical Mice with USB Receiver, 5 Adjustable DPI…",https://www.amazon.com/VicTsing-Wireless-Portable-Receiver-Adjustable/dp/B013WC0P2A/ref=pd_bxgy_2/136-8422401-1502561?_encoding=UTF8&pd_rd_i=B013WC0P2A&pd_rd_r=1714fb1a-c51f-4074-9663-ec85600329a0&pd_rd_w=G1zHN&pd_rd_wg=E80mH&pf_rd_p=f325d01c-4658-4593-be83-3e12ca663f0e&pf_rd_r=KYPN545YTHDG8CH7M23Q&psc=1&refRID=KYPN545YTHDG8CH7M23Q,https://www.amazon.com//CHUWI-HeroBook-Pro-Notebook-Lightweight/product-reviews/B08316YSKH/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,,,,,13.07 x 8.43 x 0.84 inches,,B08316YSKH,Solid State,Intel,,,"December 22, 2019",,,9 Hours,CHUWI,,,,2,,,,,,,,Herobook Pro,,,,,,,,,3.06 pounds,,,,DDR4 SDRAM,,,,Silver,,,,,,,,,,,14.1 Inches,1,Windows 10,,,,DC,"Bluetooth, 802.11bgn, 802.11ac",,4.0,,,,,,,,,,,,,,,,,,,,,1 Product Specific batteries required. (included),2.6 GHz,,,,,PC,,,,,,HeroBook Pro,,,,,1920x1080,,Intel,,,,,"#1,340 in Computers & Accessories ( See Top 100 in Computers & Accessories ) #144 in Traditional Laptop Computers",Intel UHD Graphics 600,,,,256 GB,13.07 x 8.43 x 0.84 inches,,1920 x1080 Pixels
2,"ASUS Laptop L210 Ultra Thin Laptop, 11.6” HD Display, Intel Celeron N4020 Processor, 4GB RAM, 64GB Storage, NumberPad, Windows 10 Home in S Mode with One Year of Microsoft 365 Personal, L210MA-DB01",,,,,https://www.amazon.com//ASUS-Processor-NumberPad-Microsoft-L210MA-DB01/product-reviews/B081V6W99V/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,,,,,11 x 7.5 x 0.67 inches,,B081V6W99V,,Intel,,,"October 5, 2020",,,12 Hours,ASUS,2,,,2,19 volts,,,,,,,L210MA-DB01,,,,,,,,,2.31 pounds,,,,DDR4 SDRAM,,,,Blue,,,,,,,,,,,11.6 Inches,1,Windows 10 S,,,,Battery Powered,"Bluetooth, 802.11ac",,4.3,,,,,,No Optical Drive,4 GB,,,,,,,,,,,,,,1 Lithium Metal batteries required. (included),2.8 GHz,,,,,PC,,,,,,ASUS Laptop L210MA,,,,,,,Intel,,,,,#26 in Computers & Accessories ( See Top 100 in Computers & Accessories ) #2 in Traditional Laptop Computers,Intel UHD Graphics 600,,,Integrated,64,11 x 7.5 x 0.67 inches,,1366 x 768 Pixels
3,"HP Stream 14-inch Laptop, Intel Celeron N4000, 4 GB RAM, 64 GB eMMC, Windows 10 Home in S Mode with Office 365 Personal for 1 Year (14-cb186nr, Brilliant Black) (9MV74UA#ABA)",GIMME A HUG,https://www.amazon.com/gp/help/seller/at-a-glance.html/ref=dp_merchant_link?ie=UTF8&seller=AO7KC3BTIQXMP&isAmazonFulfilled=1,"VicTsing 2.4G Slim Wireless Mouse with Nano Receiver, Less Noise, Portable Mobile Optical Mice for…",https://www.amazon.com/VicTsing-Wireless-Receiver-Noiseless-Computer/dp/B073CDQ1Z4/ref=pd_bxgy_2/133-1648806-3292255?_encoding=UTF8&pd_rd_i=B073CDQ1Z4&pd_rd_r=5bfabdb3-908c-4669-8523-b639c2a76217&pd_rd_w=frHsk&pd_rd_wg=ZcnMc&pf_rd_p=f325d01c-4658-4593-be83-3e12ca663f0e&pf_rd_r=NJMGM1TD4M8GCGFQMH38&psc=1&refRID=NJMGM1TD4M8GCGFQMH38,https://www.amazon.com//HP-14-cb186nr-Brilliant-9MV74UA-ABA/product-reviews/B084SMMH96/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,,,,,13.27 x 8.9 x 0.7 inches,,B084SMMH96,,Intel,,,"March 1, 2020",,,14.25 Hours,HP,2,,,2,,,,,,,,9MV74UA#ABA,,,,,,,,,3.17 pounds,,,,DDR4 SDRAM,,,,Brilliant Black,,,,,,,,,,,14 Inches,1,Windows 10 Home,,,,Battery Powered,"802.11a/b/g/n/ac, Bluetooth",,4.5,,,,,,No Optical Drive,,,,,,,,,,,,,,,1 Lithium ion batteries required. (included),2.6 GHz,,,,,,,,,,,Stream Laptop,,,,,,,Intel,,,,,#813 in Computers & Accessories ( See Top 100 in Computers & Accessories ) #83 in Traditional Laptop Computers,,,,Integrated,4,13.27 x 8.9 x 0.7 inches,,1366 x 768 Pixels
4,"Lenovo IdeaPad 3 15"" Laptop, 15.6"" HD (1366 x 768) Display, AMD Ryzen 3 3250U Processor, 4GB DDR4 Onboard RAM, 128GB SSD, AMD Radeon Vega 3 Graphics, Windows 10, 81W10094US, Business Black",,,"VicTsing MM057 2.4G Wireless Portable Mobile Mouse Optical Mice with USB Receiver, 5 Adjustable DPI…",/VicTsing-Wireless-Portable-Receiver-Adjustable/dp/B013WC0P2A/ref=pd_bxgy_2/145-8162945-0609153?_encoding=UTF8&pd_rd_i=B013WC0P2A&pd_rd_r=255a6b87-eb10-4878-977e-f8c665be07c2&pd_rd_w=TVUJ4&pd_rd_wg=B9Myt&pf_rd_p=f325d01c-4658-4593-be83-3e12ca663f0e&pf_rd_r=8PYBP23FQH4Q7TKJXXSE&psc=1&refRID=8PYBP23FQH4Q7TKJXXSE,https://www.amazon.com//Lenovo-Processor-Graphics-81W10094US-Business/product-reviews/B0872K4XCJ/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,,,,,14.26 x 9.98 x 0.78 inches,,B0872K4XCJ,,AMD,,,"April 13, 2020",,,,Lenovo,2,,,1,,,,,,,,81W10094US,,,,,,,,,4.84 pounds,,,,DDR4 SDRAM,,,,Business Black,,,,,,,,,,,15.6 Inches,1,Windows 10 S,,,,Battery Powered,"Bluetooth, 802.11ac",,4.4,,,,,,,,,,,,,,,,,,,,,1 Lithium Polymer batteries required. (included),2400 MHz,,,,,,,,,,,"IdeaPad 3 15""",,,,,,,AMD,,,,,#257 in Computers & Accessories ( See Top 100 in Computers & Accessories ) #26 in Traditional Laptop Computers,AMD Radeon Vega 3,,,Integrated,,14.26 x 9.98 x 0.78 inches,,1366 x 768 Pixels
5,"Lenovo Flex 5 14"" 2-in-1 Laptop, 14.0"" FHD (1920 x 1080) Touch Display, AMD Ryzen 5 4500U Processor, 16GB DDR4, 256GB SSD, AMD Radeon Graphics, Digital Pen Included, Win 10, 81X20005US, Graphite Grey",Awesome Tech Electronics (All SN Recorded),https://www.amazon.com/gp/help/seller/at-a-glance.html/ref=dp_merchant_link?ie=UTF8&seller=A2E1H10PEHITLX&isAmazonFulfilled=1,"ASUS Laptop L210 Ultra Thin Laptop, 11.6” HD Display, Intel Celeron N4020 Processor, 4GB RAM, 64GB…",https://www.amazon.com/ASUS-Processor-NumberPad-Microsoft-L210MA-DB01/dp/B081V6W99V/ref=pd_bxgy_2/135-4408076-6289236?_encoding=UTF8&pd_rd_i=B081V6W99V&pd_rd_r=9495ee1f-dc39-44e3-bf3c-d80251660326&pd_rd_w=FFBaq&pd_rd_wg=0t8kd&pf_rd_p=f325d01c-4658-4593-be83-3e12ca663f0e&pf_rd_r=TXJE06AJYA6XEZMTJ0C5&psc=1&refRID=TXJE06AJYA6XEZMTJ0C5,https://www.amazon.com//Lenovo-Processor-Graphics-Included-81X20005US/product-reviews/B086226DDB/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,,,,,12.66 x 8.56 x 0.82 inches,,B086226DDB,,AMD,,,"March 17, 2020",,,10 Hours,Lenovo,2,,,1,,,,,,,,81X20005US,,,,,,,,,3.63 pounds,,,,DDR4 SDRAM,,,,Graphite Grey,,,,,,,,,,,14 Inches,,Windows 10,,,,Battery Powered,802.11ac,,4.5,,,,,,,,,,,,,,,,,,,,,1 Lithium Polymer batteries required. (included),,,,,,,,,,,,"Flex 5 14""",,,,,,,AMD,,,,,#188 in Computers & Accessories ( See Top 100 in Computers & Accessories ) #2 in 2 in 1 Laptop Computers,AMD Integrated Graphics,,,Integrated,,12.66 x 8.56 x 0.82 inches,,1920 x 1080 Pixels
6,"Acer Nitro 5 Gaming Laptop, 10th Gen Intel Core i5-10300H,NVIDIA GeForce GTX 1650 Ti, 15.6"" Full HD IPS 144Hz Display, 8GB DDR4,256GB NVMe SSD,WiFi 6, DTS X Ultra,Backlit Keyboard,AN515-55-59KS",,,"VicTsing Mouse Pad with Stitched Edge, Premium-Textured Mouse Mat, Non-Slip Rubber Base Mousepad for…",/VicTsing-Stitched-Premium-Textured-Non-Slip-10-2%C3%978-3%C3%970-08/dp/B075WW7V6W/ref=pd_bxgy_2/141-9230718-6542611?_encoding=UTF8&pd_rd_i=B075WW7V6W&pd_rd_r=d77a7b71-d579-4781-b04b-042f3ca78af3&pd_rd_w=VpDKS&pd_rd_wg=XlFU4&pf_rd_p=f325d01c-4658-4593-be83-3e12ca663f0e&pf_rd_r=JDY4AY469753ZQRFG5H2&psc=1&refRID=JDY4AY469753ZQRFG5H2,https://www.amazon.com//Acer-i5-10300H-GeForce-Keyboard-AN515-55-59KS/product-reviews/B08H2H89K1/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,,,,,14.31 x 10.04 x 0.94 inches,,B08H2H89K1,Gigabit Ethernet,Intel,,,"October 18, 2020",,,9 Hours,Acer,4,,,4,,,,,,,,AN515-55-59KS,,,,,,,,,2.64 pounds,,,,DDR4 SDRAM,,,,Black,,,,,,,,,,,15.6 Inches,,Windows 10 Home,,,,Battery Powered,802.11ax,,4.6,,,,,,No Optical Drive,,,,,,,,,,,,,,,1 Lithium Polymer batteries required. (included),4.5 GHz,,,,,,,,,,,AN515-55-59KS,,,,,,,Intel,,,,,#160 in Computers & Accessories ( See Top 100 in Computers & Accessories ) #14 in Traditional Laptop Computers,NVIDIA GeForce GTX 1650,,,Integrated,256,14.31 x 10.04 x 0.94 inches,,
7,"Microsoft Surface Laptop Go - 12.4"" Touchscreen - Intel Core i5 - 8GB Memory - 256GB SSD - Sandstone",,,,,https://www.amazon.com//Microsoft-Surface-Laptop-Touchscreen-Sandstone/product-reviews/B08GZLYB6Q/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,,,,,9.27 x 12.19 x 1.93 inches,,B08GZLYB6Q,,Intel,,,"October 1, 2020",,,,Microsoft,2,,,4,,,,,,,,THJ-00035,,,,,,,,,2.45 pounds,,,,,,,,Sandstone,,,,,,,,,,,12.45 Inches,,Windows 10 S,,,,Battery Powered,,,4.6,,,,,,,,,,,,,,,,,,,,,1 Lithium Polymer batteries required. (included),,,,,,,,,,,,Surface Laptop Go,,,,,1536 x 1024,,Intel,,,,,"#1,111 in Computers & Accessories ( See Top 100 in Computers & Accessories ) #115 in Traditional Laptop Computers",,,,Integrated,256,9.27 x 12.19 x 1.93 inches,,1536 x 1024
8,Acer Aspire 3 Intel Core i5-1035G1 8GB 256 GB SSD 15.6-Inch Full HD (1920 x 1080) Win 10 Laptop,usa_accessories,https://www.amazon.com/gp/help/seller/at-a-glance.html/ref=dp_merchant_link?ie=UTF8&seller=A32Y6VRLUU2WGH&isAmazonFulfilled=1,"VicTsing MM057 2.4G Wireless Portable Mobile Mouse Optical Mice with USB Receiver, 5 Adjustable DPI…",https://www.amazon.com/VicTsing-Wireless-Portable-Receiver-Adjustable/dp/B013WC0P2A/ref=pd_bxgy_2/136-5413265-2349007?_encoding=UTF8&pd_rd_i=B013WC0P2A&pd_rd_r=0779af85-9a3e-4079-9ac3-51120998a610&pd_rd_w=Qq3AF&pd_rd_wg=Z1KfC&pf_rd_p=f325d01c-4658-4593-be83-3e12ca663f0e&pf_rd_r=H82M58KQ0TJ6J2N6JGXR&psc=1&refRID=H82M58KQ0TJ6J2N6JGXR,https://www.amazon.com//Acer-Aspire-i5-1035G1-Windows-A315-56-594W/product-reviews/B08FNZHZJM/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,,,,,14.3 x 9.7 x 0.78 inches,,B08FNZHZJM,Solid State,Intel,,,"August 11, 2020",,,,Acer,1,,,4,,,,,,,,A315-56-594W,,,,,,,,,1 pounds,,,,DDR4 SDRAM,,,,Steel Gray,,,,,,,,,,,15.6 Inches,1,Windows 10,,,,Battery Powered,Bluetooth,,4.4,,,,,,No Optical Drive,,,,,,,,,,,,,,,1 Lithium Metal batteries required. (included),3.6 GHz,,,,,PC,,,,,,A315-56-594W,,,,,1920x1080,,Intel,,,,,"#1,265 in Computers & Accessories ( See Top 100 in Computers & Accessories ) #136 in Traditional Laptop Computers",Integrated,,,Integrated,256,14.3 x 9.7 x 0.78 inches,,1920x1080 Pixels
9,"ASUS VivoBook 15 F515 Thin and Light Laptop, 15.6” FHD Display, Intel Core i3-1005G1 Processor, 4GB DDR4 RAM, 128GB PCIe SSD, Fingerprint Reader, Windows 10 Home in S Mode, Slate Grey, F515JA-AH31",,,,,https://www.amazon.com//ASUS-i3-1005G1-Processor-Fingerprint-F515JA-AH31/product-reviews/B08H4YTTLP/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,,,,,14.2 x 9.2 x 0.78 inches,,B08H4YTTLP,USB 3.2,Intel,,,"October 23, 2020",,,,ASUS,2,,,2,19 volts,,,,,,,F515JA-AH31,,,,,,,,,3.97 pounds,,,,DDR4 SDRAM,,,,Slate Grey,,,,,,,,,,,15.6 Inches,2,Windows 10 S,,,,,"Bluetooth, 802.11ac",,4.5,,,,,,No Optical Drive,4 GB,,,,,,,,,,,,,,1 Lithium ion batteries required. (included),3.4 GHz,,,,,PC,,,,,,VivoBook 15,,,,,1920 x 1080 pixels,,Intel,,,,,#129 in Computers & Accessories ( See Top 100 in Computers & Accessories ) #11 in Traditional Laptop Computers,Intel UHD Graphics,,,Integrated,128,14.2 x 9.2 x 0.78 inches,,1920 x 1080 Pixels
