,name,seller,seller_link,freq_bought,freq_bought_link,link_to_all_reviews,number of usb 2.0 ports,is discontinued by manufacturer,domestic shipping,international shipping,computer memory type,department,manufacturer,additional features,brand name,material care instructions,max screen resolution,connectivity technologies,processor count,measurement system,item package quantity,hard drive rotational speed,hard drive interface,expansion,warranty description,memory speed,line size,national stock number,model,optical drive type,color,voltage,screen resolution,ASIN,assembled width,card description,language,other display features,size,ram,plug profile,product dimensions,item weight,rating,hardware platform,average battery life (in hours),pricing,light direction,os,chipset brand,display type,operating system,finish types,color screen,weight,part number,style,bulb features,best sellers rank,batteries,number of lights,item model number,contains,switch style,special features,installation method,average life,certification,wireless type,processor brand,date first available,item display height,wattage,color name,assembled height,shape,display style,batteries included?,number of items,included components,switch installation type,batteries required?,display technology,series,head style,material type,is assembly required?,power source,color temperature,colour,cover included,compatible devices,type of bulb,shade color,rear webcam resolution,shade material,specific uses,release date,connector type,flash memory size,specification met,number of usb 3.0 ports,item dimensions  lxwxh,number of pieces,graphics card ram size,folding,standing screen display size,batteries required,material,package dimensions,manufacturer part number,binding,assembled length,graphics coprocessor,brand
0,HP 24mh FHD Monitor - Computer Monitor with 23.8-Inch IPS Display (1080p) - Built-In Speakers and VESA Mounting - Height/Tilt Adjustment for Ergonomic Viewing - HDMI and DisplayPort - (1D0J9AA#ABA),Moonlight LLC.,https://www.amazon.com/gp/help/seller/at-a-glance.html/ref=dp_merchant_link?ie=UTF8&seller=A2MZXE8OBK2W1W&isAmazonFulfilled=1,,,https://www.amazon.com//HP-24mh-FHD-Monitor-Built/product-reviews/B08BF4CZSV/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,,,,,,,Hewlett Packard,,,,1920 x 1080 Pixels,,,,,,,,,,,,,,Jet Black,100240 volts,1920 x 1080 pixels,B08BF4CZSV,,,,,,,,23.54 x 8.33 x 18.28 inches,9.94 pounds,4.7,,,,,,,,,,,,,,,#79 in Electronics ( See Top 100 in Electronics ) #4 in Computer Monitors,,,24mh,,,,,,,,,"September 6, 2020",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.54 x 8.33 x 18.28 inches,,,,23.8 Inches,,,,,,,,HP
1,"Sceptre E248W-19203R 24 Ultra Thin 75Hz 1080p LED Monitor 2x HDMI VGA Build-in Speakers, Metallic Black 2018",,,,,https://www.amazon.com//Sceptre-E248W-19203R-Monitor-Speakers-Metallic/product-reviews/B0773ZY26F/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,,No,,,,,Sceptre Inc.,,,,1920 x 1080 Pixels,,,,,,,,,,,,,,Metallic Black,110240 volts,1920x1080,B0773ZY26F,,,,,,,,21.59 x 7.02 x 15.83 inches,5.77 pounds,4.6,,,,,,,,,,,,,,,#151 in Electronics ( See Top 100 in Electronics ) #9 in Computer Monitors,,,E248W-19203R,,,,,,,,,"November 1, 2017",,,,,,,,,,,,,E248W-19203R,,,,,,,,,,,,,,,,,,,21.59 x 7.02 x 15.83 inches,,,,24 Inches,,,,,,,,Sceptre
2,"Sceptre Curved 27 75Hz LED Monitor HDMI VGA Build-In Speakers, EDGE-LESS Metal Black 2019 (C275W-1920RN)",,,,,https://www.amazon.com//Sceptre-Monitor-Speakers-Edge-Less-C275W-1920RN/product-reviews/B07MTRQ6B3/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,,No,,,,,Sceptre,,,,1920 x 1080 Pixels,,,,,,,,,,,,,,Metal Black,120 volts_of_alternating_current,1920x1080,B07MTRQ6B3,,,,,,,,24.27 x 9.01 x 17.69 inches,8.6 pounds,4.7,,,,,,,,,,,,,,,#104 in Electronics ( See Top 100 in Electronics ) #7 in Computer Monitors,,,C275W-1920RN,,,,,,,,,"January 11, 2019",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.27 x 9.01 x 17.69 inches,,,,27 Inches,,,,,,,,Sceptre
3,"Sceptre IPS 27-Inch Business Computer Monitor 1080p 75Hz with HDMI VGA Build-in Speakers, Machine Black 2020 (e275W-FPT)",,,,,https://www.amazon.com//Sceptre-Business-Computer-Speakers-e275W-FPT/product-reviews/B089BTLL9K/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,,,,,,,Sceptre,,,,1920 x 1080 Pixels,,,,,,,,,,,,,,Machine Black,120 volts_of_alternating_current,1920x1080,B089BTLL9K,,,,,,,,24.12 x 7.03 x 17.12 inches,7.12 pounds,4.7,,,,,,,,,,,,,,,#352 in Electronics ( See Top 100 in Electronics ) #15 in Computer Monitors,,,,,,,,,,,,"May 25, 2020",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.12 x 7.03 x 17.12 inches,,,,27 Inches,,,,,,,,Sceptre
4,SAMSUNG LC24F396FHNXZA 23.5 FHD Curved LED-Lit FreeSync Monitor,,,,,https://www.amazon.com//Samsung-23-5-Inch-LED-Lit-Monitor-LC24F396FHNXZA/product-reviews/B079K3MXWF/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,,No,,,,,Samsung Electronics DAV,,,,1920X1080 Pixels,,,,,,,,,,,,,,Black,110240 volts,,B079K3MXWF,,,,,,,,8.61 x 21.56 x 16.68 inches,6.8 pounds,4.7,,,,,,,,,,,,,,,#99 in Electronics ( See Top 100 in Electronics ) #5 in Computer Monitors,,,LC24F396FHNXZA,,,,,,,,,"February 27, 2018",,,,,,,,,,,,,LC24F396FHNXZA,,,,,,,,,,,,,,,,,,,8.61 x 21.56 x 16.68 inches,,,,23.5 Inches,,,,,,,,SAMSUNG
5,"AOC CQ27G2 27 Super Curved Frameless Gaming Monitor QHD 2K, 1500R Curved VA, 1ms, 144Hz, FreeSync, Height adjustable, 3-Year Zero Dead Pixel Guarantee",,,"DisplayPort to DisplayPort Cable 10ft, iVANKY 4K DisplayPort 1.2 Cable [4K@60Hz, 2K@165Hz, 2K@144Hz…",/DisplayPort-ivanky-Braided-Display-Compatible/dp/B07HVVHL23/ref=pd_bxgy_2/134-6313174-0716942?_encoding=UTF8&pd_rd_i=B07HVVHL23&pd_rd_r=d8709c78-3572-45b4-86b5-14f6dcc41674&pd_rd_w=pO9Pq&pd_rd_wg=mUl6s&pf_rd_p=f325d01c-4658-4593-be83-3e12ca663f0e&pf_rd_r=KR6E35WFWA9XV5KCRY7X&psc=1&refRID=KR6E35WFWA9XV5KCRY7X,https://www.amazon.com//AOC-CQ27G2-Frameless-Adjustable-Guarantee/product-reviews/B0862YHJ56/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,,,,,,,AOC International,,,,2560 x 1440 Pixels,,,,,,,,,,,,,,Black/Silver,110240 volts,,B0862YHJ56,,,,,,,,24.1 x 20.81 x 9.85 inches,17.46 pounds,4.7,,,,,,,,,,,,,,,#242 in Electronics ( See Top 100 in Electronics ) #11 in Computer Monitors,,,,,,,,,,,,"May 22, 2020",,,,,,,,,,,,,G2 Series,,,,,,,,,,,,,,,,,,,24.1 x 20.81 x 9.85 inches,,,,27 Inches,,,,,,,,AOC
6,"Dell 27 LED backlit LCD Monitor SE2719H IPS Full HD 1080p 1920 x 1080 at 60 Hz HDMI VGA,Black",Zone 3,https://www.amazon.com/gp/help/seller/at-a-glance.html/ref=dp_merchant_link?ie=UTF8&seller=A2MN7XO7JG10MW&isAmazonFulfilled=1,,,https://www.amazon.com//Dell-backlit-Monitor-SE2719H-1080p/product-reviews/B07KW6HFD1/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,,No,,,,,Dell Computers,,,,FHD 1920 x 1080,,,,,,,,,,,,,,Black,,,B07KW6HFD1,,,,,,,,24.1 x 1.8 x 14.3 inches,9.35 pounds,4.7,,,,,,,,,,,,,,,#310 in Electronics ( See Top 100 in Electronics ) #14 in Computer Monitors,,,SE2719H,,,,,,,,,"November 26, 2018",,,,,,,,,,,,,SE2719h,,,,,,,,,,,,,,,,,,,24.1 x 1.8 x 14.3 inches,,,,27 Inches,,,,,,,,Dell
7,"Samsung Business FT452 Series 24 inch 1080p 75Hz IPS Computer Monitor for Business with HDMI, DisplayPort, USB, HAS Stand, 3-Yr Wrnty (F24T452FQN), Black",,,"DisplayPort to DisplayPort 6 Feet Cable, Benfei DP to DP Male to Male Cable Gold-Plated Cord…",/DisplayPort-Benfei-Gold-Plated-Supports-Compatible/dp/B077BPW8XJ/ref=pd_bxgy_2/145-3468158-6048757?_encoding=UTF8&pd_rd_i=B077BPW8XJ&pd_rd_r=7cf5cee7-ea85-4484-88d6-2e9572ba3ec6&pd_rd_w=hkPBT&pd_rd_wg=sNvVU&pf_rd_p=f325d01c-4658-4593-be83-3e12ca663f0e&pf_rd_r=CB9FVP7SBVKGWHPK3Y4J&psc=1&refRID=CB9FVP7SBVKGWHPK3Y4J,https://www.amazon.com//Samsung-Business-Computer-DisplayPort-F24T452FQN/product-reviews/B08CLSXJSW/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,2.0,,,,,,Samsung,,,,1920 x 1080 Pixels,,,,,,,,,,,,,,Black,,1920 x 1080,B08CLSXJSW,,,,,,,,21.2 x 8.8 x 14.6 inches,12.49 pounds,4.6,,,,,,,,,,,,,,,#847 in Electronics ( See Top 100 in Electronics ) #51 in Computer Monitors,,,F24T452FQN,,,,,,,,,"July 4, 2020",,,,,,,,,,,,,F24T452FQN,,,,,,,,,,,,,,,,,,,21.2 x 8.8 x 14.6 inches,,,,23.8 Inches,,,,,,,,Samsung Business
8,"LG 32QN600-B 32-Inch QHD (2560 x 1440) IPS Monitor with HDR 10, AMD FreeSync with Dual HDMI Inputs, Black",,,,,https://www.amazon.com//LG-32QN600-B-32-Inch-Monitor-FreeSync/product-reviews/B088YN9LBK/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,,,,,,,LG,,,,2560 x 1440 Pixels,,,,,,,,,,,,,,Black,100240 volts,,B088YN9LBK,,,,,,,,28.1 x 8.2 x 20.2 inches,22.1 pounds,4.7,,,,,,,,,,,,,,,#613 in Electronics ( See Top 100 in Electronics ) #32 in Computer Monitors,,,32QN600-B,,,,,,,,,"May 1, 2020",,,,,,,,,,,,,32QN600-B,,,,,,,,,,,,,,,,,,,28.1 x 8.2 x 20.2 inches,,,,32 Inches,,,,,,,,LG
9,BenQ 24 Inch IPS Monitor | 1080P | Proprietary Eye-Care Tech | Ultra-Slim Bezel | Adaptive Brightness for Image Quality | Speakers | GW2480 Black,,,,,https://www.amazon.com//BenQ-proprietary-borderless-Brightness-GW2480/product-reviews/B072XCZSSW/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,,No,,,,,BenQ,,,,1920x1080 Pixels,,,,,,,,,,,,,,Black,240 volts,1920 x 1080,B072XCZSSW,,,,,,,,16.54 x 6.9 x 21.26 inches,8.4 pounds,4.7,,,,,,,,,,,,,,,#141 in Electronics ( See Top 100 in Electronics ) #8 in Computer Monitors,,,GW2480,,,,,,,,,"August 2, 2017",,,,,,,,,,,,,GW2480,,,,AC,,,,,,,,,,,,,,,16.54 x 6.9 x 21.26 inches,,,,23.8 Inches,,,,,,,,BenQ
