;Unnamed: 0;name;seller;seller_link;freq_bought;freq_bought_link;link_to_all_reviews;power source;optical drive type;brightness rating;battery description;brand name;item model number;language;connectivity technologies;coating;fabric type;tab color;paper weight;batteries required;style;international shipping;graphics card ram size;screen resolution;pre-printed;material type;item thickness;shape;flash memory size;os;package dimensions;backing;additional features;chipset brand;sheet size;is discontinued by manufacturer;ASIN;binding;operating system;item weight;number of usb 3.0 ports;computer memory type;batteries;hardware platform;domestic shipping;memory speed;connectivity technology;date first available;pricing;number of items;standing screen display size;item dimensions  lxwxh;processor count;ram;card description;brand;processor brand;corner/edge style;model number;best sellers rank;voltage;paper finish;number of pieces;rating;product dimensions;release date;usage;average battery life (in hours);max screen resolution;other display features;batteries included?;total recycled content percentage;closure;warranty description;manufacturer recommended age;material;rear webcam resolution;graphics coprocessor;wireless type;national stock number;manufacturer;series;manufacturer part number;item package quantity;included components;part number;is assembly required?;thickness;binding edge;battery cell type;color;hard drive interface;batteries required?;department;number of usb 2.0 ports;size;colour;mfg recommended age;hard drive rotational speed;expansion;cover material
0;0;Wireless Mouse, RATEL 2.4G Wireless Ergonomic Mouse Computer Mouse Laptop Mouse USB Mouse 6 Buttons with Nano Receiver 3 Adjustable DPI Levels Cordless Wireless Mice for Windows, Mac;dajinus;https://www.amazon.com/gp/help/seller/at-a-glance.html/ref=dp_merchant_link?ie=UTF8&seller=AQC1HOJEXZ9J2&isAmazonFulfilled=1;VicTsing Mouse Pad with Stitched Edge, Premium-Textured Mouse Mat, Non-Slip Rubber Base Mousepad for…;https://www.amazon.com/VicTsing-Stitched-Premium-Textured-Non-Slip-10-2%C3%978-3%C3%970-08/dp/B075WW7V6W/ref=pd_bxgy_2/139-7002348-8046224?_encoding=UTF8&pd_rd_i=B075WW7V6W&pd_rd_r=c34eb0ed-a542-4ad2-9750-9bec38abfd9c&pd_rd_w=LUdot&pd_rd_wg=sqz53&pf_rd_p=f325d01c-4658-4593-be83-3e12ca663f0e&pf_rd_r=B28ZA8XP3B83Q31A0ZAF&psc=1&refRID=B28ZA8XP3B83Q31A0ZAF;https://www.amazon.com//Wireless-RATEL-Ergonomic-Computer-Adjustable/product-reviews/B07SCY7H3W/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;B07SCY7H3W;;;2.82 ounces;;;;;;;;May 27, 2019;;;;;;;;;;;;#33 in Computer Mice;;;;4.6;4.09 x 2.4 x 1.57 inches;;;;;;;;;;;;;;;;Juzheng Direct;;;;;;;;;;;;;;;;;;;;
1;1;Wireless Mouse, inphic Large Ergonomic Rechargeable 2.4G Optical PC Laptop Cordless Mice with USB Nano Receiver, for Windows Computer Office, Black;Inphic Electronics Co., Ltd.;https://www.amazon.com/gp/help/seller/at-a-glance.html/ref=dp_merchant_link?ie=UTF8&seller=A2YDMXLQEHB0ZN&isAmazonFulfilled=1;VicTsing Mouse Pad with Stitched Edge, Premium-Textured Mouse Mat, Non-Slip Rubber Base Mousepad for…;https://www.amazon.com/VicTsing-Stitched-Premium-Textured-Non-Slip-10-2%C3%978-3%C3%970-08/dp/B075WW7V6W/ref=pd_bxgy_2/134-2385731-0193122?_encoding=UTF8&pd_rd_i=B075WW7V6W&pd_rd_r=dee4eea7-962b-411d-aee5-ed029b828c73&pd_rd_w=LNMJd&pd_rd_wg=PR0TG&pf_rd_p=f325d01c-4658-4593-be83-3e12ca663f0e&pf_rd_r=SP8SPBW2M4QA3TBHWNRW&psc=1&refRID=SP8SPBW2M4QA3TBHWNRW;https://www.amazon.com//Wireless-inphic-Rechargeable-Receiver-Black/product-reviews/B074M96FKW/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews;;;;;;PM6;;;;;;;;;;;;;;;;;;;;;;;No;B074M96FKW;;;3.73 ounces;;;1 Lithium Metal batteries required.;;;;;August 7, 2017;;;;;;;;;;;;#183 in Computer Mice;;;;4.3;4.65 x 3.19 x 1.42 inches;;;;;;;;;;;;;;;;inphic;;;;;;;;;;;;;;;;;;;;
2;2;VicTsing MM057 2.4G Wireless Portable Mobile Mouse Optical Mice with USB Receiver, 5 Adjustable DPI Levels, 6 Buttons for Notebook, PC, Laptop, Computer, Macbook - Black;houruirun;https://www.amazon.com/gp/help/seller/at-a-glance.html/ref=dp_merchant_link?ie=UTF8&seller=A3TH39S8PQIZR4&isAmazonFulfilled=1;VicTsing Mouse Pad with Stitched Edge, Premium-Textured Mouse Mat, Non-Slip Rubber Base Mousepad for…;https://www.amazon.com/VicTsing-Stitched-Premium-Textured-Non-Slip-10-2%C3%978-3%C3%970-08/dp/B075WW7V6W/ref=pd_bxgy_2/146-2067725-0600131?_encoding=UTF8&pd_rd_i=B075WW7V6W&pd_rd_r=2f005435-8aaa-4157-929c-f1e584d6e657&pd_rd_w=Q2YTm&pd_rd_wg=TQaOz&pf_rd_p=f325d01c-4658-4593-be83-3e12ca663f0e&pf_rd_r=5TQVJAXPWE5GD0519T67&psc=1&refRID=5TQVJAXPWE5GD0519T67;https://www.amazon.com//VicTsing-Wireless-Portable-Receiver-Adjustable/product-reviews/B013WC0P2A/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews;;;;;;;;;;;;;;;;;;;;;;;;;;;;;No;B013WC0P2A;;;0.3 ounces;;;2 Lithium Polymer batteries required.;;;;;August 14, 2015;;;;;;;;;;;;#1 in Computer Mice;;;;4.6;4.5 x 3.1 x 2 inches;;;;;;;;;;;;;;;;VicTsing;;;;;;;;;;;;;;;;;;;;
3;3;seenda Wireless Mouse, 2.4G Noiseless Mouse with USB Receiver - Portable Computer Mice for PC, Tablet, Laptop with Windows System - Mint Green;jinminghuitech;https://www.amazon.com/gp/help/seller/at-a-glance.html/ref=dp_merchant_link?ie=UTF8&seller=AL4U1ZCWGNMB4&isAmazonFulfilled=1;ITNRSIIET Marble Round Mouse Pad, Pink Marble Customized Premium-Textured Mouse Mat,Washable…;https://www.amazon.com/ITNRSIIET-Customized-Premium-Textured-Mousepads-7-87%C3%977-87%C3%970-12/dp/B07ZSYNSSG/ref=pd_bxgy_2/146-7048151-4539012?_encoding=UTF8&pd_rd_i=B07ZSYNSSG&pd_rd_r=4b78bf8a-0fad-4bf6-84a8-76ba9be67ca2&pd_rd_w=GiC5I&pd_rd_wg=HbFPW&pf_rd_p=f325d01c-4658-4593-be83-3e12ca663f0e&pf_rd_r=0CE9VY8201E7SK30S5T9&psc=1&refRID=0CE9VY8201E7SK30S5T9;https://www.amazon.com//seenda-Wireless-Noiseless-Receiver-Portable/product-reviews/B07H8TJMX7/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews;1 AA battery is required to operated this Wireless Mouse (Not included in package);;;;;;;;;;;;;;;;;;;;;;;;;;;;No;B07H8TJMX7;;Windows xp, Mac os x tiger, Windows vista, Windows 7;2.39 ounces;;;;Laptop, PC, Tablet;;;;September 11, 2018;;;;4 x 2 x 1.2 inches;;;;Seenda;;;;#9 in Computer Mice;;;;4.6;4 x 2 x 1.2 inches;;;;;;;;;;;;;;;;seenda;;;;;;;;;;A-Mint Green;;;;;;;;;;
4;4;Amazon Basics 3-Button USB Wired Computer Mouse (Black), 1-Pack;;;;;https://www.amazon.com//AmazonBasics-3-Button-Wired-Computer-1-Pack/product-reviews/B005EJH6RW/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews;;;;;;MSU0939;;;;;;;;;;;;;;;;;;;;;;;No;B005EJH6RW;;Mac os;2.7 ounces;;;;Laptop, PC;;;;October 1, 2011;;;;4.3 x 2.4 x 1.35 inches;;;;Amazon Basics;;;;#7 in Computer Mice;;;;4.6;4.3 x 2.4 x 1.35 inches;;;;;;;;;;;;;;;;Amazon Basics;;;;;;;;;;Black;;;;;;;;;;
5;5;Wireless Mouse for Laptop, Inphic 2.4G Rechargeable Silent Computer Mouse,1600 DPI Ultra Thin Optical Portable USB Mini Mouse, Cordless Mice for Laptop,PC,MacBook,Mac, Black;Inphic Electronics Co., Ltd.;https://www.amazon.com/gp/help/seller/at-a-glance.html/ref=dp_merchant_link?ie=UTF8&seller=A2YDMXLQEHB0ZN&isAmazonFulfilled=1;VicTsing Mouse Pad with Stitched Edge, Premium-Textured Mouse Mat, Non-Slip Rubber Base Mousepad for…;https://www.amazon.com/VicTsing-Stitched-Premium-Textured-Non-Slip-10-2%C3%978-3%C3%970-08/dp/B075WW7V6W/ref=pd_bxgy_2/136-8526287-9523255?_encoding=UTF8&pd_rd_i=B075WW7V6W&pd_rd_r=a5813723-080c-4cd1-8780-7ccaf22de5e4&pd_rd_w=9xrtV&pd_rd_wg=uiNc2&pf_rd_p=f325d01c-4658-4593-be83-3e12ca663f0e&pf_rd_r=0QW8K2H3141Q3KS32GMD&psc=1&refRID=0QW8K2H3141Q3KS32GMD;https://www.amazon.com//Rechargeable-Wireless-inphic-Noiseless-Black/product-reviews/B01N7RGV3H/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews;;;;;;;;;;;;;;;;;;;;;;;;;;;;;No;B01N7RGV3H;;;2.43 ounces;;;1 Lithium Metal batteries required. (included);;;;;February 4, 2017;;;;;;;;;;;;#83 in Computer Mice;;;;4.5;4.21 x 2.24 x 0.67 inches;;;;;;;;;;;;;;;;inphic;;;;;;;;;;;;;;;;;;;;
6;6;Logitech M525 Wireless Mouse – Long 3 Year Battery Life, Ergonomic Shape for Right or Left Hand Use, Micro-Precision Scroll Wheel, and USB Unifying Receiver for Computers and Laptops, Black/Gray;;;;;https://www.amazon.com//Logitech-M525-Wireless-Mouse-Micro-Precision/product-reviews/B005KSAHZU/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews;;;;;;;;;;;;;;;;;;;;;;;;;;;;;No;B005KSAHZU;;Windows xp, Windows vista;0.16 ounces;;;1 Lithium Polymer batteries required. (included);Laptop, PC;;;;September 5, 2011;;;;8.27 x 2.28 x 7.09 inches;;;;Logitech;;;;#8 in Computer Mice;;;;4.7;8.27 x 2.28 x 7.09 inches;;;;;;;;;;;;;;;;Logitech;Wireless Laser Mouse;;;;;;;;;Black/Grey;;;;;;;;;;
7;7;Logitech B100 Corded Mouse – Wired USB Mouse for Computers and laptops, for Right or Left Hand Use, Black;;;;;https://www.amazon.com//Logitech-800dpi-Optical-3-button-Ambidextrous/product-reviews/B003L62T7W/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews;;;;;;910-001439;English;;;;;;;;;;;;;;;;;;;;;;No;B003L62T7W;;Linux, Windows xp, Windows vista, Windows 7, Mac os x panther;3.84 ounces;;DDR3 SDRAM;1 Lithium ion batteries required.;Laptop, PC;;;;May 8, 2010;;;;1.65 x 5.2 x 3.43 inches;;;;Logitech;;;;#5 in Computer Mice;;;;4.7;1.65 x 5.2 x 3.43 inches;;;;;;;;;;;;;;802.11abg;7025-01-631-8822;Logitech;Logitech B100-TAA Optical USB Mouse;;;;;;;;;Black;;;Computer Hardware, Supplies & Data Storage;;;;;;;
8;8;WisFox 2.4G Wireless Mouse for Laptop, Ergonomic Computer Mouse with USB Receiver and 3 Adjustable Levels, 6 Button Cordless Mouse Wireless Mice for Windows Mac PC Notebook (Grey);Xigesi;https://www.amazon.com/gp/help/seller/at-a-glance.html/ref=dp_merchant_link?ie=UTF8&seller=A1NV7ZH6UL021N&isAmazonFulfilled=1;VicTsing Mouse Pad with Stitched Edge, Premium-Textured Mouse Mat, Non-Slip Rubber Base Mousepad for…;https://www.amazon.com/VicTsing-Stitched-Premium-Textured-Non-Slip-10-2%C3%978-3%C3%970-08/dp/B075WW7V6W/ref=pd_bxgy_2/145-3052969-6726648?_encoding=UTF8&pd_rd_i=B075WW7V6W&pd_rd_r=2f4ce893-4a1a-4cba-8c03-61d81fdc8b6d&pd_rd_w=Uu0lb&pd_rd_wg=GM6Nj&pf_rd_p=f325d01c-4658-4593-be83-3e12ca663f0e&pf_rd_r=QCEYS3GJV091QKB0NSQ5&psc=1&refRID=QCEYS3GJV091QKB0NSQ5;https://www.amazon.com//Wireless-Optical-Receiver-Adjustable-Buttons/product-reviews/B07Y1KKFBH/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;B07Y1KKFBH;;;3.17 ounces;;;;;;;;September 18, 2019;;;;;;;;;;;;#23 in Computer Mice;;;;4.6;4.09 x 2.4 x 1.57 inches;;;;;;;;;;;;;;;;WisFox;;;;;;;;;;;;;;;;;;;;
9;9;WisFox Wireless Computer Mouse, 2.4G Wireless Ergonomic Mouse Portable Cordless Optical Mice for Laptop PC with USB Receiver, 3 Adjustable DPI Levels, 6 Buttons for Work, Study, Home, Travel (Grey);JinHongzhen US;https://www.amazon.com/gp/help/seller/at-a-glance.html/ref=dp_merchant_link?ie=UTF8&seller=A3VOURGRXNP94Z&isAmazonFulfilled=1;VicTsing MM057 2.4G Wireless Portable Mobile Mouse Optical Mice with USB Receiver, 5 Adjustable DPI…;https://www.amazon.com/VicTsing-Wireless-Portable-Receiver-Adjustable/dp/B013WC0P2A/ref=pd_bxgy_2/137-8220996-9201642?_encoding=UTF8&pd_rd_i=B013WC0P2A&pd_rd_r=3a44da2a-e127-4570-908f-a56074496fe0&pd_rd_w=f12NR&pd_rd_wg=JOel9&pf_rd_p=f325d01c-4658-4593-be83-3e12ca663f0e&pf_rd_r=X7ZQSY0586SN56HYY0Q1&psc=1&refRID=X7ZQSY0586SN56HYY0Q1;https://www.amazon.com//WisFox-Wireless-Computer-Ergonomic-Adjustable/product-reviews/B087LQVH4Y/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews;;;;;;;;;;;;;;;;;;;;;;;;4.64 x 2.67 x 1.81 inches;;;;;;B087LQVH4Y;;;3.2 ounces;;;;;;;;April 24, 2020;;;;;;;;;;;;#84 in Computer Mice;;;;4.6;;;;;;;;;;;;;;;;;WisFox;;;;;;;;;;;;;;;;;;;;
