;Unnamed: 0;name;seller;seller_link;freq_bought;freq_bought_link;link_to_all_reviews;phone talk time;ink color;phone standy time (with data);language;compatible devices;gsm frequencies;average battery life (in hours);audio jack;product dimensions;oem part number;specific uses for product;processor speed;audio-out ports (#);device interface - primary;manufacturer;special features;graphics coprocessor;package dimensions;hard drive rotational speed;model;max screen resolution;voltage;display resolution;part number;chipset brand;manufacturer recommended age;assembled height;rating;additional features;date first available;wattage;batteries included?;card description;best sellers rank;number of usb 3.0 ports;rear webcam resolution;assembled width;release date;display technology;manufacturer part number;body material;item model number;connectivity technologies;screen resolution;cover included;processor type;operating system;assembled length;number of items;batteries;battery description;mfg recommended age;power source;batteries required;specification met;batteries required?;other camera features;color;domestic shipping;national stock number;memory speed;item dimensions  lxwxh;import designation;included components;size;wireless communication technologies;optical drive type;hardware platform;graphics card ram size;colour;finish types;wireless type;hard drive interface;color screen;color name;brand name;number of pieces;finish;other display features;ram;is discontinued by manufacturer;warranty description;international shipping;gpu;item weight;flash memory size;item package quantity;department;pricing;os;form factor;binding;brand;standing screen display size;material;item display height;processor brand;connector type;processor count;installation method;series;ASIN;number of usb 2.0 ports;material type;computer memory type
0;0;AMD Ryzen 5 3600 6-Core, 12-Thread Unlocked Desktop Processor with Wraith Stealth Cooler;;;;;https://www.amazon.com//AMD-Ryzen-3600-12-Thread-Processor/product-reviews/B07STGGQ18/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews;;;;;;;;;1.57 x 1.57 x 0.24 inches;;;;;;AMD;;;;;;;;;;;;;4.9;;July 1, 2019;;;;#1 in Computer CPU Processors;;;;;;;;Ryzen 5 3600;;;;;;;;;;;;;;;;;;;;1.57 x 1.57 x 0.24 inches;;;;;;;;;;;;;;;;;;;No;;;;1.6 ounces;;;;;;;;AMD;;;;AMD;;6.0;;Ryzen 5;B07STGGQ18;;;
1;1;Intel Core i9-9900K Desktop Processor 8 Cores up to 5.0GHz Unlocked LGA1151 300 Series 95W (BX806849900K);Ideabuy;https://www.amazon.com/gp/help/seller/at-a-glance.html/ref=dp_merchant_link?ie=UTF8&seller=A1FF9ODJZIUKGX&isAmazonFulfilled=1;;;https://www.amazon.com//Intel-i9-9900K-Processor-Unlocked-BX806849900K/product-reviews/B089J731BX/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews;;;;;;;;;;;;;;;Intel;;;4.6 x 4.3 x 1.8 inches;;;;;;;;;;4.8;;June 1, 2020;;;;#16 in Computer CPU Processors;;;;;;;;BX806849900K;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3.2 ounces;;;;;;;;Intel;;;;Intel;;1.0;;;B089J731BX;;;
2;2;AMD Ryzen 7 3700X 8-Core, 16-Thread Unlocked Desktop Processor with Wraith Prism LED Cooler;;;;;https://www.amazon.com//AMD-Ryzen-3700X-16-Thread-Processor/product-reviews/B07SXMZLPK/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews;;;;;;;;;1.57 x 1.57 x 0.24 inches;;;;;;AMD;;;;;;;;;;;;;4.9;;July 1, 2019;;;;#9 in Computer CPU Processors;;;;;;;;Ryzen 7 3700X;;;;;;;;1 Lithium ion batteries required.;;;;;;;;;;;;1.57 x 1.57 x 0.24 inches;;;;;;;;;;;;;;;;;;;No;;;;1.4 pounds;;;;;;;;AMD;;;;AMD;;8.0;;Ryzen 7;B07SXMZLPK;;;
3;3;AMD Ryzen 5 2600 Processor with Wraith Stealth Cooler - YD2600BBAFBOX;;;;;https://www.amazon.com//AMD-Processor-Wraith-Stealth-Cooler/product-reviews/B07B41WS48/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews;;;;;;;;;1.6 x 1.6 x 0.3 inches;;;;;;AMD;;;;;;;;;;;;;4.8;;April 13, 2018;;;;#20 in Computer CPU Processors;;;;;;;;YD2600BBAFBOX;;;;;;;;;;;;;;;;;;;;1.6 x 1.6 x 0.3 inches;;;;;;;;;;802.11a;;;;;;;;;No;;;;1 pounds;;;;;;;;AMD;;;;AMD;;6.0;;;B07B41WS48;;;DDR4 SDRAM
4;4;Intel Core i7-9700K Desktop Processor 8 Cores up to 4.9 GHz Turbo unlocked LGA1151 300 Series 95W;Ideabuy;https://www.amazon.com/gp/help/seller/at-a-glance.html/ref=dp_merchant_link?ie=UTF8&seller=A1FF9ODJZIUKGX&isAmazonFulfilled=1;;;https://www.amazon.com//Intel-i7-9700K-Desktop-Processor-Unlocked/product-reviews/B07HHN6KBZ/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews;;;;;;;;;4.57 x 3.98 x 2.76 inches;;;;;;Intel;;;;;;;;;;;;;4.8;;October 8, 2018;;;;#6 in Computer CPU Processors;;;;;;;;BX80684I79700K;;;;;;;;;;;;;;;;;;;3600 MHz;4.57 x 3.98 x 2.76 inches;;;;;;;;;;;;;;;;;;;No;;;;1.59 ounces;;;;;;;;Intel;;;;Intel;;8.0;;;B07HHN6KBZ;1.0;;DDR4 SDRAM
5;5;AMD Ryzen 5 1600 65W AM4 Processor with Wraith Stealth Cooler (YD1600BBAFBOX);TRIPPODO US;https://www.amazon.com/gp/help/seller/at-a-glance.html/ref=dp_merchant_link?ie=UTF8&seller=A3LA4IZ88FFM0U;;;https://www.amazon.com//AMD-Processor-Wraith-Stealth-Cooler/product-reviews/B07XTQZJ28/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews;;;;;;;;;1.61 x 2.99 x 1.61 inches;;;;;;AMD;;;;;;;;;;;;;4.8;;October 11, 2019;;;;#23 in Computer CPU Processors;;;;;;;;YD1600BBAFBOX;;;;;;;;;;;;;;;;;;;;1.61 x 2.99 x 1.61 inches;;;;;;;;;;;;;;;;;;;;;;;15.9 ounces;;;;;;;;AMD;;;;AMD;;2.0;;;B07XTQZJ28;;;
6;6;Intel Core i9-10850K Desktop Processor 10 Cores up to 5.2 GHz Unlocked LGA1200 (Intel 400 Series chipset) 125W;;;;;https://www.amazon.com//Intel-i9-10850K-Desktop-Processor-Unlocked/product-reviews/B08DHRG2X9/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews;;;;;;;;;9.53 x 5 x 4.88 inches;;;;;;Intel;;;;;;;;;;;;;4.8;;July 27, 2020;;;;#19 in Computer CPU Processors;;;;;;;;BX8070110850K;;;;;;;;;;;;;;;;;;;;9.53 x 5 x 4.88 inches;;;;;;;;;;;;;;;;;;;No;;;;2.88 ounces;;;;;;;;Intel;;;;Intel;;1.0;;I9-10850K;B08DHRG2X9;;;
7;7;Intel Core i3-10100 Desktop Processor 4 Cores up to 4.3 GHz  LGA1200 (Intel 400 Series Chipset) 65W, Model Number: BX8070110100;;;;;https://www.amazon.com//Intel-i3-10100-Desktop-Processor-LGA1200/product-reviews/B086MMRW87/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews;;;;;;;;;2.8 x 4.21 x 4.41 inches;;;;;;Intel;;;;;;;;;;;;;4.8;;May 27, 2020;;;;#31 in Computer Motherboards;;;;;;;;BX8070110100;;;;;;;;;;;;;;;;;;;;2.8 x 4.21 x 4.41 inches;;;;;;;;;;;;;;;;;;;;;;;3.5 ounces;;;;;;;;Intel;;;;Intel;;4.0;;;B086MMRW87;;;
8;8;Intel Core i7-9700 Desktop Processor 8 Cores up to 4.7 GHz LGA1151 300 Series 65W;Ideabuy;https://www.amazon.com/gp/help/seller/at-a-glance.html/ref=dp_merchant_link?ie=UTF8&seller=A1FF9ODJZIUKGX&isAmazonFulfilled=1;;;https://www.amazon.com//Intel-i7-9700-Desktop-Processor-LGA1151/product-reviews/B07S6CRLVD/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews;;;;;;;;;4.57 x 2.76 x 3.98 inches;;;;;;Intel;;;;;;;;;;;;;4.8;;May 15, 2019;;;;#34 in Computer CPU Processors;;;;;;;;BX80684I79700;;;;;;;;;;;;;;;;;;;3000 MHz;4.57 x 2.76 x 3.98 inches;;;;;;;;;;;;;;;;;;;No;;;;8.5 ounces;;;;;;;;Intel;;;;Intel;;8.0;;Intel i7;B07S6CRLVD;;;
9;9;AMD Ryzen 7 2700X Processor with Wraith Prism LED Cooler - YD270XBGAFBOX;;;;;https://www.amazon.com//AMD-Ryzen-Processor-Wraith-Cooler/product-reviews/B07B428M7F/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews;;;;;;;;;1.6 x 1.6 x 0.3 inches;;;;;;AMD;;;;;;;;;;;;;4.8;;April 13, 2018;;;;#31 in Computer CPU Processors;;;;;;;;YD270XBGAFBOX;;;;;;;;;;;;;;;;RGB;;;;1.6 x 1.6 x 0.3 inches;;;;;;;;;;;;;;;;;;;No;;;;1.6 ounces;;;;;;;;AMD;;;;AMD;;8.0;;;B07B428M7F;;;DDR4 SDRAM
