,ASIN,title,price,rating,review_count
0,B087T9B6X5,"Canon EOS Rebel T100 DSLR Camera with 18-55mm f/3.5-5.6 Zoom Lens + 32GB Card, Tripod, Case, and More (18pc Bundle)",424.0,4.7,206
1,B0868VLMWK,"Canon EOS 4000D DSLR Camera with EF-S 18-55mm f/3.5-5.6 III Lens Advanced Bundle - Includes: Extended Life LPE10 Replacement Battery, 50"" Gripster Tripod & More",479.0,4.6,46
2,B08DQ4QQ6R,Canon EOS 4000D / Rebel T100 Digital SLR Camera Body w/Canon EF-S 18-55mm f/3.5-5.6 Lens 3 Lens DSLR Kit Bundled with Complete Accessory Bundle + 64GB + Flash + Case & More - International Model,499.95,4.5,31
3,B011PKJI2Y,"Panasonic LUMIX FZ300 Long Zoom Digital Camera Features 12.1 Megapixel, 1/2.3-Inch Sensor, 4K Video, WiFi, Splash & Dustproof Camera Body, LEICA DC 24X F2.8 Zoom Lens - DMC-FZ300K - (Black) USA",397.99,4.7,1161
4,B06XNTPN8C,"Canon EOS Rebel T6 Digital SLR Camera Kit with EF-S 18-55mm f/3.5-5.6 is II Lens, Built-in WiFi and NFC - Black (Renewed)",444.0,4.7,914
5,B019UDI5PO,Canon PowerShot SX420 Digital Camera w/ 42x Optical Zoom - Wi-Fi & NFC Enabled (Black),229.0,4.3,1692
6,B088M5MRMS,"FeiyuTech AK2000C Gimbal 3-Axis Handheld Stabilizer for Mirrorless/DSLR Cameras Like Sony a9/a7/A6300/A6400,CANON EOS R,M50,80D,Panasonic GH4,GH5,Nikon Z7,FUJIFILM XT4/XT3,4.85 lb Payload,Quick Charge",239.0,4.9,18
7,B07Y5K1215,EOS 4000D Digital Camera with EF-S 18-55MM F/3.5-5.6 III Lens + Basic Accessories Bundle (International Version),444.99,4.6,90
8,B08S5FD42N,Canon EOS 2000D / Rebel T7 Digital SLR Camera Body w/Canon EF-S 18-55mm f/3.5-5.6 Lens 3 Lens DSLR Kit Bundled with Complete Accessory Bundle + 64GB + Flash + Case & More - International Model,549.95,5.0,1
9,B08N7ZRW9C,"Nikon D5600 DSLR Camera with 18-55mm VR Lens + 128GB Card, Tripod, Flash, ALS Variety Lens Cloth, and More",769.0,4.7,10
10,B07J5C98NW,FEELWORLD FW568 5.5 inch DSLR Camera Field Monitor Video Peaking Focus Assist Small Full HD 1920x1080 IPS with 4K HDMI 8.4V DC Input Output Include Tilt Arm,129.99,4.5,748
11,B00NO1T55I,Sony Alpha a6000 Mirrorless Digital Camera w/ 16-50mm and 55-210mm Power Zoom Lenses,698.0,4.6,1497
12,B01CQJHJ2E,"Canon Digital SLR Camera Kit [EOS Rebel T6] with EF-S 18-55mm and EF 75-300mm Zoom Lenses - Black, full-size",,4.7,1172
13,B08KYJR4BX,"Canon EOS 3000D (Rebel T100) DSLR Camera with 18-55mm f/3.5-5.6 Zoom Lens + 32GB Card, Tripod, Case, and More (18pc Bundle)",449.0,4.7,23
14,B00M8C7T70,"Kodak PIXPRO Astro Zoom AZ421-RD 16MP Digital Camera with 42X Optical Zoom and 3"" LCD Screen (Red)",159.0,4.3,2394
15,B08T2486DW,Canon EOS 80D Digital SLR Camera Body with Canon EF-S 18-55mm f/3.5-5.6 is STM Lens 3 Lens DSLR Kit Bundled with Complete Accessory Bundle + 64GB + Flash + Case/Bag & More - International Model,999.95,,0
16,B08S5FD42N,Canon EOS 2000D / Rebel T7 Digital SLR Camera Body w/Canon EF-S 18-55mm f/3.5-5.6 Lens 3 Lens DSLR Kit Bundled with Complete Accessory Bundle + 64GB + Flash + Case & More - International Model,549.95,5.0,1
17,B07RCN2BFM,Lexar Professional 1667X 128GB (2-Pack) SDXC UHS-II Card (LSD128CBNA16672),75.99,4.7,4661
18,B088P1824H,"Comica BoomX-D2 2.4GHZ Dual Wireless Lavalier Microphone, Wireless Lapel Mic with 2 Transmitter, 1 Receiver for Canon Nikon Sony DSLR Cameras, Camcorders, Lav Mic for iPhone Android Smartphone etc.",259.0,4.6,172
19,B07WHV3HXL,"Canon DSLR Camera [EOS 90D] with 18-135 is USM Lens | Built-in Wi-Fi, Bluetooth, DIGIC 8 Image Processor, 4K Video, Dual Pixel CMOS AF, and 3.0 Inch Vari-Angle Touch LCD Screen, Black",1599.0,4.7,206
20,B087TKG91L,"Canon EOS 4000D DSLR Camera with 18-55mm f/3.5-5.6 Zoom Lens + 32GB Card, Tripod, Case, and More (18pc Bundle)",459.0,4.7,46
21,B08JRVL5TH,"Nikon D3500 DSLR Camera with 18-55mm VR and 70-300mm Lenses + 128GB Card, Tripod, Flash, ALS VARIETY 21pc Bundle",809.0,4.4,19
22,B08KYGM5K5,Fujifilm X-S10 Mirrorless Digital Camera XF18-55mm Lens Kit - Black,1399.95,4.6,43
23,B08CRPZNK1,"MOSISO Camera Backpack,DSLR/SLR/Mirrorless Photography Camera Bag 15-16 Inch Waterproof Hardshell Case with Tripod Holder&Laptop Compartment Compatible with Canon/Nikon/Sony/DJI Mavic Drone,Navy Blue",59.99,4.8,749
24,B07D519QXH,"DJI Ronin-S - Camera Stabilizer 3-Axis Gimbal Handheld for DSLR Mirrorless Cameras up to 8lbs / 3.6kg Payload for Sony Nikon Canon Panasonic Lumix, Black",549.0,4.6,2423
25,B0060MVJ1Q,Nikon D750 FX-format Digital SLR Camera Body,,4.8,918
26,B01KITZRBE,Nikon D3400 DSLR Camera with AF-P DX NIKKOR 18-55mm f/3.5-5.6G VR and AF-P DX NIKKOR 70-300mm f/4.5-6.3G ED,789.99,4.7,2317
27,B0013A1XDY,Nikon AF-S FX Micro-NIKKOR 2177 60mm f/2.8G ED Standard Macro Lens for Nikon DSLR Cameras,729.95,4.6,370
28,B088GNV9VV,Canon EOS T100/4000D DSLR Camera w/Canon EF-S 18-55mm F/3.5-5.6 III Zoom Lens + Case + 32GB SD Card + More + ZeeTech Cloth (Starter 32GB),498.99,4.3,9
29,B07CTFZSXZ,"11"" Adjustable Heavy Duty Robust Magic Arm, DSLR Mirrorless Action Camera Camcorder Smartphone LCD Monitor Video Light Vlog Rig w/ Desk Pole Clamp Holder Mounts Kit fit for GoPro iPhone (10 lbs Load)",29.91,4.1,719
30,B07G629BVJ,"Zoom SMC-1 Stereo Mini Cable for DSLR Camera, 3.5mm TRS to TRS Cable, Connect Zoom Audio Recorder to DLSR Camera",7.99,4.7,38
31,B074JBZKNL,"Arkscan MCM5 Tabletop Photography Videography Live Stream Zoom Meeting Classroom Table clamp Mount with ¼-20 mounting Bolt for iPhone Android Smartphone, and Nikon Sony Canon Camera & Camcorder",115.0,4.6,115
32,B08KSTH7WN,"Dazzne Desk Mount Stand, 12.9-22inch Tabletop C Clamp Mount Stand, Adjustable Table Aluminum Light Stand with Standard 1/4 Screw Tip for DSLR Camera, Ring Light, Video Light, Panel Light",32.99,4.6,89
33,B07FSJXHY9,"ESDDI Camera Tripod, DSLR Tripod with 360 Degree Ball Head, 64 inch Aluminum Tripod with Monopod 1/4 inch Quick Release Plate and Phone Holder for Vlog Travel and Work",64.86,4.8,1052
34,B07RCN2BFM,Lexar Professional 1667X 128GB (2-Pack) SDXC UHS-II Card (LSD128CBNA16672),75.99,4.7,4661
35,B088GNV9VV,Canon EOS T100/4000D DSLR Camera w/Canon EF-S 18-55mm F/3.5-5.6 III Zoom Lens + Case + 32GB SD Card + More + ZeeTech Cloth (Starter 32GB),498.99,4.3,9
36,B07FSJXHY9,"ESDDI Camera Tripod, DSLR Tripod with 360 Degree Ball Head, 64 inch Aluminum Tripod with Monopod 1/4 inch Quick Release Plate and Phone Holder for Vlog Travel and Work",64.86,4.8,1052
37,B01GHVITB2,Pentax K-70 Weather-Sealed DSLR Camera with 18-135mm Lens (Silver),796.95,4.6,203
38,B084BKKX8T,"Canon EOS Rebel T8i EF-S 18-55mm is STM Lens Kit, Black",,4.8,187
39,B08J74TNXW,"DJI RSC 2 – 3-Axis Gimbal Stabilizer for DSLR and Mirrorless Camera, Nikon Sony Panasonic Canon Fujifilm, 3kg Payload, Vertical Shooting, OLED Screen, Black",499.0,4.7,194
40,B08PXTMD39,TARION Camera Strap Adjustable DSLR Camera Neck Strap Belt Retro Film Camera Shoulder Strap Vintage Soft Long Rope Universal Cord for Women Men SLR Mirrorless Cameras(Upgraded Version) (Denim Blue),6.99,4.6,5480
41,B08R5DX55H,"BAGSMART Camera Backpack, DSLR SLR Canvas Camera Bag Fits 13.3 Inch Laptop Water Resistant with Rain Cover Tripod Holder,for Men Women,Canvas Brown",42.99,4.6,172
42,B08CZC7CB9,FEELWORLD F5 Pro 5.5 Inch Touch Screen DSLR Camera Field Monitor with External Kit Install The Equipment IPS FHD1920x1080 4K HDMI Input Output 5 V Type-c Input Lightweight DesignTilt Arm Sun Shade,139.99,4.8,13
43,B08S5FD42N,Canon EOS 2000D / Rebel T7 Digital SLR Camera Body w/Canon EF-S 18-55mm f/3.5-5.6 Lens 3 Lens DSLR Kit Bundled with Complete Accessory Bundle + 64GB + Flash + Case & More - International Model,549.95,5.0,1
