,ASIN,title,price,rating,review_count
0,B07SCY7H3W,"Wireless Mouse, RATEL 2.4G Wireless Ergonomic Mouse Computer Mouse Laptop Mouse USB Mouse 6 Buttons with Nano Receiver 3 Adjustable DPI Levels Cordless Wireless Mice for Windows, Mac",9.99,4.6,8444
1,B074M96FKW,"Wireless Mouse, inphic Large Ergonomic Rechargeable 2.4G Optical PC Laptop Cordless Mice with USB Nano Receiver, for Windows Computer Office, Black",11.99,4.3,3907
2,B013WC0P2A,"VicTsing MM057 2.4G Wireless Portable Mobile Mouse Optical Mice with USB Receiver, 5 Adjustable DPI Levels, 6 Buttons for Notebook, PC, Laptop, Computer, Macbook - Black",11.99,4.6,119828
3,B07H8TJMX7,"seenda Wireless Mouse, 2.4G Noiseless Mouse with USB Receiver - Portable Computer Mice for PC, Tablet, Laptop with Windows System - Mint Green",9.99,4.6,60171
4,B005EJH6RW,"Amazon Basics 3-Button USB Wired Computer Mouse (Black), 1-Pack",,4.6,43840
5,B08GWQCWM9,"Jelly Comb USB Wired Mouse,RGB Optical Silent Computer Mouse,1600 DPI Office and Home Mice,for Windows PC, Laptop, Desktop, Notebook-MS059 (Black)",9.99,4.8,2043
6,B01N7RGV3H,"Wireless Mouse for Laptop, Inphic 2.4G Rechargeable Silent Computer Mouse,1600 DPI Ultra Thin Optical Portable USB Mini Mouse, Cordless Mice for Laptop,PC,MacBook,Mac, Black",10.99,4.5,9263
7,B005KSAHZU,"Logitech M525 Wireless Mouse – Long 3 Year Battery Life, Ergonomic Shape for Right or Left Hand Use, Micro-Precision Scroll Wheel, and USB Unifying Receiver for Computers and Laptops, Black/Gray",,4.7,14254
8,B003L62T7W,"Logitech B100 Corded Mouse – Wired USB Mouse for Computers and laptops, for Right or Left Hand Use, Black",,4.7,16539
9,B07Y1KKFBH,"WisFox 2.4G Wireless Mouse for Laptop, Ergonomic Computer Mouse with USB Receiver and 3 Adjustable Levels, 6 Button Cordless Mouse Wireless Mice for Windows Mac PC Notebook (Grey)",9.99,4.6,9088
10,B087LQVH4Y,"WisFox Wireless Computer Mouse, 2.4G Wireless Ergonomic Mouse Portable Cordless Optical Mice for Laptop PC with USB Receiver, 3 Adjustable DPI Levels, 6 Buttons for Work, Study, Home, Travel (Grey)",9.99,4.6,2184
11,B07T8HFPDM,"Wireless Computer Mouse, Cimetech 2.4G Slim Cordless Mouse Less Noise for Laptop Ergonomic Optical with Nano Receiver USB Mouse for Laptop, Deskbtop, MacBook (BAT Black)",7.99,4.6,11089
12,B01FZ3BR5S,"PICTEK Gaming Mouse Wired [7200 DPI] [Programmable] [Breathing Light] Ergonomic Game USB Computer Mice RGB Gamer Desktop Laptop PC Gaming Mouse, 7 Buttons for Windows 7/8/10/XP Vista Linux, Black",17.99,4.5,18495
13,B07F7T8J9P,Razer DeathAdder Essential Gaming Mouse: 6400 DPI Optical Sensor - 5 Programmable Buttons - Mechanical Switches - Rubber Side Grips - Classic Black,29.99,4.7,33902
14,B07GBZ4Q68,Logitech G502 Hero High Performance Gaming Mouse,48.5,4.6,15840
15,B07T8HFPDM,"Wireless Computer Mouse, Cimetech 2.4G Slim Cordless Mouse Less Noise for Laptop Ergonomic Optical with Nano Receiver USB Mouse for Laptop, Deskbtop, MacBook (BAT Black)",7.99,4.6,11089
