,ASIN,title,price,rating,review_count
0,B08CL51X7Y,Net10 Samsung Galaxy A01 4G LTE Prepaid Smartphone - Black - 16GB - Sim Card Included -CDMA,55.0,4.4,284
1,B07Y5R4PWV,Net10 Samsung Galaxy A10e 4G LTE Prepaid Smartphone (Locked) - Black - 32GB - SIM Card Included - CDMA,72.0,4.4,268
2,B08N387GNG,"Samsung Galaxy S21+ Plus 5G | Factory Unlocked Android Cell Phone | US Version 5G Smartphone | Pro-Grade Camera, 8K Video, 64MP High Res | 128GB, Phantom Black (SM-G996UZKAXAA)",999.99,4.6,3
3,B084D89DBF,Moto G Power | 3-Day Battery1 | Unlocked | Made for US by Motorola | 4/64GB | 16MP Camera | 2020 | Black,218.21,4.6,6764
4,B08CFSZLQ4,Google Pixel 4a - New Unlocked Android Smartphone - 128 GB of Storage - Up to 24 Hour Battery - Just Black,,4.7,5298
5,B07XYDQ133,"Samsung Galaxy A10s with Fingerprint (32GB, 2GB RAM) 6.2"", Android 9.0, Dual SIM GSM Factory Unlocked A107M/DS - US + Global 4G LTE International Model (Black, 32GB + 64GB SD Bundle)",153.0,4.3,7165
6,B08PKJK6XP,"Unlocked Smartphones, Blackview A80 Android 10 Smartphone, 6.21 inch HD + Screen, Four Rear Cameras, 2GB + 16GB, 4200 mAh Battery, 8.8 mm Smooth & Slim Design, Dual SIM Unlocked Cell Phone GPS Black",109.99,4.0,4
7,B088NKZT13,TracFone Samsung Galaxy A01 4G LTE Prepaid Smartphone - Black - 16GB - Sim Card Included -CDMA,58.1,4.5,1106
8,B0876HQCXW,"BLU G90-6.5” HD+ Smartphone with Triple Main Camera, 64GB+4GB RAM and Android 10 -Blue",149.99,4.3,603
9,B08BBXK6RQ,"Unlocked Smartphones Ulefone Note 9P (2020) Android 10 Unlocked Cell phones, Triple Rear Camera Triple Card Slots, 6.52"" Waterdrop Full-Screen Dual SIM Phones, 4500mAh Global Bands, US Version - Green",159.99,4.1,1166
10,B08DFZ6JNT,"Unlocked Smartphone, Ulefone Note 8 (2020) Android Phones Unlocked 2GB+16GB, Dual Rear Camera Triple Card Slots, 5.5"" IPS Full-Screen 3G Dual SIM Cell Phone Unlocked, 2700mAh, Face Recognition - Green",81.99,3.4,418
11,B08CL5326M,Net10 Motorola Moto E6 4G LTE Prepaid Smartphone (Locked) - Black - 16GB - Sim Card Included - CDMA,34.0,4.4,113
12,B07Y5T9X4P,TracFone LG Journey 4G LTE Prepaid Smartphone (Locked) - Black - 16GB - SIM Card Included - CDMA,29.88,4.3,406
13,B08FYTSXGQ,"Samsung Galaxy S20 FE 5G | Factory Unlocked Android Cell Phone | 128 GB | US Version Smartphone | Pro-Grade Camera, 30X Space Zoom, Night Mode | Cloud Navy",599.99,4.6,2953
14,B08JRF9L15,"Nokia 2.4 Android 10 Unlocked Smartphone with 2/32 GB Memory, 6.5-Inch HD+ Screen, 2-Day Battery Life, Fingerprint Sensor and Google Assistant, Charcoal (AT&T/T-Mobile/Cricket/Tracfone/Simple Mobile)",139.0,4.0,146
15,B088NFQDSH,Total Wireless Samsung Galaxy A01 4G LTE Prepaid Smartphone - Black - 16GB - Sim Card Included -CDMA,51.72,4.4,628
16,B07Y5V9CSB,Net10 TCL A1X 4G LTE Prepaid Smartphone (Locked) - Black - 16GB - SIM Card Included - CDMA,49.99,4.2,15
17,B086H3HH5V,Moto E | Unlocked | Made for US by Motorola | 2/32GB | 13MP Camera | 2020 | Blue,122.99,4.4,975
18,B08PKJK6XP,"Unlocked Smartphones, Blackview A80 Android 10 Smartphone, 6.21 inch HD + Screen, Four Rear Cameras, 2GB + 16GB, 4200 mAh Battery, 8.8 mm Smooth & Slim Design, Dual SIM Unlocked Cell Phone GPS Black",109.99,4.0,4
19,B08M2V14BY,"Rugged Cell Phone Unlocked OUKITEL WP5,8000mAh Battery, Android 10.0 Rugged Smartphone, 5.5 Inch 4GB RAM+32GB ROM, IP68 Waterproof Shockproof Phone with 4 LED Flashlights, Triple Camera, Dual SIM 4G",159.99,4.3,405
20,B087V61QD7,"Nokia 1.3 Fully Unlocked Smartphone with 5.7"" HD+ Screen, AI-Powered 8 MP Camera and Android 10 Go Edition, Charcoal, 2020 (AT&T/T-Mobile/Cricket/Tracfone/Simple Mobile)",99.99,3.5,301
21,B07Y5V6LMT,Net10 LG Journey 4G LTE Prepaid Smartphone (Locked) - Black - 16GB - Sim Card Included - CDMA,39.99,4.4,71
22,B084CVPLLC,Moto G Stylus | 2020 | Unlocked | Made for US by Motorola | 4/128GB | 48MP Camera | Indigo,254.0,4.5,3837
23,B08L997QV5,6.5 inch Android 10 Unlocked Smartphone with 6GB RAM+64GB ROM 256GB Extension Dual SIM Face Recognition Smartphones 4500mAh HD Camera Mobile Phone (Black),146.99,3.2,39
24,B08CL51X7Y,Net10 Samsung Galaxy A01 4G LTE Prepaid Smartphone - Black - 16GB - Sim Card Included -CDMA,55.0,4.4,284
25,B08JLSN62Y,"Ulefone Armor X8 4GB + 64GB Unlocked Rugged Phones, Android 10 Octa-core 13MP Triple Rear Camera + 8MP Front Camera, 5.7"" HD+ 5080mAh Battery, Global Dual SIM 4G Rugged Smartphones US Version -Black",179.99,4.2,37
26,B07Y5TTS2Q,TracFone Motorola Moto E6 4G LTE Prepaid Smartphone (Locked) - Black - 16GB - Sim Card Included - CDMA,39.88,4.4,1103
27,B087LYQ22N,"TCL 10L, Unlocked Android Smartphone with 6.53"" FHD + LCD Display, 48MP Quad Rear Camera System, 64GB+6GB RAM, 4000mAh Battery",249.99,4.4,1451
28,B08CMP29ZQ,"LG K31 Unlocked Smartphone – 32 GB – Silver (Made for US by LG) – Verizon, AT&T, T–Mobile, Metro, Cricket (Universal Compatibility)",149.99,4.2,328
29,B08J7YQ3KC,"Unlocked Rugged Smartphones Blackview BV5900 - Rugged Cell Phones with Android 9.0 4G LTE IP68 Waterproof Drop Proof, 5.7"" Screen 3GB+32GB Dual SIM 5580mAh Battery(Orange)",149.99,4.4,21
30,B07Y5V6LMT,Net10 LG Journey 4G LTE Prepaid Smartphone (Locked) - Black - 16GB - Sim Card Included - CDMA,39.99,4.4,71
31,B08CL51X7Y,Net10 Samsung Galaxy A01 4G LTE Prepaid Smartphone - Black - 16GB - Sim Card Included -CDMA,55.0,4.4,284
32,B0883DGM5X,"Nokia 7.1 - Android 9.0 Pie - 64 GB - 12+5 MP Dual Camera - Unlocked Smartphone (at&T/T-Mobile/MetroPCS/Cricket/H2O) - 5.84"" FHD+ HDR Screen - Blue - U.S. Warranty",189.0,3.7,1265
33,B07PS7Y8SX,"LG Phoenix 4 AT&T Prepaid Smartphone with 16GB, 4G LTE, Android 7.1 OS, 8MP + 5MP Cameras - Black",68.99,4.3,296
34,B08QZHQWLJ,"Unlocked Cell Phones(8GB/128GB), CUBOT Note 20 Pro Smartphones, 6.5"" HD+ Display, Quad Camera, 4200mAh Battery, Android 10, Dual SIM 4G Budget Phone, US Version, Green",159.0,3.5,15
35,B07SSCJHT1,"BLU Studio Mini -5.5HD Smartphone, 32GB+2GB Ram -Black",,4.0,2497
36,B0843HCT63,"BLU VIVO X6-6.1” HD+ Display, 64GB+3GB RAM - Gradient Blue",,4.1,2459
37,B07BH6MXRT,"Samsung Galaxy S9, 64GB, Lilac Purple - Fully Unlocked (Renewed)",240.0,4.3,11317
38,B082XXR64G,Samsung Galaxy S20+ 5G Factory Unlocked New Android Cell Phone US Version | 128GB of Storage | Fingerprint ID and Facial Recognition | Long-Lasting Battery | Cloud Blue,,4.7,588
39,B082QPSB79,"Samsung Galaxy A50 US Version Factory Unlocked Cell Phone with 64GB Memory, 6.4"" Screen, Black, [SM-A505UZKNXAA] (Renewed)",214.46,4.1,163
40,B086FKHTLZ,Samsung Galaxy A51 Factory Unlocked Cell Phone | 128GB of Storage | Long Lasting Battery | Single SIM | GSM or CDMA Compatible | US Version | Black,348.85,4.4,9627
41,B0836TG4XB,"OUKITEL WP5 (2020) Rugged Smartphone, 8000mAh Battery IP68 Waterproof Android 10 Unlocked Cell Phones 4G LTE Dual SIM, 5.5inches 4GB 32GB Triple Camera Face/Fingerprint Unlock GPS Global Version",159.99,4.2,1012
42,B088ZQ1J69,"Nokia 5.3 Fully Unlocked Smartphone with 6.55"" HD+ Screen, AI-Powered Quad Camera and Android 10, Cyan, 2020 (AT&T/T-Mobile/Cricket/Tracfone/Simple Mobile)",191.38,4.2,297
43,B08PFGPGRM,"OUKITEL WP8 Pro Unlocked Rugged Smartphone, Android 10 4GB RAM + 64GB ROM MT6762D Cellphone, IP68 5000mAh 6.49 inch Dual SIM 16MP Rear Triple Camera NFC Global Version Mobile Phone (Black)",189.99,4.4,243
44,B08PKJK6XP,"Unlocked Smartphones, Blackview A80 Android 10 Smartphone, 6.21 inch HD + Screen, Four Rear Cameras, 2GB + 16GB, 4200 mAh Battery, 8.8 mm Smooth & Slim Design, Dual SIM Unlocked Cell Phone GPS Black",109.99,4.0,4
45,B08CL5326M,Net10 Motorola Moto E6 4G LTE Prepaid Smartphone (Locked) - Black - 16GB - Sim Card Included - CDMA,34.0,4.4,113
46,B074PYB8PR,"Samsung Galaxy S8 G950U 64GB - Verizon + GSM Unlocked Android Smartphone, Midnight Black (Renewed)",218.95,4.3,925
47,B07XW28MW4,"Nokia 7.2 - Android 9.0 Pie - 128 GB - 48MP Triple Camera - Unlocked Smartphone (AT&T/T-Mobile/MetroPCS/Cricket/Mint) - 6.3"" FHD+ HDR Screen - Green - U.S. Warranty, Model:TA-1178",297.0,4.0,233
48,B07XRK35M7,"Unlocked Rugged Smartphones, Blackview BV5900 4G LTE Rugged Cell Phones with Android 10 IP68 Waterproof Drop Proof, 5.7"" Screen 3GB+32GB Dual SIM 5580mAh Battery for GSM AT&T T-Mobile, Black",154.99,4.0,500
49,B07ZDH95L4,"Samsung Galaxy A20s A207M/DS, 32GB/3GB RAM Dual SIM 6.5''HD+ Snapdragon 450, Factory Unlocked (International Version) - (Red)",225.0,4.4,9744
50,B08NC5G33F,"Samsung Galaxy A11 SM-A115A 32GB Single-Sim Android Smartphone - Black (Renewed) (Black, GSM Unlocked)",144.99,4.0,32
51,B089XZ3SZN,"Samsung Galaxy A21S SM-A217M/DS 4G LTE 64GB + 4GB Ram LTE USA w/Four Cameras (48+8+2+2mp) Android International Version (GSM Only, Not CDMA) (Blue)",229.99,4.5,1108
52,B08CL3JKBL,Total Wireless Samsung Galaxy A20 4G LTE Prepaid Smartphone (Locked) - Black - 32GB - Sim Card Included - CDMA,139.97,4.3,38
53,B082YG1L4B,Samsung Galaxy A51 A515F 128GB DUOS GSM Unlocked Phone w/Quad Camera 48 MP + 12 MP + 5 MP + 5 MP (International Variant/US Compatible LTE) - Prism Crush Black,289.99,4.4,2768
54,B08723FJMF,"OnePlus 8 Pro Onyx Black,​ 5G Unlocked Android Smartphone U.S Version, 12GB RAM+256GB Storage, 120Hz Fluid Display,Quad Camera, Wireless Charge, with Alexa Built-in",924.99,4.5,1429
55,B087M26N2K,"Ulefone Armor 7E Rugged Smartphone Unlocked, IP68 Waterproof Cell Phones Helio P90 Android 10 4GB + 128GB, 48MP+2MP+2MP Triple Camera, 5500mAh Battery QI Wireless Charge, 6.3"" FHD+, Global Bands, NFC",359.99,4.1,134
56,B08FCFQPNJ,"Ulefone Note 8 3G Unlocked Phone, Android 10 Quad-core 2GB+16GB Expansion 128GB, 5.5 Inch Waterdrop Screen, 5MP+2MP+2MP Camera, Dual SIM 2700mAh Battery Unlocked Smart Phone for GSM AT&T T-mobie",80.99,3.6,219
57,B08BX7XBGN,"Samsung Electronics Galaxy Note 20 Ultra 5G Factory Unlocked Android Cell Phone, US Version, 128GB of Storage, Mobile Gaming Smartphone, Long-Lasting Battery, Mystic Black",,4.6,3052
58,B07Y5R4PWV,Net10 Samsung Galaxy A10e 4G LTE Prepaid Smartphone (Locked) - Black - 32GB - SIM Card Included - CDMA,72.0,4.4,268
59,B07Y5V9CSB,Net10 TCL A1X 4G LTE Prepaid Smartphone (Locked) - Black - 16GB - SIM Card Included - CDMA,49.99,4.2,15
60,B07Y5R4PWV,Net10 Samsung Galaxy A10e 4G LTE Prepaid Smartphone (Locked) - Black - 32GB - SIM Card Included - CDMA,72.0,4.4,268
61,B07Y5V9CSB,Net10 TCL A1X 4G LTE Prepaid Smartphone (Locked) - Black - 16GB - SIM Card Included - CDMA,49.99,4.2,15
62,B07DQB7KGK,"Samsung Galaxy S8+, 64GB, Arctic Silver - Fully Unlocked (Renewed)",280.0,4.2,611
63,B08HRZZY4L,"Unlocked Smartphone DOOGEE N30 4GB+128GB Android 10 Phone, 6.55 inch HD+ Display, 4500mAh, International Dual SIM 4G Unlocked Phone for GSM, LTE, AT&T, T-Mobile, Face ID, Fingerprint (Misty White)",179.99,4.1,19
64,B07N9KQDVG,"Motorola Moto G7 Power - Unlocked - 32 GB - Marine Blue (US Warranty) - Verizon, AT&T, T-Mobile, Sprint, Boost, Cricket, & Metro",,4.5,2910
65,B082XHJF8W,"Motorola Moto G8+ Plus (64GB, 4GB) 6.3"", Snapdragon 665, 48 MP Camera, 4000mAh Battery, Dual SIM GSM Unlocked (at&T/T-Mobile/MetroPCS/Cricket/H2O) XT2019-2 - International Version (Red, 64 GB)",,4.4,734
66,B07N92347B,"Moto G7 with Alexa Hands-Free – Unlocked – 64 GB – Ceramic Black (US Warranty) – Verizon, AT&T, T–Mobile, Sprint, Boost, Cricket, & Metro",199.99,4.3,2692
67,B07536MYBQ,Samsung Galaxy Note8 N950U 64GB Unlocked GSM LTE Android Phone w/ Dual 12 Megapixel Camera - Midnight Black,,4.5,1282
68,B08MWRCZL8,"Nokia 3.4 Unlocked Android Smartphone with 3/64 GB Memory, 6.39-Inch HD+ Screen, Triple Camera, and 2-Day Battery, Charcoal (AT&T/T-Mobile/Cricket/Tracfone/Simple Mobile/Mint/Ultra Mobile)",179.0,3.8,12
69,B084RVPBQY,"Samsung Galaxy A71 (128GB, 6GB) 6.7"", 64MP Quad Camera, 25W Fast Charger, Android 10, GSM Unlocked US + Global 4G LTE International Model A715F/DS (128GB + 64GB SD + Case Bundle, Prism Crush Black)",356.99,4.5,476
70,B08DXS8QYT,"Samsung Galaxy A01 Core (16GB, 1GB RAM) 5.3"", 3000mAh Battery, US & Global 4G LTE GSM Unlocked International Model - A013M/DS (Black)",85.0,4.0,442
71,B07Z6Q9NCZ,"BLU Advance L5 -Unlocked Dual Sim, 16GB -Black",39.99,3.8,94
72,B089PZ29XV,"Unlocked Cell Phone, P40PRO+ Android Smartphone, 6.26inch IPS Full-Screen, 3GWCDMA: 850/2100MHZ SIM Card Band, 2GB RAM 16GB ROM, 8MP+8MP, 3800mAh (Blue)",72.99,3.6,19
73,B08Q69MMMK,"T-Mobile Revvl 4 | 6.2"" | AL-5007W | 4G LTE | 32GB | T-Mobile | 13MP | Android Smartphone - Graphite (Renewed)",99.99,4.7,7
74,B08PKJK6XP,"Unlocked Smartphones, Blackview A80 Android 10 Smartphone, 6.21 inch HD + Screen, Four Rear Cameras, 2GB + 16GB, 4200 mAh Battery, 8.8 mm Smooth & Slim Design, Dual SIM Unlocked Cell Phone GPS Black",109.99,4.0,4
75,B08CL5326M,Net10 Motorola Moto E6 4G LTE Prepaid Smartphone (Locked) - Black - 16GB - Sim Card Included - CDMA,34.0,4.4,113
76,B084VB5XBD,"Samsung Galaxy A01 (A015M) 16GB, Dual SIM, GSM Unlocked, 5.7” Display Smartphone - International Version - Black",,4.3,533
77,B07K4F5759,Samsung Galaxy S8 G950U 64GB Unlocked GSM U.S. Version Phone - w/ 12MP Camera - Orchid Gray (Renewed),219.99,4.2,860
78,B07HKPMFZ5,Google Pixel 3 XL 64GB Unlocked GSM & CDMA 4G LTE Android Phone w/ 12.2MP Rear & Dual 8MP Front Camera - Just Black (Renewed),204.97,4.2,727
79,B08GRD2MSY,"4G Rugged Phones Unlocked, Ulefone Armor X5 Pro (2021) 4GB + 64GB IP68 Rugged Smartphones, Android 10 Octa-core, 13MP+2MP Dual Rear Camera 5.5 inch HD+ Screen 5000mAh,OTG, NFC, Face ID, GPS, WIFI -Red",169.99,3.8,391
80,B08KTH84KH,SOYES XS11 3G Mini Smartphone 2.5Inch WiFi GPS RAM 1GB ROM 8GB Quad Core Android 6.0 Cell Phones with 3D Glass Slim Body HD Camera Dual Sim Quad Core Google Play Market Cute Smartphone (Pink),55.99,3.7,39
81,B08KWM2255,"LG K22+ Plus (64GB, 3GB) 6.2"" HD+, Dual Camera, MIL-STD 810G, US+LATIN 4G LTE Only GSM Factory Unlocked (AT&T, T-Mobile, Metro, Straight Talk) International Model LM-K200HAW (Titan, W/ 64GB SD Bundle)",133.0,3.7,71
82,B086G9NF1P,"RCA Reno, 16GB, Android 10, 4G LTE Unlocked Smartphone (Black)",69.99,3.4,35
83,B08J4JYLCN,Total Wireless LG Premier Pro Plus 4G LTE Prepaid Smartphone (Locked) - Black - 32GB - Sim Card Included - CDMA,68.08,4.3,34
84,B07YZLRBFP,"Xiaomi Redmi Note 8 6.3"" 64GB 4GB RAM (GSM Only, No CDMA) Internationa Version - No Warranty (Neptune Blue)",181.0,4.6,9289
85,B07N4GKMHB,Samsung Galaxy S10 Factory Unlocked Android Cell Phone | US Version | 128GB of Storage | Fingerprint ID and Facial Recognition | Long-Lasting Battery |   Prism White,,4.6,936
86,B08FYM97DK,"Dilwe1 6.7In Full HD Screen Unlocked Smartphone, 2+16GB Dual Cards Dual Standby Cell Phone, 13MP+24MP Built-in 4800mAh Battery for Android Phone",116.69,2.9,19
87,B083M1F3LZ,"Unlocked Cell Phone, M35(2020) Android Smartphone, 6.26inch IPS Full-Screen, 3GWCDMA: 850/2100MHZ SIM Card Band, 1GB RAM 16GB ROM, 8MP+8MP, 3800mAh, (Support T-Mobile) (Black)",64.99,3.7,16
88,B07Y5V6LMT,Net10 LG Journey 4G LTE Prepaid Smartphone (Locked) - Black - 16GB - Sim Card Included - CDMA,39.99,4.4,71
89,B08CL51X7Y,Net10 Samsung Galaxy A01 4G LTE Prepaid Smartphone - Black - 16GB - Sim Card Included -CDMA,55.0,4.4,284
90,B07Y5R4PWV,Net10 Samsung Galaxy A10e 4G LTE Prepaid Smartphone (Locked) - Black - 32GB - SIM Card Included - CDMA,72.0,4.4,268
91,B07Y5V9CSB,Net10 TCL A1X 4G LTE Prepaid Smartphone (Locked) - Black - 16GB - SIM Card Included - CDMA,49.99,4.2,15
92,B087LZNMYB,"TCL 10 Pro Unlocked Android Smartphone with 6.47"" AMOLED FHD + Display, 64MP Quad Rear Camera System, 128GB+6GB RAM, 4500mAh Fast Charging Battery",449.99,4.3,357
93,B08HRHB622,"OUKITEL WP8 Pro (2020) Rugged Smartphone, 6.49” Display, 4GB 64GB Dual SIM IP68 Waterproof Unlocked Cell Phones, 16MP Triple Camera Android 10, 5000mAh Battery Face/Fingerprint ID, GPS NFC, Black",189.99,4.1,421
94,B08QYZ4TFD,"Unlocked Smartphones, CUBOT Note 7 Android 10, 4G Dual SIM Unlocked Cell Phones, 5.5” HD Display, Triple Cameras, 2GB/16GB, 128GB Extension, 3100mAh Battery, US Version, Black",89.0,3.9,376
95,B07XQBG9ND,TTfone Titan TT950 Whatsapp 3G Touchscreen Senior Big Button Flip Mobile Phone - Simplified Android Menu,124.99,3.9,401
96,B08B3L7TBF,"Apobob Mate30 Unlocked Smartphones, 6.26 inch HD Smartphone, Android 9.0(AT&T/T-Mobile), Quad Rear Camera Phones, Dual SIM GSM Unlocked Cell Phones, 16GB+2GB RAM Mobile Phone, 2650 mAh Battery(Gray)",89.99,3.3,29
97,B083BXQDYJ,DM99 Bluetooth Smart Watch 2.2 inch Android OS 3G Smartwatch Phone DM99 Android Smart Watch Phone 1GB 16GB 1200 mAh Battery 130W Camera GPS WiFi SIM MP4 (Black),112.99,4.7,4
98,B08FDGTW4J,"Ulefone Armor X5 Pro Rugged Cell Phones Unlocked (2020), 5.5 inch Screen, Android 10, 4GB + 64GB, 13MP + 2MP Dual Rear Cameras, Waterproof, Military Grade Smartphone, Face ID, NFC, OTG, WiFi -Orange",169.99,4.1,73
99,B08LVDRJMG,"Rugged Cell Phone Unlocked OUKITEL WP5 Pro, 8000mAh Battery, 4GB+64GB ROM, Android 10 Rugged Smartphone, 5.5 Inch IP68 Waterproof Shockproof Phone with 4 LED Flashlights, Triple Camera, Dual SIM 4G",169.99,4.3,220
100,B082WNRSPY,Moto G8+ plus | Unlocked | International GSM only | 4/64GB | 25MP Camera | 2019 | Blue,169.99,4.4,1866
101,B08QHYW86J,"Unlocked Smartphone DOOGEE N30 (2021) Mobile Phone 4GB+128GB Triple Rear Camera 6.55"" Infinity Display Android 10.0 4500mAh 4G Dual SIM Phones Green",179.99,4.1,66
102,B0869S29LG,"RCA Reno 16GB, Android 10, 4G LTE Unlocked Smartphone (Gold)",69.99,3.1,18
103,B08HRWYJLZ,"Rugged Cell Phones Unlocked Ulefone Armor X8, 4GB + 64GB, Android 10, 5.7 inch Waterproof Phones Unlocked, 13MP Triple Rear Camera, 5080mAh Big Battery, Dual 4G, Type C, GPS, NFC, US Version - Black",179.99,4.3,42
104,B08PKJK6XP,"Unlocked Smartphones, Blackview A80 Android 10 Smartphone, 6.21 inch HD + Screen, Four Rear Cameras, 2GB + 16GB, 4200 mAh Battery, 8.8 mm Smooth & Slim Design, Dual SIM Unlocked Cell Phone GPS Black",109.99,4.0,4
105,B08CL5326M,Net10 Motorola Moto E6 4G LTE Prepaid Smartphone (Locked) - Black - 16GB - Sim Card Included - CDMA,34.0,4.4,113
106,B08MBDWJ4F,Samsung Galaxy S20 FE G780F 256GB Dual Sim GSM Unlocked Android Smart Phone - International Version (Red),559.99,4.3,58
107,B08RDRJXRN,"Unlocked Cell Phone，X40 Android Smartphone, 6.11-inch HD+U Nouth Screen, 3GWCDMA : 850/2100MHZ SIM Card Frequency Band，1GB RAM 16GB ROM, 3800mAh，Front Rear Camera (Black)",75.75,1.0,1
108,B08TQ74TBQ,"Samsung Galaxy Note 20 Ultra 5G Factory Unlocked Android Cell Phone, US Version, 128GB Storage, Mystic Bronze & Smart Watch Active 2 (40mm, GPS, Bluetooth) Pink Gold",,,0
109,B089D3LRGW,Sudroid SOYES Super Mini 2.5 Inch Android Smart Phone Quad Core 1G+8G 5.0MP Dual SIM High Definition Mini Phones Unlocked (Pink),83.99,3.6,206
110,B088NGCRN8,Total Wireless Motorola Moto G7 Optimo Maxx 4G LTE Prepaid Smartphone (Locked) - Black - 32GB - Sim Card Included - CDMA,96.23,4.7,115
