,ASIN,title,price,rating,review_count
0,B07STGGQ18,"AMD Ryzen 5 3600 6-Core, 12-Thread Unlocked Desktop Processor with Wraith Stealth Cooler",,4.9,26308
1,B089J731BX,Intel Core i9-9900K Desktop Processor 8 Cores up to 5.0GHz Unlocked LGA1151 300 Series 95W (BX806849900K),375.99,4.8,553
2,B07SXMZLP9,"AMD Ryzen 9 3900X 12-core, 24-thread unlocked desktop processor with Wraith Prism LED Cooler",,4.9,9386
3,B07SXMZLPK,"AMD Ryzen 7 3700X 8-Core, 16-Thread Unlocked Desktop Processor with Wraith Prism LED Cooler",,4.9,17356
4,B086MN38Q2,"Intel Core i5-10400 Desktop Processor 6 Cores up to 4.3 GHz  LGA1200 (Intel 400 Series Chipset) 65W, Model Number: BX8070110400",159.49,4.8,1100
5,B07B41WS48,AMD Ryzen 5 2600 Processor with Wraith Stealth Cooler - YD2600BBAFBOX,,4.8,18666
6,B089WD454D,"AMD Ryzen 9 3900XT 12-core, 24-Threads Unlocked Desktop Processor Without Cooler",649.0,4.8,1307
7,B07HHN6KBZ,Intel Core i7-9700K Desktop Processor 8 Cores up to 4.9 GHz Turbo unlocked LGA1151 300 Series 95W,299.99,4.8,6857
8,B08T913C9D,"GeIL Orion RGB DDR4 RAM, 16GB (8GBx2) 3600MHz 1.35V XMP2.0, Intel/AMD Compatible, Long DIMM High Speed Desktop Memory, Hardcore Immersive Gaming/Multimedia Content Creation/Quality Live Streaming",99.99,4.7,5
9,B07XTQZJ28,AMD Ryzen 5 1600 65W AM4 Processor with Wraith Stealth Cooler (YD1600BBAFBOX),181.42,4.8,5060
10,B07MGZ9FJZ,Intel Core i5-9400 Desktop Processor 6 Cores 2. 90 GHz up to 4. 10 GHz Turbo LGA1151 300 Series 65W Processors BX80684I59400,168.59,4.8,1545
11,B08DHRG2X9,Intel Core i9-10850K Desktop Processor 10 Cores up to 5.2 GHz Unlocked LGA1200 (Intel 400 Series chipset) 125W,409.99,4.8,401
12,B086MMRW87,"Intel Core i3-10100 Desktop Processor 4 Cores up to 4.3 GHz  LGA1200 (Intel 400 Series Chipset) 65W, Model Number: BX8070110100",,4.8,951
13,B07CKVW18G,Innovation Cooling Graphite Thermal Pad – Alternative to Thermal Paste/Grease (30 X 30mm),9.97,4.4,3716
14,B07S6CRLVD,Intel Core i7-9700 Desktop Processor 8 Cores up to 4.7 GHz LGA1151 300 Series 65W,278.0,4.8,545
15,B07B428M7F,AMD Ryzen 7 2700X Processor with Wraith Prism LED Cooler - YD270XBGAFBOX,,4.8,12390
16,B07STGHZK8,AMD Ryzen 3 3200G 4-Core Unlocked Desktop Processor with Radeon Graphics,,4.7,6061
17,B086MMS6FV,Intel Core i7-10700KF Desktop Processor 8 Cores up to 5.1 GHz Unlocked Without Processor Graphics LGA1200 (Intel 400 Series chipset) 125W,,4.8,135
18,B086M4KSMW,"Intel Core i3-10320 Desktop Processor 4 Cores up to 4.6 GHz LGA1200 (Intel 400 Series chipset) 65W, Model Number: BX8070110320",181.51,5.0,4
19,B08F2FS7SR,Vetroo V5 White CPU Air Cooler w/ 5 Heat Pipes 120mm PWM Processor Fan Intel LGA 1200 115X / AMD Ryzen AM4 Universal Socket w/Addressable RGB Lights,34.99,4.5,165
20,B00F8A3IW4,HP Intel Xeon E5-2640 v2 Octa-core (8 Core) 2 GHz Processor Upgrade - Socket R LGA-2011 712731-B21,149.99,,0
